Mapping parameters for Abalistes stellaris (Starry triggerfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,46,-36,21,-164

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,40,46,71,100
Temperature (°C),1,13.27,25.13,29.25,33.45
Salinity (psu),1,25.97,30.88,35.29,38.83
Primary Production (mgC·m-3·day-1) ,1,0.31,2.02,20.03,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,116.57,209.58,251.55
Distance to Land (km),0,4,17,222,424
 

Map data (HSPEC) for predicted occurrences (n = 5419): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Abalistes,stellaris,28.25,-178.25,7217:488:1,0.13
Abalistes,stellaris,28.25,-177.25,7217:487:1,0.15
Abalistes,stellaris,27.75,-175.75,7217:475:4,0.14
Abalistes,stellaris,26.75,-176.25,7217:466:3,0.11
Abalistes,stellaris,26.25,-174.75,7217:364:2,0.16
Abalistes,stellaris,26.25,-174.25,7217:364:1,0.19
Abalistes,stellaris,26.25,-173.75,7217:363:2,0.18
Abalistes,stellaris,26.25,-173.25,7217:363:1,0.16
Abalistes,stellaris,25.75,-173.75,7217:353:4,0.17
Abalistes,stellaris,25.75,-173.25,7217:353:3,0.16
Abalistes,stellaris,25.25,-172.25,7217:352:1,0.16
Abalistes,stellaris,25.25,-170.25,7217:350:1,0.19
Abalistes,stellaris,25.75,-169.25,7216:459:3,0.16
Abalistes,stellaris,24.75,-167.75,7216:247:4,0.19
Abalistes,stellaris,24.25,-167.25,7216:247:1,0.15
Abalistes,stellaris,24.25,-166.75,7216:246:2,0.15
Abalistes,stellaris,23.75,-166.25,7216:236:3,0.19
Abalistes,stellaris,23.75,-165.75,7216:235:4,0.15
Abalistes,stellaris,23.75,-164.25,7216:134:3,0.16
Abalistes,stellaris,23.25,-164.75,7216:134:2,0.17
Abalistes,stellaris,23.25,-164.25,7216:134:1,0.15
Abalistes,stellaris,16.75,-169.75,7116:469:4,0.16
Abalistes,stellaris,16.75,-169.25,7116:469:3,0.16
Abalistes,stellaris,-22.75,-176.25,5217:226:3,0.04
Abalistes,stellaris,-22.75,-175.75,5217:225:4,0.14
Abalistes,stellaris,-15.75,-179.75,5117:459:4,0.19
Abalistes,stellaris,-15.75,-179.25,5117:459:3,0.11
Abalistes,stellaris,-15.75,-176.75,5117:456:4,0.08
Abalistes,stellaris,-15.75,-175.75,5117:455:4,0.10
Abalistes,stellaris,-19.25,-173.75,5117:393:2,0.14
Abalistes,stellaris,-18.75,-174.75,5117:384:4,0.12
Abalistes,stellaris,-18.75,-174.25,5117:384:3,0.15
Abalistes,stellaris,-18.75,-173.75,5117:383:4,0.11
Abalistes,stellaris,-17.75,-174.25,5117:374:3,0.03
Abalistes,stellaris,-15.75,-173.75,5117:353:4,0.17
Abalistes,stellaris,-15.25,-173.75,5117:353:2,0.19
Abalistes,stellaris,-14.25,-178.25,5117:248:1,0.12
Abalistes,stellaris,-14.25,-177.75,5117:247:2,0.09
Abalistes,stellaris,-14.25,-176.25,5117:246:1,0.10
Abalistes,stellaris,-14.25,-175.75,5117:245:2,0.10
Abalistes,stellaris,-13.25,-179.25,5117:239:1,0.12
Abalistes,stellaris,-13.25,-176.25,5117:236:1,0.16
Abalistes,stellaris,-12.75,-179.25,5117:229:3,0.17
Abalistes,stellaris,-11.75,-178.25,5117:218:3,0.17
Abalistes,stellaris,-14.25,-171.25,5117:141:1,0.13
Abalistes,stellaris,-14.25,-170.75,5117:140:2,0.08
Abalistes,stellaris,-14.25,-170.25,5117:140:1,0.01
Abalistes,stellaris,-13.75,-171.25,5117:131:3,0.14
Abalistes,stellaris,-14.25,-169.75,5116:249:2,0.02
Abalistes,stellaris,-34.75,172.25,3317:142:3,0.16
Abalistes,stellaris,-32.25,167.75,3316:227:2,0.06
Abalistes,stellaris,-35.75,135.75,3313:455:4,0.07
Abalistes,stellaris,-35.75,135.25,3313:455:3,0.03
Abalistes,stellaris,-34.25,138.25,3313:248:1,0.12
Abalistes,stellaris,-34.25,137.75,3313:247:2,0.13
Abalistes,stellaris,-34.75,136.75,3313:246:4,0.15
Abalistes,stellaris,-34.25,136.75,3313:246:2,0.03
