Mapping parameters for Acanthopagrus schlegelii (Blackhead seabream)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 ,
Bounding Box (NSWE): ,43,20,107,143

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,18,33,50
Temperature (°C),1,8.06,15.53,25.34,29.54
Salinity (psu),1,26.26,31.13,33.83,34.49
Primary Production (mgC·m-3·day-1) ,1,4.83,9.52,62.42,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,69.69,148.12,259.18,295.47
Distance to Land (km),0,1,3,25,97
 

Map data (HSPEC) for predicted occurrences (n = 466): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Acanthopagrus,schlegelii,41.25,139.75,1413:219:2,0.05
Acanthopagrus,schlegelii,37.25,131.75,1313:371:2,0.04
Acanthopagrus,schlegelii,37.75,130.75,1313:370:4,0.08
Acanthopagrus,schlegelii,37.25,130.75,1313:370:2,0.15
Acanthopagrus,schlegelii,34.25,138.25,1313:248:1,0.07
Acanthopagrus,schlegelii,33.75,139.75,1313:239:4,0.14
Acanthopagrus,schlegelii,33.25,139.75,1313:239:2,0.05
Acanthopagrus,schlegelii,30.25,131.25,1313:101:1,0.17
Acanthopagrus,schlegelii,37.75,125.75,1312:475:4,0.09
Acanthopagrus,schlegelii,37.25,125.25,1312:475:1,0.03
Acanthopagrus,schlegelii,36.75,125.75,1312:465:4,0.12
Acanthopagrus,schlegelii,35.75,125.75,1312:455:4,0.14
Acanthopagrus,schlegelii,38.25,124.75,1312:384:2,0.18
Acanthopagrus,schlegelii,35.25,122.25,1312:352:1,0.03
Acanthopagrus,schlegelii,35.25,121.75,1312:351:2,0.11
Acanthopagrus,schlegelii,35.75,120.25,1312:350:3,0.02
Acanthopagrus,schlegelii,34.25,126.25,1312:246:1,0.19
Acanthopagrus,schlegelii,34.75,125.75,1312:245:4,0.06
Acanthopagrus,schlegelii,34.25,125.75,1312:245:2,0.07
Acanthopagrus,schlegelii,31.75,128.25,1312:218:3,0.19
Acanthopagrus,schlegelii,31.25,125.75,1312:215:2,0.06
Acanthopagrus,schlegelii,34.75,122.25,1312:142:3,0.19
Acanthopagrus,schlegelii,34.25,122.75,1312:142:2,0.03
Acanthopagrus,schlegelii,34.75,121.75,1312:141:4,0.14
Acanthopagrus,schlegelii,34.75,120.25,1312:140:3,0.14
Acanthopagrus,schlegelii,33.25,124.25,1312:134:1,0.08
Acanthopagrus,schlegelii,33.75,123.25,1312:133:3,0.05
Acanthopagrus,schlegelii,33.75,122.25,1312:132:3,0.18
Acanthopagrus,schlegelii,33.25,122.25,1312:132:1,0.17
Acanthopagrus,schlegelii,33.25,121.75,1312:131:2,0.06
Acanthopagrus,schlegelii,32.75,124.75,1312:124:4,0.13
Acanthopagrus,schlegelii,32.75,122.25,1312:122:3,0.16
Acanthopagrus,schlegelii,30.75,124.75,1312:104:4,0.14
Acanthopagrus,schlegelii,30.25,124.25,1312:104:1,0.12
Acanthopagrus,schlegelii,34.75,119.75,1311:249:4,0.12
Acanthopagrus,schlegelii,34.75,119.25,1311:249:3,0.04
Acanthopagrus,schlegelii,29.75,129.75,1212:499:4,0.11
Acanthopagrus,schlegelii,29.25,129.75,1212:499:2,0.02
Acanthopagrus,schlegelii,29.25,129.25,1212:499:1,0.01
Acanthopagrus,schlegelii,29.75,127.25,1212:497:3,0.08
Acanthopagrus,schlegelii,29.75,125.25,1212:495:3,0.05
Acanthopagrus,schlegelii,27.25,127.75,1212:477:2,0.01
Acanthopagrus,schlegelii,26.75,127.25,1212:467:3,0.01
Acanthopagrus,schlegelii,26.75,126.75,1212:466:4,0.04
Acanthopagrus,schlegelii,26.25,126.75,1212:466:2,0.01
Acanthopagrus,schlegelii,25.25,125.75,1212:455:2,0.01
Acanthopagrus,schlegelii,25.25,125.25,1212:455:1,0.03
Acanthopagrus,schlegelii,29.25,122.25,1212:392:1,0.16
Acanthopagrus,schlegelii,28.75,121.75,1212:381:4,0.16
Acanthopagrus,schlegelii,25.75,124.75,1212:354:4,0.13
Acanthopagrus,schlegelii,25.75,123.75,1212:353:4,0.14
Acanthopagrus,schlegelii,24.75,124.25,1212:144:3,0.01
Acanthopagrus,schlegelii,24.75,123.25,1212:143:3,0.02
Acanthopagrus,schlegelii,24.25,122.75,1212:142:2,0.03
Acanthopagrus,schlegelii,22.75,121.75,1212:121:4,0.08
Acanthopagrus,schlegelii,22.25,121.75,1212:121:2,0.04
Acanthopagrus,schlegelii,21.75,120.75,1212:110:4,0.05
Acanthopagrus,schlegelii,22.25,113.25,1211:123:1,0.13
Acanthopagrus,schlegelii,21.75,114.75,1211:114:4,0.05
Acanthopagrus,schlegelii,21.25,114.25,1211:114:1,0.18
Acanthopagrus,schlegelii,20.75,112.75,1211:102:4,0.06
Acanthopagrus,schlegelii,21.25,109.25,1210:219:1,0.19
Acanthopagrus,schlegelii,20.75,109.75,1210:209:4,0.04
Acanthopagrus,schlegelii,42.75,140.25,1414:120:3,0.37
Acanthopagrus,schlegelii,41.25,140.25,1414:110:1,0.26
Acanthopagrus,schlegelii,42.25,139.75,1413:229:2,0.24
Acanthopagrus,schlegelii,40.75,139.75,1413:209:4,0.33
Acanthopagrus,schlegelii,35.25,140.75,1314:350:2,0.37
Acanthopagrus,schlegelii,34.75,140.25,1314:140:3,0.29
Acanthopagrus,schlegelii,38.25,138.25,1313:488:1,0.23
Acanthopagrus,schlegelii,37.75,137.25,1313:477:3,0.26
Acanthopagrus,schlegelii,36.25,135.75,1313:465:2,0.35
Acanthopagrus,schlegelii,36.25,133.75,1313:363:2,0.21
Acanthopagrus,schlegelii,34.25,139.75,1313:249:2,0.24
Acanthopagrus,schlegelii,34.25,139.25,1313:249:1,0.30
Acanthopagrus,schlegelii,34.25,137.25,1313:247:1,0.26
Acanthopagrus,schlegelii,33.25,135.75,1313:235:2,0.21
Acanthopagrus,schlegelii,33.25,134.25,1313:134:1,0.36
Acanthopagrus,schlegelii,30.75,130.25,1313:100:3,0.35
Acanthopagrus,schlegelii,30.25,130.75,1313:100:2,0.26
Acanthopagrus,schlegelii,30.25,130.25,1313:100:1,0.23
Acanthopagrus,schlegelii,37.25,126.75,1312:476:2,0.35
Acanthopagrus,schlegelii,37.75,125.25,1312:475:3,0.32
Acanthopagrus,schlegelii,37.25,125.75,1312:475:2,0.37
Acanthopagrus,schlegelii,36.75,126.25,1312:466:3,0.39
Acanthopagrus,schlegelii,35.25,125.75,1312:455:2,0.26
Acanthopagrus,schlegelii,39.75,123.75,1312:393:4,0.36
Acanthopagrus,schlegelii,37.75,124.75,1312:374:4,0.29
Acanthopagrus,schlegelii,36.25,120.25,1312:360:1,0.29
Acanthopagrus,schlegelii,32.25,125.25,1312:225:1,0.23
Acanthopagrus,schlegelii,31.25,129.25,1312:219:1,0.39
Acanthopagrus,schlegelii,31.75,126.25,1312:216:3,0.24
Acanthopagrus,schlegelii,31.25,125.25,1312:215:1,0.20
Acanthopagrus,schlegelii,30.75,129.75,1312:209:4,0.38
Acanthopagrus,schlegelii,30.75,129.25,1312:209:3,0.39
