Mapping parameters for Acanthurus guttatus (Whitespotted surgeonfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,30,-30,52,-128

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1,5,8
Temperature (°C),1,21.87,25.36,29.28,33.48
Salinity (psu),1,31.82,34.04,35.69,36.26
Primary Production (mgC·m-3·day-1) ,1,-0.6,0.4,9.28,29.29
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,40.35,93.43,204.52,290.3
Distance to Land (km),0,3,19,131,596
 

Map data (HSPEC) for predicted occurrences (n = 2879): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Acanthurus,guttatus,-27.75,-144.25,5214:374:3,0.12
Acanthurus,guttatus,-27.75,-143.25,5214:373:3,0.12
Acanthurus,guttatus,-21.25,-136.25,5213:216:1,0.17
Acanthurus,guttatus,-21.75,-135.25,5213:215:3,0.18
Acanthurus,guttatus,-21.25,-135.75,5213:215:2,0.13
Acanthurus,guttatus,-21.25,-135.25,5213:215:1,0.10
Acanthurus,guttatus,-20.75,-138.25,5213:208:3,0.18
Acanthurus,guttatus,-19.25,-141.25,5114:391:1,0.16
Acanthurus,guttatus,-19.75,-140.25,5114:390:3,0.14
Acanthurus,guttatus,-19.25,-140.75,5114:390:2,0.13
Acanthurus,guttatus,-18.25,-142.25,5114:382:1,0.17
Acanthurus,guttatus,-18.75,-141.75,5114:381:4,0.16
Acanthurus,guttatus,-18.25,-141.25,5114:381:1,0.10
Acanthurus,guttatus,-18.25,-140.75,5114:380:2,0.07
Acanthurus,guttatus,-17.75,-142.75,5114:372:4,0.18
Acanthurus,guttatus,-17.75,-142.25,5114:372:3,0.16
Acanthurus,guttatus,-17.75,-140.75,5114:370:4,0.11
Acanthurus,guttatus,-16.25,-142.75,5114:362:2,0.10
Acanthurus,guttatus,-19.25,-139.25,5113:499:1,0.03
Acanthurus,guttatus,-19.25,-138.75,5113:498:2,0.02
Acanthurus,guttatus,-17.25,-138.25,5113:478:1,0.05
Acanthurus,guttatus,-29.75,159.25,3215:499:3,0.07
Acanthurus,guttatus,-29.25,159.25,3215:499:1,0.10
Acanthurus,guttatus,-29.75,153.25,3215:393:3,0.10
Acanthurus,guttatus,-29.25,153.25,3215:393:1,0.14
Acanthurus,guttatus,-29.25,114.25,3211:394:1,0.05
Acanthurus,guttatus,-28.25,114.75,3211:384:2,0.01
Acanthurus,guttatus,-28.75,113.75,3211:383:4,0.16
