Mapping parameters for Acanthurus olivaceus (Orangespot surgeonfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,35,-32,95,-139

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,9,46,46
Temperature (°C),1,20.74,24.73,29.11,33.31
Salinity (psu),1,28.14,33.76,35.42,36.33
Primary Production (mgC·m-3·day-1) ,1,-0.38,0.62,11.95,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,32.62,101.53,208.72,298.34
Distance to Land (km),0,0,19,265,607
 

Map data (HSPEC) for predicted occurrences (n = 3730): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Acanthurus,olivaceus,-29.25,-177.75,5217:497:2,0.07
Acanthurus,olivaceus,-27.75,-144.25,5214:374:3,0.18
Acanthurus,olivaceus,-27.75,-143.25,5214:373:3,0.18
Acanthurus,olivaceus,-20.75,-139.25,5213:209:3,0.16
Acanthurus,olivaceus,-19.25,-141.25,5114:391:1,0.18
Acanthurus,olivaceus,-19.75,-140.25,5114:390:3,0.12
Acanthurus,olivaceus,-19.25,-140.75,5114:390:2,0.13
Acanthurus,olivaceus,-18.25,-142.25,5114:382:1,0.18
Acanthurus,olivaceus,-18.75,-141.75,5114:381:4,0.18
Acanthurus,olivaceus,-18.25,-141.25,5114:381:1,0.14
Acanthurus,olivaceus,-18.25,-140.75,5114:380:2,0.12
Acanthurus,olivaceus,-17.75,-142.75,5114:372:4,0.19
Acanthurus,olivaceus,-17.75,-142.25,5114:372:3,0.18
Acanthurus,olivaceus,-17.25,-141.25,5114:371:1,0.18
Acanthurus,olivaceus,-17.75,-140.75,5114:370:4,0.14
Acanthurus,olivaceus,-19.25,-139.25,5113:499:1,0.07
Acanthurus,olivaceus,-31.75,159.25,3315:219:3,0.13
Acanthurus,olivaceus,-31.25,159.25,3315:219:1,0.17
Acanthurus,olivaceus,-31.75,115.75,3311:215:4,0.02
Acanthurus,olivaceus,-31.75,115.25,3311:215:3,0.10
Acanthurus,olivaceus,-31.25,115.75,3311:215:2,0.01
Acanthurus,olivaceus,-31.25,115.25,3311:215:1,0.10
Acanthurus,olivaceus,-30.75,115.25,3311:205:3,0.12
Acanthurus,olivaceus,-30.25,115.25,3311:205:1,0.13
Acanthurus,olivaceus,-29.25,168.25,3216:498:1,0.06
Acanthurus,olivaceus,-29.75,167.75,3216:497:4,0.04
Acanthurus,olivaceus,-29.25,167.75,3216:497:2,0.07
