Mapping parameters for Acipenser sturio (Sturgeon)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  1 |  4 |  5 |  7 |  27 |  34 |  37 ,
Bounding Box (NSWE): ,71,34,-25,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,4,5,60,93
Temperature (°C),1,4.95,10.12,19.06,22.81
Salinity (psu),1,3.58,18.91,36.9,40.03
Primary Production (mgC·m-3·day-1) ,1,0.65,2.64,32.15,81.31
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.05
Dissolved Bottom Oxygen (mmol·m-3),0,182.99,240.59,298.66,408.48
Distance to Land (km),0,0,3,21,237
 

Map data (HSPEC) for predicted occurrences (n = 1767): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Acipenser,sturio,36.75,1.75,1300:361:4,0.18
Acipenser,sturio,36.75,2.25,1300:362:3,0.12
Acipenser,sturio,38.25,0.25,1300:380:1,0.07
Acipenser,sturio,39.25,0.25,1300:390:1,0.12
Acipenser,sturio,39.75,0.75,1300:390:4,0.13
Acipenser,sturio,36.75,8.25,1300:468:3,0.18
Acipenser,sturio,36.75,8.75,1300:468:4,0.13
Acipenser,sturio,37.25,8.25,1300:478:1,0.08
Acipenser,sturio,37.25,8.75,1300:478:2,0.08
Acipenser,sturio,37.25,9.25,1300:479:1,0.16
Acipenser,sturio,37.25,9.75,1300:479:2,0.18
Acipenser,sturio,39.75,8.75,1300:498:4,0.02
Acipenser,sturio,39.25,9.25,1300:499:1,0.04
Acipenser,sturio,39.25,9.75,1300:499:2,0.01
Acipenser,sturio,39.75,9.75,1300:499:4,0.03
Acipenser,sturio,34.25,10.25,1301:140:1,0.05
Acipenser,sturio,34.25,10.75,1301:140:2,0.03
Acipenser,sturio,34.75,10.75,1301:140:4,0.07
Acipenser,sturio,34.75,11.25,1301:141:3,0.05
Acipenser,sturio,35.75,10.75,1301:350:4,0.08
Acipenser,sturio,35.25,11.25,1301:351:1,0.05
Acipenser,sturio,35.75,11.25,1301:351:3,0.02
Acipenser,sturio,36.25,10.75,1301:360:2,0.10
Acipenser,sturio,36.75,10.25,1301:360:3,0.17
Acipenser,sturio,36.75,10.75,1301:360:4,0.11
Acipenser,sturio,36.75,14.25,1301:364:3,0.06
Acipenser,sturio,36.75,14.75,1301:364:4,0.05
Acipenser,sturio,37.25,10.75,1301:370:2,0.01
Acipenser,sturio,37.25,13.75,1301:373:2,0.01
Acipenser,sturio,37.25,14.25,1301:374:1,0.03
Acipenser,sturio,36.75,15.25,1301:465:3,0.03
Acipenser,sturio,37.25,15.25,1301:475:1,0.04
Acipenser,sturio,37.75,15.25,1301:475:3,0.05
Acipenser,sturio,37.75,15.75,1301:475:4,0.08
Acipenser,sturio,37.75,16.25,1301:476:3,0.03
Acipenser,sturio,38.25,15.25,1301:485:1,0.01
Acipenser,sturio,38.25,15.75,1301:485:2,0.05
Acipenser,sturio,38.75,15.75,1301:485:4,0.02
Acipenser,sturio,38.25,16.25,1301:486:1,0.07
Acipenser,sturio,38.25,16.75,1301:486:2,0.03
Acipenser,sturio,38.75,16.25,1301:486:3,0.08
Acipenser,sturio,38.75,16.75,1301:486:4,0.13
Acipenser,sturio,38.75,17.25,1301:487:3,0.04
Acipenser,sturio,39.25,16.25,1301:496:1,0.08
Acipenser,sturio,39.75,16.75,1301:496:4,0.16
Acipenser,sturio,39.25,17.25,1301:497:1,0.02
Acipenser,sturio,39.75,17.25,1301:497:3,0.02
Acipenser,sturio,39.75,18.75,1301:498:4,0.01
Acipenser,sturio,39.25,19.75,1301:499:2,0.01
Acipenser,sturio,39.75,19.25,1301:499:3,0.06
Acipenser,sturio,36.75,21.75,1302:361:4,0.05
Acipenser,sturio,36.75,22.25,1302:362:3,0.08
Acipenser,sturio,36.75,22.75,1302:362:4,0.10
Acipenser,sturio,36.75,23.25,1302:363:3,0.06
Acipenser,sturio,37.25,21.25,1302:371:1,0.05
Acipenser,sturio,37.75,21.25,1302:371:3,0.04
Acipenser,sturio,37.25,23.25,1302:373:1,0.19
Acipenser,sturio,37.25,23.75,1302:373:2,0.01
Acipenser,sturio,37.75,24.25,1302:374:3,0.15
Acipenser,sturio,38.25,20.75,1302:380:2,0.03
Acipenser,sturio,38.25,24.25,1302:384:1,0.13
Acipenser,sturio,38.75,24.75,1302:384:4,0.01
Acipenser,sturio,39.25,20.25,1302:390:1,0.13
Acipenser,sturio,39.75,23.75,1302:393:4,0.09
Acipenser,sturio,39.25,24.75,1302:394:2,0.02
Acipenser,sturio,39.75,24.75,1302:394:4,0.02
Acipenser,sturio,36.25,27.75,1302:467:2,0.01
Acipenser,sturio,36.75,27.25,1302:467:3,0.01
Acipenser,sturio,36.75,27.75,1302:467:4,0.03
Acipenser,sturio,36.25,28.25,1302:468:1,0.01
Acipenser,sturio,36.75,28.25,1302:468:3,0.06
Acipenser,sturio,36.75,28.75,1302:468:4,0.06
Acipenser,sturio,36.25,29.25,1302:469:1,0.02
Acipenser,sturio,36.25,29.75,1302:469:2,0.02
