Mapping parameters for Alosa caspia caspia (Caspian shad)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 37,
Bounding Box (NSWE): ,48,37,27,54

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,13.31,13.81,15.32,16.56
Salinity (psu),1,16.15,16.65,17.96,18.78
Primary Production,1,804,1119.6,1993.8,2319
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,5,9.2,17,22
 

Map data (HSPEC) for predicted occurrences (n = 144): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Alosa,caspia caspia,40.25,28.25,1402:208:1,0.05
Alosa,caspia caspia,42.25,27.25,1402:227:1,0.17
Alosa,caspia caspia,43.75,29.75,1402:239:4,0.19
Alosa,caspia caspia,44.25,29.75,1402:249:2,0.12
Alosa,caspia caspia,44.75,30.75,1403:140:4,0.04
Alosa,caspia caspia,44.25,33.25,1403:143:1,0.01
Alosa,caspia caspia,44.25,33.75,1403:143:2,0.10
Alosa,caspia caspia,44.25,34.25,1403:144:1,0.05
Alosa,caspia caspia,45.25,31.25,1403:351:1,0.12
Alosa,caspia caspia,45.25,31.75,1403:351:2,0.01
Alosa,caspia caspia,45.25,32.75,1403:352:2,0.14
Alosa,caspia caspia,46.25,30.25,1403:360:1,0.17
Alosa,caspia caspia,46.25,30.75,1403:360:2,0.17
Alosa,caspia caspia,46.75,32.25,1403:362:3,0.06
Alosa,caspia caspia,47.25,37.75,1403:477:2,0.15
Alosa,caspia caspia,47.25,38.25,1403:478:1,0.14
Alosa,caspia caspia,47.25,38.75,1403:478:2,0.18
Alosa,caspia caspia,40.75,40.25,1404:100:3,0.02
Alosa,caspia caspia,41.25,40.25,1404:110:1,0.09
Alosa,caspia caspia,41.25,40.75,1404:110:2,0.14
Alosa,caspia caspia,41.25,41.25,1404:111:1,0.06
Alosa,caspia caspia,41.75,41.75,1404:111:4,0.06
Alosa,caspia caspia,42.75,40.75,1404:120:4,0.09
Alosa,caspia caspia,43.25,41.25,1404:131:1,0.12
Alosa,caspia caspia,41.25,27.75,1402:217:2,0.21
Alosa,caspia caspia,43.25,28.75,1402:238:2,0.33
Alosa,caspia caspia,41.75,31.75,1403:111:4,0.36
Alosa,caspia caspia,44.75,30.25,1403:140:3,0.25
Alosa,caspia caspia,44.75,33.25,1403:143:3,0.32
Alosa,caspia caspia,44.75,34.75,1403:144:4,0.34
Alosa,caspia caspia,40.75,38.25,1403:208:3,0.37
Alosa,caspia caspia,40.75,38.75,1403:208:4,0.37
Alosa,caspia caspia,41.25,38.25,1403:218:1,0.30
Alosa,caspia caspia,41.25,38.75,1403:218:2,0.25
Alosa,caspia caspia,41.25,39.25,1403:219:1,0.26
Alosa,caspia caspia,41.25,39.75,1403:219:2,0.20
Alosa,caspia caspia,43.75,39.25,1403:239:3,0.24
Alosa,caspia caspia,44.75,35.25,1403:245:3,0.28
