Mapping parameters for Alosa sapidissima (American shad)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,54,28,-84,-52

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,28,118,250
Temperature (°C),1,-0.47,7.7,19.53,25.36
Salinity (psu),1,19.86,26.45,34.62,37.55
Primary Production (mgC·m-3·day-1) ,1,2.15,3.17,30.46,56.51
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0.03,0.12
Dissolved Bottom Oxygen (mmol·m-3),0,1.33,162.05,310.23,382.14
Distance to Land (km),0,0,4,206,426
 

Map data (HSPEC) for predicted occurrences (n = 706): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Alosa,sapidissima,28.25,-80.75,7208:380:2,0.02
Alosa,sapidissima,28.75,-80.75,7208:380:4,0.07
Alosa,sapidissima,28.25,-82.75,7208:382:2,0.12
Alosa,sapidissima,28.75,-82.75,7208:382:4,0.18
Alosa,sapidissima,28.25,-83.25,7208:383:1,0.04
Alosa,sapidissima,28.75,-83.25,7208:383:3,0.07
Alosa,sapidissima,29.25,-80.75,7208:390:2,0.07
Alosa,sapidissima,29.75,-80.75,7208:390:4,0.07
Alosa,sapidissima,29.25,-81.25,7208:391:1,0.06
Alosa,sapidissima,29.75,-81.25,7208:391:3,0.15
Alosa,sapidissima,29.25,-82.75,7208:392:2,0.05
Alosa,sapidissima,29.25,-83.25,7208:393:1,0.12
Alosa,sapidissima,29.25,-83.75,7208:393:2,0.11
Alosa,sapidissima,29.75,-83.25,7208:393:3,0.11
Alosa,sapidissima,29.75,-83.75,7208:393:4,0.18
Alosa,sapidissima,32.25,-64.75,7306:124:2,0.11
Alosa,sapidissima,32.75,-64.75,7306:124:4,0.13
Alosa,sapidissima,31.75,-65.25,7306:215:3,0.07
Alosa,sapidissima,32.25,-65.25,7306:225:1,0.11
Alosa,sapidissima,31.75,-79.75,7307:219:4,0.04
Alosa,sapidissima,32.75,-78.25,7307:228:3,0.04
Alosa,sapidissima,32.75,-78.75,7307:228:4,0.10
Alosa,sapidissima,32.25,-79.25,7307:229:1,0.06
Alosa,sapidissima,32.25,-79.75,7307:229:2,0.17
Alosa,sapidissima,33.75,-76.75,7307:236:4,0.04
Alosa,sapidissima,33.25,-77.25,7307:237:1,0.03
Alosa,sapidissima,33.25,-77.75,7307:237:2,0.10
Alosa,sapidissima,33.75,-77.25,7307:237:3,0.13
Alosa,sapidissima,33.25,-78.25,7307:238:1,0.16
Alosa,sapidissima,33.25,-79.75,7307:239:2,0.05
Alosa,sapidissima,33.75,-79.25,7307:239:3,0.15
Alosa,sapidissima,34.75,-75.25,7307:245:3,0.01
Alosa,sapidissima,34.75,-75.75,7307:245:4,0.11
Alosa,sapidissima,34.25,-76.25,7307:246:1,0.08
Alosa,sapidissima,34.25,-76.75,7307:246:2,0.19
Alosa,sapidissima,35.25,-74.75,7307:354:2,0.05
Alosa,sapidissima,37.75,-76.75,7307:476:4,0.01
Alosa,sapidissima,38.75,-75.75,7307:485:4,0.02
Alosa,sapidissima,38.25,-76.75,7307:486:2,0.02
Alosa,sapidissima,38.75,-76.25,7307:486:3,0.09
Alosa,sapidissima,38.75,-76.75,7307:486:4,0.03
Alosa,sapidissima,38.25,-77.25,7307:487:1,0.01
Alosa,sapidissima,39.25,-75.75,7307:495:2,0.02
Alosa,sapidissima,39.75,-75.25,7307:495:3,0.02
Alosa,sapidissima,39.75,-75.75,7307:495:4,0.03
Alosa,sapidissima,39.25,-76.25,7307:496:1,0.17
Alosa,sapidissima,39.25,-76.75,7307:496:2,0.01
Alosa,sapidissima,30.25,-80.75,7308:100:2,0.08
Alosa,sapidissima,30.75,-80.75,7308:100:4,0.12
Alosa,sapidissima,30.25,-81.25,7308:101:1,0.18
Alosa,sapidissima,31.25,-80.25,7308:110:1,0.08
Alosa,sapidissima,31.75,-80.25,7308:110:3,0.17
Alosa,sapidissima,32.75,-80.75,7308:120:4,0.02
Alosa,sapidissima,47.25,-53.25,7405:373:1,0.06
Alosa,sapidissima,48.25,-54.25,7405:384:1,0.03
Alosa,sapidissima,48.75,-54.25,7405:384:3,0.03
Alosa,sapidissima,47.25,-59.25,7405:479:1,0.04
Alosa,sapidissima,49.25,-55.25,7405:495:1,0.11
Alosa,sapidissima,49.25,-55.75,7405:495:2,0.03
Alosa,sapidissima,49.25,-56.25,7405:496:1,0.03
Alosa,sapidissima,49.25,-57.75,7405:497:2,0.03
Alosa,sapidissima,43.75,-60.75,7406:130:4,0.16
Alosa,sapidissima,43.75,-61.25,7406:131:3,0.08
Alosa,sapidissima,44.25,-65.75,7406:245:2,0.07
Alosa,sapidissima,44.75,-67.75,7406:247:4,0.07
Alosa,sapidissima,44.75,-68.25,7406:248:3,0.07
Alosa,sapidissima,44.75,-68.75,7406:248:4,0.07
Alosa,sapidissima,44.25,-69.75,7406:249:2,0.04
Alosa,sapidissima,45.25,-63.25,7406:353:1,0.04
Alosa,sapidissima,47.75,-69.25,7406:479:3,0.04
Alosa,sapidissima,47.75,-69.75,7406:479:4,0.01
Alosa,sapidissima,48.25,-66.75,7406:486:2,0.01
Alosa,sapidissima,48.25,-68.75,7406:488:2,0.02
