Mapping parameters for Anchoa hepsetus (Broad-striped anchovy)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  31 |  41 ,
Bounding Box (NSWE): ,44,-36,-98,-32

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,8,36,70
Temperature (°C),1,9.87,14.26,28,32.2
Salinity (psu),1,13.52,27.74,36.17,36.67
Primary Production (mgC·m-3·day-1) ,1,-0.16,0.84,31.34,52.15
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.01
Dissolved Bottom Oxygen (mmol·m-3),0,126.56,194.81,258.36,286.17
Distance to Land (km),0,0,4,115,500
 

Map data (HSPEC) for predicted occurrences (n = 1418): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Anchoa,hepsetus,43.75,-70.25,7407:130:3,0.12
Anchoa,hepsetus,43.25,-70.75,7407:130:2,0.10
Anchoa,hepsetus,42.25,-71.25,7407:121:1,0.06
Anchoa,hepsetus,40.25,-74.25,7407:104:1,0.16
Anchoa,hepsetus,40.75,-73.75,7407:103:4,0.10
Anchoa,hepsetus,40.25,-71.25,7407:101:1,0.03
Anchoa,hepsetus,40.25,-70.25,7407:100:1,0.06
Anchoa,hepsetus,43.75,-69.75,7406:239:4,0.07
Anchoa,hepsetus,43.25,-69.75,7406:239:2,0.04
Anchoa,hepsetus,42.75,-68.75,7406:228:4,0.09
Anchoa,hepsetus,42.25,-66.75,7406:226:2,0.07
Anchoa,hepsetus,40.75,-67.25,7406:207:3,0.12
Anchoa,hepsetus,43.25,-62.75,7406:132:2,0.17
Anchoa,hepsetus,43.25,-62.25,7406:132:1,0.02
Anchoa,hepsetus,43.75,-61.75,7406:131:4,0.09
Anchoa,hepsetus,43.75,-61.25,7406:131:3,0.04
Anchoa,hepsetus,43.25,-61.75,7406:131:2,0.07
Anchoa,hepsetus,43.25,-61.25,7406:131:1,0.11
Anchoa,hepsetus,43.25,-60.75,7406:130:2,0.04
Anchoa,hepsetus,42.75,-64.75,7406:124:4,0.03
Anchoa,hepsetus,42.75,-64.25,7406:124:3,0.01
Anchoa,hepsetus,43.75,-59.25,7405:239:3,0.01
Anchoa,hepsetus,43.75,-52.25,7405:132:3,0.18
Anchoa,hepsetus,43.75,-51.75,7405:131:4,0.10
Anchoa,hepsetus,43.75,-51.25,7405:131:3,0.01
Anchoa,hepsetus,42.75,-50.25,7405:120:3,0.18
Anchoa,hepsetus,30.25,-90.25,7309:100:1,0.04
Anchoa,hepsetus,30.25,-89.75,7308:209:2,0.01
Anchoa,hepsetus,30.25,-89.25,7308:209:1,0.04
Anchoa,hepsetus,30.75,-87.25,7308:207:3,0.14
Anchoa,hepsetus,39.25,-76.75,7307:496:2,0.02
Anchoa,hepsetus,39.25,-76.25,7307:496:1,0.16
Anchoa,hepsetus,39.75,-75.75,7307:495:4,0.05
Anchoa,hepsetus,39.25,-75.75,7307:495:2,0.02
Anchoa,hepsetus,38.25,-77.25,7307:487:1,0.07
Anchoa,hepsetus,38.75,-76.75,7307:486:4,0.10
Anchoa,hepsetus,38.75,-76.25,7307:486:3,0.11
Anchoa,hepsetus,38.25,-76.75,7307:486:2,0.05
Anchoa,hepsetus,33.25,-79.75,7307:239:2,0.14
Anchoa,hepsetus,33.25,-76.75,7307:236:2,0.15
Anchoa,hepsetus,32.25,-65.25,7306:225:1,0.04
Anchoa,hepsetus,27.25,-96.25,7209:476:1,0.14
Anchoa,hepsetus,26.75,-96.25,7209:466:3,0.14
Anchoa,hepsetus,29.75,-89.75,7208:499:4,0.18
Anchoa,hepsetus,27.75,-80.75,7208:370:4,0.14
Anchoa,hepsetus,25.25,-84.25,7208:354:1,0.19
Anchoa,hepsetus,25.75,-83.75,7208:353:4,0.14
Anchoa,hepsetus,24.25,-83.25,7208:143:1,0.02
Anchoa,hepsetus,22.75,-80.25,7208:120:3,0.11
Anchoa,hepsetus,27.25,-77.25,7207:477:1,0.16
Anchoa,hepsetus,26.25,-76.75,7207:466:2,0.18
Anchoa,hepsetus,25.25,-77.75,7207:457:2,0.13
Anchoa,hepsetus,25.25,-77.25,7207:457:1,0.14
Anchoa,hepsetus,25.75,-76.75,7207:456:4,0.19
Anchoa,hepsetus,25.25,-76.75,7207:456:2,0.19
Anchoa,hepsetus,24.75,-77.75,7207:247:4,0.08
Anchoa,hepsetus,24.75,-77.25,7207:247:3,0.13
Anchoa,hepsetus,24.25,-77.75,7207:247:2,0.09
Anchoa,hepsetus,24.25,-77.25,7207:247:1,0.12
Anchoa,hepsetus,24.75,-76.75,7207:246:4,0.14
Anchoa,hepsetus,24.75,-76.25,7207:246:3,0.17
Anchoa,hepsetus,24.25,-76.25,7207:246:1,0.19
Anchoa,hepsetus,24.75,-75.75,7207:245:4,0.17
