Mapping parameters for Engraulis encrasicolus (European anchovy)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  4 |  27 |  34 |  37 |  47 ,
Bounding Box (NSWE): ,62,-37,-18,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,46,183,400
Temperature (°C),1,4.13,11.57,27.89,32.09
Salinity (psu),1,6,31.48,37.56,39.13
Primary Production,1,0,476,1922,3830
Sea Ice Concentration,1,-1,0,0,0.13
Distance to Land (km),0,0,8,504,1221
 

Map data (HSPEC) for predicted occurrences (n = 2775): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Engraulis,encrasicolus,4.75,6.75,1000:246:4,0.02,0.021739130434783,0.98809523809524,1,1,1,1
Engraulis,encrasicolus,4.75,7.25,1000:247:3,0.02,0.021739130434783,0.99285714285714,0.96310832025118,1,1,1
Engraulis,encrasicolus,4.25,9.75,1000:249:2,0.03,0.043478260869565,1,0.94976452119309,0.78092243186583,1,1
Engraulis,encrasicolus,6.75,3.25,1000:363:3,0.04,0.043478260869565,1,1,1,1,1
Engraulis,encrasicolus,6.75,3.75,1000:363:4,0.02,0.021739130434783,1,1,1,1,1
Engraulis,encrasicolus,5.25,5.75,1000:455:2,0.02,0.021739130434783,0.98571428571429,1,1,1,1
Engraulis,encrasicolus,5.75,5.75,1000:455:4,0.02,0.021739130434783,0.98571428571429,1,1,1,1
Engraulis,encrasicolus,34.75,10.25,1301:140:3,0.02,0.021739130434783,1,1,1,1,1
Engraulis,encrasicolus,34.75,14.25,1301:144:3,0.18,0.29493087557604,1,0.84076433121019,0.72058823529412,1,1
Engraulis,encrasicolus,31.75,15.25,1301:215:3,0.15,0.45652173913043,1,0.63694267515924,0.50840336134454,1,1
Engraulis,encrasicolus,32.25,19.25,1301:229:1,0.13,0.47004608294931,1,0.4203821656051,0.68067226890756,1,1
Engraulis,encrasicolus,34.25,16.75,1301:246:2,0.10,0.22119815668203,1,0.63694267515924,0.6827731092437,1,1
