Mapping parameters for Aphanopus intermedius (Intermediate scabbardfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  47,
Bounding Box (NSWE): ,50,-35,105,14

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,300,433,754,1350
Temperature (°C),1,1.56,2.06,18.45,26.06
Salinity (psu),1,34.39,34.89,35.96,36.46
Primary Production (mgC·m-3·day-1) ,1,-0.71,0.29,26.26,59.83
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),1,31.94,152.29,253.33,325.71
Distance to Land (km),0,19,21,426,684
 

Map data (HSPEC) for predicted occurrences (n = 1979): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Aphanopus,intermedius,42.75,-67.25,7406:227:3,0.07
Aphanopus,intermedius,42.25,-66.25,7406:226:1,0.02
Aphanopus,intermedius,42.25,-64.25,7406:124:1,0.19
Aphanopus,intermedius,42.75,-51.75,7405:121:4,0.08
Aphanopus,intermedius,47.75,-43.25,7404:373:3,0.04
Aphanopus,intermedius,43.25,-48.75,7404:238:2,0.07
Aphanopus,intermedius,42.75,-49.25,7404:229:3,0.07
Aphanopus,intermedius,49.75,-28.75,7402:498:4,0.14
Aphanopus,intermedius,48.75,-27.75,7402:487:4,0.04
Aphanopus,intermedius,45.75,-27.25,7402:457:3,0.17
Aphanopus,intermedius,42.25,-29.25,7402:229:1,0.15
Aphanopus,intermedius,41.75,-29.75,7402:219:4,0.07
Aphanopus,intermedius,41.25,-28.75,7402:218:2,0.13
Aphanopus,intermedius,40.75,-29.75,7402:209:4,0.12
Aphanopus,intermedius,43.75,-22.75,7402:132:4,0.18
Aphanopus,intermedius,43.25,-11.75,7401:131:2,0.04
Aphanopus,intermedius,44.25,-6.25,7400:246:1,0.02
Aphanopus,intermedius,43.75,-8.25,7400:238:3,0.10
Aphanopus,intermedius,44.25,-4.25,7400:144:1,0.11
Aphanopus,intermedius,44.25,-1.75,7400:141:2,0.11
Aphanopus,intermedius,35.25,-75.25,7307:455:1,0.19
Aphanopus,intermedius,34.25,-76.25,7307:246:1,0.04
Aphanopus,intermedius,34.75,-75.75,7307:245:4,0.05
Aphanopus,intermedius,33.25,-77.25,7307:237:1,0.05
Aphanopus,intermedius,32.25,-79.25,7307:229:1,0.03
Aphanopus,intermedius,32.75,-78.25,7307:228:3,0.02
Aphanopus,intermedius,39.75,-68.75,7306:498:4,0.09
Aphanopus,intermedius,32.75,-64.25,7306:124:3,0.07
Aphanopus,intermedius,37.75,-59.75,7305:479:4,0.07
Aphanopus,intermedius,30.25,-42.25,7304:102:1,0.11
Aphanopus,intermedius,39.75,-30.25,7303:390:3,0.05
Aphanopus,intermedius,39.25,-30.75,7303:390:2,0.06
Aphanopus,intermedius,38.75,-32.25,7303:382:3,0.15
Aphanopus,intermedius,37.75,-33.75,7303:373:4,0.01
Aphanopus,intermedius,37.25,-30.25,7303:370:1,0.07
Aphanopus,intermedius,36.25,-33.25,7303:363:1,0.18
Aphanopus,intermedius,35.25,-34.75,7303:354:2,0.10
Aphanopus,intermedius,35.25,-34.25,7303:354:1,0.18
Aphanopus,intermedius,33.75,-37.25,7303:237:3,0.03
Aphanopus,intermedius,32.25,-39.75,7303:229:2,0.06
Aphanopus,intermedius,33.25,-30.25,7303:130:1,0.04
Aphanopus,intermedius,39.75,-27.25,7302:497:3,0.05
Aphanopus,intermedius,38.75,-25.75,7302:485:4,0.14
Aphanopus,intermedius,37.75,-28.25,7302:478:3,0.19
Aphanopus,intermedius,37.25,-27.75,7302:477:2,0.02
Aphanopus,intermedius,37.25,-26.25,7302:476:1,0.17
Aphanopus,intermedius,36.75,-25.75,7302:465:4,0.07
Aphanopus,intermedius,36.75,-14.75,7301:364:4,0.17
Aphanopus,intermedius,36.75,-13.75,7301:363:4,0.16
Aphanopus,intermedius,31.25,-11.25,7301:111:1,0.05
Aphanopus,intermedius,36.25,-6.25,7300:466:1,0.12
Aphanopus,intermedius,35.75,-6.25,7300:456:3,0.14
Aphanopus,intermedius,33.75,-8.25,7300:238:3,0.19
Aphanopus,intermedius,31.25,-9.75,7300:219:2,0.01
Aphanopus,intermedius,30.75,-9.75,7300:209:4,0.02
Aphanopus,intermedius,30.25,-9.75,7300:209:2,0.04
Aphanopus,intermedius,26.75,-95.25,7209:465:3,0.11
Aphanopus,intermedius,25.25,-96.75,7209:456:2,0.05
Aphanopus,intermedius,28.25,-90.75,7209:380:2,0.05
Aphanopus,intermedius,28.25,-90.25,7209:380:1,0.13
Aphanopus,intermedius,26.75,-94.75,7209:364:4,0.17
Aphanopus,intermedius,26.75,-92.75,7209:362:4,0.15
Aphanopus,intermedius,24.25,-97.25,7209:247:1,0.04
Aphanopus,intermedius,21.75,-97.25,7209:217:3,0.08
Aphanopus,intermedius,22.25,-91.75,7209:121:2,0.01
Aphanopus,intermedius,22.75,-90.25,7209:120:3,0.09
Aphanopus,intermedius,21.75,-92.75,7209:112:4,0.10
Aphanopus,intermedius,21.75,-92.25,7209:112:3,0.02
Aphanopus,intermedius,21.25,-92.25,7209:112:1,0.01
Aphanopus,intermedius,20.25,-94.25,7209:104:1,0.05
Aphanopus,intermedius,20.75,-92.25,7209:102:3,0.02
Aphanopus,intermedius,29.25,-88.75,7208:498:2,0.05
Aphanopus,intermedius,28.75,-89.75,7208:489:4,0.04
Aphanopus,intermedius,27.75,-88.75,7208:478:4,0.04
Aphanopus,intermedius,27.75,-86.25,7208:476:3,0.02
Aphanopus,intermedius,29.25,-80.25,7208:390:1,0.02
Aphanopus,intermedius,26.75,-84.25,7208:364:3,0.03
Aphanopus,intermedius,25.75,-84.25,7208:354:3,0.11
Aphanopus,intermedius,25.25,-84.25,7208:354:1,0.05
Aphanopus,intermedius,24.75,-88.25,7208:248:3,0.10
Aphanopus,intermedius,23.75,-88.75,7208:238:4,0.04
Aphanopus,intermedius,23.75,-88.25,7208:238:3,0.02
Aphanopus,intermedius,23.25,-87.25,7208:237:1,0.03
Aphanopus,intermedius,22.75,-87.25,7208:227:3,0.02
Aphanopus,intermedius,22.75,-85.25,7208:225:3,0.18
Aphanopus,intermedius,21.75,-85.75,7208:215:4,0.01
Aphanopus,intermedius,21.25,-85.75,7208:215:2,0.13
