Mapping parameters for Artedidraco mirus ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In Bounding Box
FAOAreas: 48,
Bounding Box (NSWE): ,-53,-55,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,18,52,200,320
Temperature (°C),1,1.06,1.56,1.81,2.31
Salinity (psu),1,33.24,33.74,33.78,34.28
Primary Production (mgC·m-3·day-1) ,1,1.29,2.83,6.23,7.84
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,117.57,208.87,327.73,375.83
Distance to Land (km),0,8,12,118,216
 

Map data (HSPEC) for predicted occurrences (n = 2): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Artedidraco,mirus,-53.25,73.75,3507:133:2,0.23
Artedidraco,mirus,-53.25,74.25,3507:134:1,0.30


Occurrence cells used for creating environmental envelope (n = 18)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Artedidraco,mirus,-54.75,-35.25,5503:245:3,211,1.56161797046661,1.53645598888397,33.7769584655762,34.447193145752,2.88900011219084,0.0000720000025467016,247.175735473633,64
Artedidraco,mirus,-54.75,-35.75,5503:245:4,106,1.70300304889679,1.235671043396,33.7567939758301,33.9649391174316,4.09700023010373,0.0000670000008540228,327.725128173828,15
Artedidraco,mirus,-54.75,-38.25,5503:248:3,889,1.5687769651413,1.35789096355438,33.7675552368164,34.2215805053711,2.79300007969141,0.000044000000343658,256.408233642578,96
Artedidraco,mirus,-54.25,-39.25,5503:249:1,1090,1.71798002719879,1.44736695289612,33.7459335327148,34.2171783447266,4.43700002506375,0.0000340000005962793,256.893585205078,118
Artedidraco,mirus,-54.25,-35.25,5503:245:1,814,1.44189202785492,1.1695259809494,33.7934837341309,34.7086791992188,2.8329999186098602,0.0000609999988228083,212.525299072266,97
Artedidraco,mirus,-54.25,-35.75,5503:245:2,195,1.6903920173645,1.22137904167175,33.7681999206543,34.3245277404785,4.2389999143779304,0.0000519999994139653,260.223937988281,65
Artedidraco,mirus,-54.25,-36.25,5503:246:1,131,1.80281794071198,0.875362992286682,33.7658042907715,34.1337280273438,6.11199997365475,0.0000430000000051223,270.932006835938,12
Artedidraco,mirus,-54.25,-36.75,5503:246:2,62,1.81852400302887,1.61556899547577,33.7721061706543,33.8591537475586,7.0290002040565,0.0000599999984842725,345.63134765625,8
Artedidraco,mirus,-54.25,-37.75,5503:247:2,149,1.75428998470306,1.30857598781586,33.7374267578125,33.8932991027832,6.23399997130036,0.0000450000006821938,323.328979492188,15
Artedidraco,mirus,-54.25,-38.25,5503:248:1,210,1.73149299621582,1.54469799995422,33.7390327453613,34.3396110534668,4.66400012373924,0.0000370000016118865,251.174987792969,65
Artedidraco,mirus,-53.75,-39.25,5503:239:3,1253,1.79046094417572,1.40094804763794,33.7593727111816,34.7009048461914,3.74400010332465,0.000022000000171829,208.867965698242,99
Artedidraco,mirus,-53.75,-39.75,5503:239:4,1723,1.78948700428009,0.933368027210236,33.7607917785645,34.7070121765137,3.05499997921288,0.0000209999998332933,210.886016845703,132
Artedidraco,mirus,-53.75,-36.25,5503:236:3,765,1.69127905368805,0.914188027381897,33.7848472595215,34.7040405273438,3.80400009453297,0.0000379999983124435,214.419189453125,89
Artedidraco,mirus,-53.75,-36.75,5503:236:4,298,1.7817120552063,1.08319699764252,33.7778167724609,34.125114440918,4.70500020310283,0.0000340000005962793,263.308166503906,66
Artedidraco,mirus,-53.75,-37.25,5503:237:3,218,1.79109597206116,0.701938986778259,33.7789497375488,34.0250473022461,5.38200000301003,0.0000290000007225899,278.98388671875,16
Artedidraco,mirus,-53.75,-37.75,5503:237:4,285,1.76063001155853,0.843012988567352,33.7617797851563,34.0152435302734,5.7919998653233105,0.0000280000003840541,292.508178710938,16
Artedidraco,mirus,-53.75,-38.25,5503:238:3,465,1.74367797374725,1.64729201793671,33.7545433044434,34.4414710998535,5.04000019282103,0.0000270000000455184,239.259231567383,16
Artedidraco,mirus,-53.75,-38.75,5503:238:4,800,1.7716189622879,1.33980298042297,33.7509155273438,34.7092552185059,4.40199999138713,0.0000240000008489005,208.278366088867,66
