Mapping parameters for Bathyraja shuntovi (Longnose deep-sea skate)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,300,450,803,1470
Temperature (°C),1,-0.47,3.16,8.09,13.57
Salinity (psu),1,33.84,34.34,34.98,35.48
Primary Production,1,257,366,973,1487
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,10,78,402,962
 

Map data (HSPEC) for predicted occurrences (n = 1269): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Bathyraja,shuntovi,-26.75,159.25,3215:469:3,0.04
Bathyraja,shuntovi,-27.25,159.25,3215:479:1,0.02
Bathyraja,shuntovi,-27.25,161.75,3216:371:2,0.01
Bathyraja,shuntovi,-27.75,161.25,3216:371:3,0.02
Bathyraja,shuntovi,-27.75,161.75,3216:371:4,0.01
Bathyraja,shuntovi,-27.25,162.75,3216:372:2,0.03
Bathyraja,shuntovi,-27.75,162.25,3216:372:3,0.01
Bathyraja,shuntovi,-27.75,162.75,3216:372:4,0.11
Bathyraja,shuntovi,-27.25,163.25,3216:373:1,0.01
Bathyraja,shuntovi,-27.75,163.25,3216:373:3,0.09
Bathyraja,shuntovi,-27.75,163.75,3216:373:4,0.01
Bathyraja,shuntovi,-28.75,160.75,3216:380:4,0.02
Bathyraja,shuntovi,-28.25,161.25,3216:381:1,0.01
Bathyraja,shuntovi,-28.25,161.75,3216:381:2,0.02
Bathyraja,shuntovi,-28.75,161.25,3216:381:3,0.02
Bathyraja,shuntovi,-28.75,161.75,3216:381:4,0.03
Bathyraja,shuntovi,-28.25,162.25,3216:382:1,0.05
Bathyraja,shuntovi,-28.25,162.75,3216:382:2,0.12
Bathyraja,shuntovi,-28.75,162.25,3216:382:3,0.05
Bathyraja,shuntovi,-28.75,162.75,3216:382:4,0.08
Bathyraja,shuntovi,-28.25,163.25,3216:383:1,0.14
Bathyraja,shuntovi,-28.25,163.75,3216:383:2,0.04
Bathyraja,shuntovi,-28.75,163.25,3216:383:3,0.10
Bathyraja,shuntovi,-28.75,163.75,3216:383:4,0.03
Bathyraja,shuntovi,-29.25,160.75,3216:390:2,0.05
Bathyraja,shuntovi,-29.75,160.75,3216:390:4,0.11
Bathyraja,shuntovi,-29.25,161.25,3216:391:1,0.04
Bathyraja,shuntovi,-29.25,161.75,3216:391:2,0.08
Bathyraja,shuntovi,-29.75,161.25,3216:391:3,0.16
Bathyraja,shuntovi,-29.75,161.75,3216:391:4,0.15
Bathyraja,shuntovi,-29.25,162.25,3216:392:1,0.11
Bathyraja,shuntovi,-29.25,162.75,3216:392:2,0.15
Bathyraja,shuntovi,-29.75,162.25,3216:392:3,0.18
Bathyraja,shuntovi,-29.75,162.75,3216:392:4,0.18
Bathyraja,shuntovi,-29.25,163.25,3216:393:1,0.12
Bathyraja,shuntovi,-29.75,163.75,3216:393:4,0.03
Bathyraja,shuntovi,-25.25,167.25,3216:457:1,0.10
Bathyraja,shuntovi,-25.25,167.75,3216:457:2,0.17
Bathyraja,shuntovi,-25.75,167.25,3216:457:3,0.14
Bathyraja,shuntovi,-25.75,167.75,3216:457:4,0.05
Bathyraja,shuntovi,-25.25,168.25,3216:458:1,0.12
Bathyraja,shuntovi,-25.25,168.75,3216:458:2,0.02
Bathyraja,shuntovi,-25.75,168.25,3216:458:3,0.02
Bathyraja,shuntovi,-28.25,167.25,3216:487:1,0.02
Bathyraja,shuntovi,-28.25,167.75,3216:487:2,0.02
Bathyraja,shuntovi,-28.75,167.25,3216:487:3,0.01
Bathyraja,shuntovi,-29.25,168.75,3216:498:2,0.09
Bathyraja,shuntovi,-29.75,168.75,3216:498:4,0.06
Bathyraja,shuntovi,-29.25,169.75,3216:499:2,0.05
Bathyraja,shuntovi,-29.75,169.25,3216:499:3,0.01
Bathyraja,shuntovi,-25.25,170.25,3217:350:1,0.16
Bathyraja,shuntovi,-25.25,170.75,3217:350:2,0.14
Bathyraja,shuntovi,-26.75,173.75,3217:363:4,0.01
Bathyraja,shuntovi,-28.75,172.75,3217:382:4,0.03
Bathyraja,shuntovi,-28.75,173.25,3217:383:3,0.04
Bathyraja,shuntovi,-29.75,170.25,3217:390:3,0.19
Bathyraja,shuntovi,-29.75,171.75,3217:391:4,0.03
Bathyraja,shuntovi,-29.25,173.25,3217:393:1,0.01
Bathyraja,shuntovi,-29.75,174.25,3217:394:3,0.05
Bathyraja,shuntovi,-28.25,175.25,3217:485:1,0.11
Bathyraja,shuntovi,-28.25,175.75,3217:485:2,0.08
Bathyraja,shuntovi,-29.75,179.75,3217:499:4,0.01
Bathyraja,shuntovi,-30.75,153.25,3315:103:3,0.03
Bathyraja,shuntovi,-30.25,159.75,3315:209:2,0.08
Bathyraja,shuntovi,-36.25,150.25,3315:360:1,0.06
Bathyraja,shuntovi,-30.25,160.25,3316:100:1,0.08
Bathyraja,shuntovi,-30.25,160.75,3316:100:2,0.16
Bathyraja,shuntovi,-30.75,160.75,3316:100:4,0.15
Bathyraja,shuntovi,-30.75,161.25,3316:101:3,0.14
Bathyraja,shuntovi,-30.25,163.75,3316:103:2,0.10
Bathyraja,shuntovi,-30.75,163.75,3316:103:4,0.18
Bathyraja,shuntovi,-31.25,161.25,3316:111:1,0.13
Bathyraja,shuntovi,-31.25,161.75,3316:111:2,0.16
Bathyraja,shuntovi,-31.75,161.25,3316:111:3,0.19
Bathyraja,shuntovi,-31.25,163.75,3316:113:2,0.09
Bathyraja,shuntovi,-32.25,160.25,3316:120:1,0.02
Bathyraja,shuntovi,-32.75,160.25,3316:120:3,0.09
Bathyraja,shuntovi,-32.75,161.25,3316:121:3,0.16
Bathyraja,shuntovi,-32.25,163.75,3316:123:2,0.17
Bathyraja,shuntovi,-33.75,161.25,3316:131:3,0.01
Bathyraja,shuntovi,-33.25,164.25,3316:134:1,0.01
Bathyraja,shuntovi,-31.75,166.25,3316:216:3,0.19
Bathyraja,shuntovi,-31.25,168.25,3316:218:1,0.18
Bathyraja,shuntovi,-32.25,168.75,3316:228:2,0.09
Bathyraja,shuntovi,-34.25,169.25,3316:249:1,0.17
Bathyraja,shuntovi,-35.25,162.75,3316:352:2,0.14
Bathyraja,shuntovi,-35.75,163.25,3316:353:3,0.01
Bathyraja,shuntovi,-36.75,164.25,3316:364:3,0.02
Bathyraja,shuntovi,-38.25,164.75,3316:384:2,0.14
Bathyraja,shuntovi,-35.75,166.75,3316:456:4,0.01
Bathyraja,shuntovi,-35.75,167.25,3316:457:3,0.01
Bathyraja,shuntovi,-36.25,167.25,3316:467:1,0.06
Bathyraja,shuntovi,-36.75,168.75,3316:468:4,0.04
Bathyraja,shuntovi,-37.25,165.75,3316:475:2,0.01
Bathyraja,shuntovi,-37.25,166.25,3316:476:1,0.07
Bathyraja,shuntovi,-38.25,165.25,3316:485:1,0.11
Bathyraja,shuntovi,-38.25,166.75,3316:486:2,0.12
Bathyraja,shuntovi,-39.75,166.75,3316:496:4,0.03
Bathyraja,shuntovi,-30.75,172.25,3317:102:3,0.08
Bathyraja,shuntovi,-30.25,173.25,3317:103:1,0.11
Bathyraja,shuntovi,-30.75,173.75,3317:103:4,0.10
Bathyraja,shuntovi,-30.25,174.25,3317:104:1,0.01
Bathyraja,shuntovi,-31.25,172.25,3317:112:1,0.04
Bathyraja,shuntovi,-31.25,173.25,3317:113:1,0.13
Bathyraja,shuntovi,-31.75,173.25,3317:113:3,0.06
Bathyraja,shuntovi,-32.25,172.25,3317:122:1,0.12
Bathyraja,shuntovi,-32.75,172.25,3317:122:3,0.12
Bathyraja,shuntovi,-32.75,172.75,3317:122:4,0.16
Bathyraja,shuntovi,-32.75,173.25,3317:123:3,0.09
Bathyraja,shuntovi,-33.25,172.75,3317:132:2,0.18
Bathyraja,shuntovi,-33.25,173.25,3317:133:1,0.09
Bathyraja,shuntovi,-33.75,173.25,3317:133:3,0.07
Bathyraja,shuntovi,-34.75,171.25,3317:141:3,0.08
Bathyraja,shuntovi,-34.25,172.25,3317:142:1,0.06
Bathyraja,shuntovi,-30.25,179.75,3317:209:2,0.15
Bathyraja,shuntovi,-31.25,175.25,3317:215:1,0.04
Bathyraja,shuntovi,-31.25,179.25,3317:219:1,0.04
Bathyraja,shuntovi,-31.75,179.25,3317:219:3,0.09
Bathyraja,shuntovi,-32.25,178.75,3317:228:2,0.13
Bathyraja,shuntovi,-32.75,178.75,3317:228:4,0.19
Bathyraja,shuntovi,-32.25,179.25,3317:229:1,0.05
Bathyraja,shuntovi,-33.25,178.25,3317:238:1,0.04
Bathyraja,shuntovi,-33.25,178.75,3317:238:2,0.12
Bathyraja,shuntovi,-34.75,175.75,3317:245:4,0.03
Bathyraja,shuntovi,-34.75,177.75,3317:247:4,0.15
Bathyraja,shuntovi,-34.25,178.25,3317:248:1,0.06
Bathyraja,shuntovi,-34.25,179.25,3317:249:1,0.11
Bathyraja,shuntovi,-35.75,171.75,3317:351:4,0.05
Bathyraja,shuntovi,-36.25,172.25,3317:362:1,0.07
Bathyraja,shuntovi,-37.75,171.25,3317:371:3,0.10
Bathyraja,shuntovi,-37.25,172.75,3317:372:2,0.12
Bathyraja,shuntovi,-37.75,172.75,3317:372:4,0.12
Bathyraja,shuntovi,-37.25,174.25,3317:374:1,0.09
Bathyraja,shuntovi,-37.75,174.25,3317:374:3,0.09
Bathyraja,shuntovi,-38.75,172.75,3317:382:4,0.15
Bathyraja,shuntovi,-39.75,172.25,3317:392:3,0.03
Bathyraja,shuntovi,-35.75,175.75,3317:455:4,0.10
