Mapping parameters for Benthalbella elongata ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 41 |  47 |  48 |  51 |  57 |  58 |  81 |  87 |  88,
Bounding Box (NSWE): ,-35,-69,,

Pelagic: True,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,500,1001,1912,4000
Temperature (°C),1,-1.69,-1.19,1.64,7.73
Salinity (psu),1,33.64,34.14,34.73,35.23
Primary Production (mgC·m-3·day-1) ,1,1.15,2.15,6.75,20.98
Sea Ice Concentration (0-1 fraction),1,-0.8,0,0.58,0.65
Dissolved Bottom Oxygen (mmol·m-3),1,156.18,210.46,288.52,321.75
Distance to Land (km),0,4,54,1375,1886
 

Map data (HSPEC) for predicted occurrences (n = 44480): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Benthalbella,elongata,-68.75,-179.25,5617:489:3,0.01
Benthalbella,elongata,-68.25,-179.75,5617:489:2,0.06
Benthalbella,elongata,-68.25,-179.25,5617:489:1,0.07
Benthalbella,elongata,-68.75,-178.25,5617:488:3,0.01
Benthalbella,elongata,-68.25,-178.75,5617:488:2,0.09
Benthalbella,elongata,-68.25,-178.25,5617:488:1,0.10
Benthalbella,elongata,-68.75,-177.75,5617:487:4,0.01
Benthalbella,elongata,-68.75,-177.25,5617:487:3,0.02
Benthalbella,elongata,-68.25,-177.75,5617:487:2,0.12
Benthalbella,elongata,-68.25,-177.25,5617:487:1,0.13
Benthalbella,elongata,-68.75,-176.75,5617:486:4,0.02
Benthalbella,elongata,-68.75,-176.25,5617:486:3,0.02
Benthalbella,elongata,-68.25,-176.75,5617:486:2,0.13
Benthalbella,elongata,-68.25,-176.25,5617:486:1,0.15
Benthalbella,elongata,-68.75,-175.75,5617:485:4,0.04
Benthalbella,elongata,-68.75,-175.25,5617:485:3,0.05
