Mapping parameters for Benthodesmus elongatus (Elongate frostfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  41 |  51 |  57 |  71 |  81 |  87,
Bounding Box (NSWE): ,-9,-44,30,-26

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,178,273,518,950
Temperature (°C),1,12.05,16.94,26.29,30.49
Salinity (psu),1,30.64,33.06,35.71,36.93
Primary Production,1,128,312,995,2870
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,17,442,1108
 

Map data (HSPEC) for predicted occurrences (n = 2520): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Benthodesmus,elongatus,-9.25,60.75,3006:390:2,0.13
Benthodesmus,elongatus,-9.25,109.75,3010:499:2,0.17
Benthodesmus,elongatus,-9.75,110.25,3011:390:3,0.04
Benthodesmus,elongatus,-9.75,120.25,3012:390:3,0.03
Benthodesmus,elongatus,-9.75,123.25,3012:393:3,0.05
Benthodesmus,elongatus,-9.75,125.75,3012:495:4,0.09
Benthodesmus,elongatus,-9.25,127.75,3012:497:2,0.15
Benthodesmus,elongatus,-9.25,131.75,3013:391:2,0.13
Benthodesmus,elongatus,-9.75,132.25,3013:392:3,0.11
Benthodesmus,elongatus,-9.75,132.75,3013:392:4,0.01
Benthodesmus,elongatus,-9.25,146.25,3014:496:1,0.11
Benthodesmus,elongatus,-9.75,153.75,3015:393:4,0.02
Benthodesmus,elongatus,-9.75,166.25,3016:496:3,0.07
Benthodesmus,elongatus,-9.25,179.75,3017:499:2,0.14
Benthodesmus,elongatus,-11.25,41.25,3104:111:1,0.02
Benthodesmus,elongatus,-14.25,41.75,3104:141:2,0.14
Benthodesmus,elongatus,-16.25,40.75,3104:360:2,0.18
Benthodesmus,elongatus,-16.25,41.75,3104:361:2,0.05
Benthodesmus,elongatus,-16.25,43.25,3104:363:1,0.14
Benthodesmus,elongatus,-18.75,41.75,3104:381:4,0.14
Benthodesmus,elongatus,-16.25,59.75,3105:469:2,0.18
Benthodesmus,elongatus,-18.75,58.25,3105:488:3,0.05
Benthodesmus,elongatus,-10.25,61.25,3106:101:1,0.19
Benthodesmus,elongatus,-10.75,61.75,3106:101:4,0.17
Benthodesmus,elongatus,-12.75,60.75,3106:120:4,0.14
Benthodesmus,elongatus,-13.25,61.25,3106:131:1,0.08
