Mapping parameters for Benthodesmus oligoradiatus (Sparse-rayed frostfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57,
Bounding Box (NSWE): ,18,-3,50,92

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,126,434,1000
Temperature (°C),1,25.32,26.76,28.84,33.04
Salinity (psu),1,31.78,34.85,36.25,37.88
Primary Production,1,213.5,524,1244,1537.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,26,97,599,1180.5
 

Map data (HSPEC) for predicted occurrences (n = 248): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Benthodesmus,oligoradiatus,0.75,56.25,1005:206:3,0.05
Benthodesmus,oligoradiatus,8.25,50.25,1005:380:1,0.06
Benthodesmus,oligoradiatus,8.25,50.75,1005:380:2,0.07
Benthodesmus,oligoradiatus,9.75,50.75,1005:390:4,0.05
Benthodesmus,oligoradiatus,6.25,72.25,1007:362:1,0.09
Benthodesmus,oligoradiatus,7.25,77.75,1007:477:2,0.05
Benthodesmus,oligoradiatus,7.25,78.25,1007:478:1,0.12
Benthodesmus,oligoradiatus,8.75,76.75,1007:486:4,0.16
Benthodesmus,oligoradiatus,8.25,77.25,1007:487:1,0.18
Benthodesmus,oligoradiatus,8.75,78.75,1007:488:4,0.09
Benthodesmus,oligoradiatus,9.25,75.25,1007:495:1,0.01
Benthodesmus,oligoradiatus,9.25,78.75,1007:498:2,0.15
Benthodesmus,oligoradiatus,5.75,81.75,1008:351:4,0.06
Benthodesmus,oligoradiatus,6.75,80.25,1008:360:3,0.03
Benthodesmus,oligoradiatus,9.75,81.25,1008:391:3,0.18
Benthodesmus,oligoradiatus,10.25,51.25,1105:101:1,0.01
Benthodesmus,oligoradiatus,13.25,50.25,1105:130:1,0.15
Benthodesmus,oligoradiatus,13.25,51.25,1105:131:1,0.05
Benthodesmus,oligoradiatus,16.75,54.25,1105:364:3,0.14
Benthodesmus,oligoradiatus,14.25,74.75,1107:144:2,0.05
Benthodesmus,oligoradiatus,11.75,75.25,1107:215:3,0.12
Benthodesmus,oligoradiatus,11.75,75.75,1107:215:4,0.06
