Mapping parameters for Beryx splendens (Splendid alfonsino)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,45,-43,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,25,400,600,1300
Temperature (°C),1,5.19,15.38,27.58,31.78
Salinity (psu),1,19.53,33.62,36.23,37.96
Primary Production (mgC·m-3·day-1) ,1,0.11,1.41,25.37,110.84
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.45,131.88,238.47,292.96
Distance to Land (km),0,1,18,423,1965
 

Map data (HSPEC) for predicted occurrences (n = 14458): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Beryx,splendens,42.25,-125.25,7412:225:1,0.14
Beryx,splendens,41.75,-125.25,7412:215:3,0.09
Beryx,splendens,40.25,-125.25,7412:205:1,0.17
Beryx,splendens,44.25,-124.25,7412:144:1,0.16
Beryx,splendens,43.75,-124.25,7412:134:3,0.16
Beryx,splendens,43.25,-124.25,7412:134:1,0.12
Beryx,splendens,42.75,-124.25,7412:124:3,0.09
Beryx,splendens,42.25,-124.25,7412:124:1,0.10
Beryx,splendens,43.75,-70.25,7407:130:3,0.06
Beryx,splendens,43.25,-70.25,7407:130:1,0.19
Beryx,splendens,42.75,-70.75,7407:120:4,0.10
Beryx,splendens,42.25,-70.75,7407:120:2,0.08
Beryx,splendens,42.25,-70.25,7407:120:1,0.15
Beryx,splendens,41.25,-72.75,7407:112:2,0.07
Beryx,splendens,41.25,-72.25,7407:112:1,0.05
Beryx,splendens,41.25,-71.75,7407:111:2,0.14
Beryx,splendens,41.25,-71.25,7407:111:1,0.05
Beryx,splendens,41.75,-70.75,7407:110:4,0.06
Beryx,splendens,41.75,-70.25,7407:110:3,0.14
Beryx,splendens,41.25,-70.75,7407:110:2,0.13
Beryx,splendens,41.25,-70.25,7407:110:1,0.03
Beryx,splendens,40.75,-73.25,7407:103:3,0.15
Beryx,splendens,40.25,-73.75,7407:103:2,0.06
Beryx,splendens,40.25,-73.25,7407:103:1,0.12
Beryx,splendens,40.75,-72.75,7407:102:4,0.04
Beryx,splendens,40.75,-72.25,7407:102:3,0.07
Beryx,splendens,40.25,-72.75,7407:102:2,0.08
Beryx,splendens,40.25,-72.25,7407:102:1,0.13
Beryx,splendens,40.75,-71.75,7407:101:4,0.10
Beryx,splendens,40.75,-71.25,7407:101:3,0.13
Beryx,splendens,40.75,-70.75,7407:100:4,0.12
Beryx,splendens,40.75,-70.25,7407:100:3,0.09
Beryx,splendens,44.25,-68.75,7406:248:2,0.04
Beryx,splendens,44.25,-68.25,7406:248:1,0.08
Beryx,splendens,44.25,-67.75,7406:247:2,0.17
Beryx,splendens,43.75,-69.75,7406:239:4,0.11
Beryx,splendens,43.75,-69.25,7406:239:3,0.14
Beryx,splendens,43.75,-68.75,7406:238:4,0.13
Beryx,splendens,43.75,-68.25,7406:238:3,0.18
Beryx,splendens,41.25,-69.75,7406:219:2,0.02
Beryx,splendens,41.25,-68.25,7406:218:1,0.10
Beryx,splendens,41.75,-67.25,7406:217:3,0.05
Beryx,splendens,41.25,-67.75,7406:217:2,0.05
Beryx,splendens,41.25,-67.25,7406:217:1,0.08
Beryx,splendens,41.75,-66.75,7406:216:4,0.08
Beryx,splendens,41.75,-66.25,7406:216:3,0.18
Beryx,splendens,40.75,-69.75,7406:209:4,0.09
Beryx,splendens,40.75,-69.25,7406:209:3,0.10
Beryx,splendens,40.75,-68.75,7406:208:4,0.11
Beryx,splendens,42.25,-64.25,7406:124:1,0.08
Beryx,splendens,43.75,-51.25,7405:131:3,0.10
Beryx,splendens,43.75,-50.75,7405:130:4,0.06
Beryx,splendens,43.75,-50.25,7405:130:3,0.07
Beryx,splendens,43.25,-50.25,7405:130:1,0.08
Beryx,splendens,42.75,-51.75,7405:121:4,0.01
Beryx,splendens,43.75,-49.75,7404:239:4,0.05
Beryx,splendens,43.25,-48.75,7404:238:2,0.01
Beryx,splendens,42.25,-29.25,7402:229:1,0.10
Beryx,splendens,41.75,-29.75,7402:219:4,0.01
