Mapping parameters for Boops boops (Bogue)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 |  47 ,
Bounding Box (NSWE): ,63,-16,-30,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,100,350
Temperature (°C),1,7,15.81,27.6,31.8
Salinity (psu),1,5.21,30.55,38.11,39.25
Primary Production (mgC·m-3·day-1) ,1,-0.46,0.54,39.02,139.39
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,0.1,130.17,254.53,408.48
Distance to Land (km),0,0,9,146,454
 

Map data (HSPEC) for predicted occurrences (n = 2667): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Boops,boops,60.75,-12.25,7601:102:3,0.02
Boops,boops,60.25,-12.75,7601:102:2,0.19
Boops,boops,60.25,-12.25,7601:102:1,0.08
Boops,boops,60.75,-11.25,7601:101:3,0.04
Boops,boops,60.25,-10.75,7601:100:2,0.01
Boops,boops,60.25,-10.25,7601:100:1,0.15
Boops,boops,62.75,-8.25,7600:228:3,0.17
Boops,boops,62.25,-8.75,7600:228:2,0.19
Boops,boops,62.25,-7.25,7600:227:1,0.18
Boops,boops,62.25,-6.75,7600:226:2,0.17
Boops,boops,62.25,-6.25,7600:226:1,0.19
Boops,boops,62.75,-5.75,7600:225:4,0.18
Boops,boops,62.75,-5.25,7600:225:3,0.12
Boops,boops,61.75,-8.75,7600:218:4,0.18
Boops,boops,61.75,-6.75,7600:216:4,0.18
Boops,boops,61.75,-5.25,7600:215:3,0.19
Boops,boops,61.25,-5.75,7600:215:2,0.17
Boops,boops,61.25,-5.25,7600:215:1,0.17
Boops,boops,60.25,-9.75,7600:209:2,0.06
Boops,boops,60.25,-9.25,7600:209:1,0.19
Boops,boops,60.25,-8.75,7600:208:2,0.08
Boops,boops,60.25,-6.25,7600:206:1,0.08
Boops,boops,60.75,-5.75,7600:205:4,0.10
Boops,boops,60.75,-5.25,7600:205:3,0.01
Boops,boops,62.25,-4.75,7600:124:2,0.18
Boops,boops,62.25,-4.25,7600:124:1,0.08
Boops,boops,61.75,-4.75,7600:114:4,0.15
Boops,boops,61.75,-4.25,7600:114:3,0.05
Boops,boops,61.25,-4.75,7600:114:2,0.06
Boops,boops,61.25,-2.25,7600:112:1,0.07
Boops,boops,61.75,-1.25,7600:111:3,0.16
Boops,boops,57.25,-15.25,7501:475:1,0.04
Boops,boops,56.25,-16.25,7501:466:1,0.14
Boops,boops,55.75,-15.75,7501:455:4,0.04
Boops,boops,55.75,-15.25,7501:455:3,0.10
Boops,boops,57.75,-14.75,7501:374:4,0.18
Boops,boops,55.75,-14.75,7501:354:4,0.03
Boops,boops,54.25,-11.75,7501:141:2,0.15
Boops,boops,53.75,-12.25,7501:132:3,0.14
Boops,boops,52.25,-14.25,7501:124:1,0.12
Boops,boops,52.25,-13.75,7501:123:2,0.12
Boops,boops,52.25,-13.25,7501:123:1,0.01
Boops,boops,52.25,-12.25,7501:122:1,0.02
Boops,boops,50.25,-11.25,7501:101:1,0.18
Boops,boops,59.75,-6.75,7500:496:4,0.03
