Mapping parameters for Brevoortia patronus (Gulf menhaden)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 31,
Bounding Box (NSWE): ,31,19,-95,-80

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,21.67,23.19,26.18,30.38
Salinity (psu),1,17.57,23.95,36.17,36.67
Primary Production (mgC·m-3·day-1) ,1,0.58,1.86,42.37,59.74
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,148.77,207.29,238.32,251.58
Distance to Land (km),0,0,2,88,123
 

Map data (HSPEC) for predicted occurrences (n = 219): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Brevoortia,patronus,19.25,-87.25,7108:497:1,0.11
Brevoortia,patronus,19.75,-87.25,7108:497:3,0.12
Brevoortia,patronus,22.75,-82.25,7208:122:3,0.01
Brevoortia,patronus,23.25,-80.25,7208:130:1,0.13
Brevoortia,patronus,23.25,-81.25,7208:131:1,0.14
Brevoortia,patronus,23.25,-81.75,7208:131:2,0.03
Brevoortia,patronus,23.25,-82.75,7208:132:2,0.01
Brevoortia,patronus,24.25,-80.25,7208:140:1,0.16
Brevoortia,patronus,24.75,-81.75,7208:141:4,0.16
Brevoortia,patronus,20.25,-86.75,7208:206:2,0.11
Brevoortia,patronus,22.75,-89.75,7208:229:4,0.14
Brevoortia,patronus,23.25,-88.25,7208:238:1,0.01
Brevoortia,patronus,25.25,-80.25,7208:350:1,0.07
Brevoortia,patronus,25.75,-82.25,7208:352:3,0.04
Brevoortia,patronus,26.75,-83.25,7208:363:3,0.01
Brevoortia,patronus,27.25,-83.25,7208:373:1,0.19
Brevoortia,patronus,27.25,-83.75,7208:373:2,0.16
Brevoortia,patronus,29.25,-86.25,7208:496:1,0.04
Brevoortia,patronus,20.25,-91.75,7209:101:2,0.01
Brevoortia,patronus,20.75,-91.75,7209:101:4,0.06
Brevoortia,patronus,21.25,-91.75,7209:111:2,0.04
Brevoortia,patronus,21.75,-91.75,7209:111:4,0.06
Brevoortia,patronus,22.75,-90.25,7209:120:3,0.04
Brevoortia,patronus,22.25,-91.25,7209:121:1,0.12
Brevoortia,patronus,22.25,-91.75,7209:121:2,0.01
Brevoortia,patronus,28.25,-91.25,7209:381:1,0.16
Brevoortia,patronus,28.25,-91.75,7209:381:2,0.17
Brevoortia,patronus,28.25,-92.25,7209:382:1,0.10
Brevoortia,patronus,28.25,-92.75,7209:382:2,0.07
Brevoortia,patronus,28.25,-93.25,7209:383:1,0.09
Brevoortia,patronus,28.25,-93.75,7209:383:2,0.18
Brevoortia,patronus,28.25,-94.25,7209:384:1,0.15
Brevoortia,patronus,30.25,-89.25,7308:209:1,0.12
Brevoortia,patronus,30.25,-89.75,7308:209:2,0.10
Brevoortia,patronus,30.25,-93.75,7309:103:2,0.17
Brevoortia,patronus,19.75,-87.75,7108:497:4,0.37
Brevoortia,patronus,19.75,-90.75,7109:390:4,0.25
Brevoortia,patronus,19.75,-91.25,7109:391:3,0.38
Brevoortia,patronus,23.25,-80.75,7208:130:2,0.25
Brevoortia,patronus,23.75,-80.25,7208:130:3,0.37
Brevoortia,patronus,24.75,-81.25,7208:141:3,0.22
Brevoortia,patronus,20.25,-87.25,7208:207:1,0.37
Brevoortia,patronus,21.75,-86.25,7208:216:3,0.26
Brevoortia,patronus,22.75,-89.25,7208:229:3,0.23
Brevoortia,patronus,23.25,-87.75,7208:237:2,0.35
Brevoortia,patronus,25.25,-80.75,7208:350:2,0.23
Brevoortia,patronus,25.25,-81.25,7208:351:1,0.35
Brevoortia,patronus,25.25,-81.75,7208:351:2,0.27
Brevoortia,patronus,26.75,-81.75,7208:361:4,0.20
Brevoortia,patronus,26.75,-83.75,7208:363:4,0.20
Brevoortia,patronus,27.75,-83.75,7208:373:4,0.29
Brevoortia,patronus,28.25,-83.75,7208:383:2,0.34
Brevoortia,patronus,28.25,-84.75,7208:384:2,0.33
Brevoortia,patronus,28.75,-85.25,7208:485:3,0.29
Brevoortia,patronus,20.25,-90.75,7209:100:2,0.33
Brevoortia,patronus,20.25,-91.25,7209:101:1,0.35
Brevoortia,patronus,20.75,-91.25,7209:101:3,0.38
Brevoortia,patronus,21.25,-91.25,7209:111:1,0.39
Brevoortia,patronus,21.75,-91.25,7209:111:3,0.30
Brevoortia,patronus,22.25,-90.75,7209:120:2,0.30
Brevoortia,patronus,28.75,-92.75,7209:382:4,0.25
Brevoortia,patronus,28.75,-93.25,7209:383:3,0.24
Brevoortia,patronus,28.75,-93.75,7209:383:4,0.30
Brevoortia,patronus,28.25,-94.75,7209:384:2,0.30
Brevoortia,patronus,29.75,-90.25,7209:390:3,0.20
Brevoortia,patronus,30.25,-85.25,7308:205:1,0.20
Brevoortia,patronus,30.75,-87.25,7308:207:3,0.37
Brevoortia,patronus,30.25,-90.25,7309:100:1,0.26
Brevoortia,patronus,19.25,-87.75,7108:497:2,0.57
Brevoortia,patronus,19.25,-91.25,7109:391:1,0.53
Brevoortia,patronus,20.75,-86.75,7208:206:4,0.56
Brevoortia,patronus,21.25,-86.25,7208:216:1,0.55
Brevoortia,patronus,21.25,-87.25,7208:217:1,0.48
Brevoortia,patronus,22.75,-88.75,7208:228:4,0.45
Brevoortia,patronus,22.25,-89.75,7208:229:2,0.57
Brevoortia,patronus,23.25,-87.25,7208:237:1,0.44
Brevoortia,patronus,26.75,-82.75,7208:362:4,0.43
Brevoortia,patronus,27.75,-80.75,7208:370:4,0.40
Brevoortia,patronus,27.75,-84.25,7208:374:3,0.45
Brevoortia,patronus,28.25,-84.25,7208:384:1,0.55
Brevoortia,patronus,29.25,-87.75,7208:497:2,0.58
Brevoortia,patronus,29.75,-89.25,7208:499:3,0.56
Brevoortia,patronus,20.75,-90.75,7209:100:4,0.46
Brevoortia,patronus,21.25,-90.75,7209:110:2,0.55
Brevoortia,patronus,21.75,-90.75,7209:110:4,0.50
Brevoortia,patronus,22.25,-90.25,7209:120:1,0.50
Brevoortia,patronus,28.25,-90.25,7209:380:1,0.57
Brevoortia,patronus,28.25,-90.75,7209:380:2,0.40
Brevoortia,patronus,28.75,-92.25,7209:382:3,0.44
Brevoortia,patronus,28.75,-94.25,7209:384:3,0.46
Brevoortia,patronus,30.75,-86.25,7308:206:3,0.59
Brevoortia,patronus,19.25,-90.75,7109:390:2,0.69
Brevoortia,patronus,19.75,-90.25,7109:390:3,0.71
Brevoortia,patronus,19.25,-91.75,7109:391:2,0.74
Brevoortia,patronus,19.25,-92.25,7109:392:1,0.74
Brevoortia,patronus,19.25,-92.75,7109:392:2,0.75
Brevoortia,patronus,20.75,-87.25,7208:207:3,0.68
Brevoortia,patronus,21.25,-86.75,7208:216:2,0.63
Brevoortia,patronus,21.75,-86.75,7208:216:4,0.72
Brevoortia,patronus,21.75,-88.75,7208:218:4,0.79
Brevoortia,patronus,21.25,-89.75,7208:219:2,0.71
Brevoortia,patronus,21.75,-89.25,7208:219:3,0.72
Brevoortia,patronus,21.75,-89.75,7208:219:4,0.69
Brevoortia,patronus,22.25,-86.75,7208:226:2,0.72
Brevoortia,patronus,22.75,-87.25,7208:227:3,0.78
Brevoortia,patronus,22.75,-87.75,7208:227:4,0.78
Brevoortia,patronus,22.25,-88.25,7208:228:1,0.75
Brevoortia,patronus,22.25,-88.75,7208:228:2,0.68
Brevoortia,patronus,22.75,-88.25,7208:228:3,0.71
Brevoortia,patronus,22.25,-89.25,7208:229:1,0.62
Brevoortia,patronus,26.25,-82.25,7208:362:1,0.62
Brevoortia,patronus,28.75,-83.75,7208:383:4,0.73
Brevoortia,patronus,28.75,-84.75,7208:384:4,0.71
Brevoortia,patronus,29.25,-88.25,7208:498:1,0.62
Brevoortia,patronus,29.75,-89.75,7208:499:4,0.62
Brevoortia,patronus,20.25,-90.25,7209:100:1,0.77
Brevoortia,patronus,20.75,-90.25,7209:100:3,0.61
Brevoortia,patronus,21.25,-90.25,7209:110:1,0.66
Brevoortia,patronus,21.75,-90.25,7209:110:3,0.61
Brevoortia,patronus,30.75,-81.25,7308:101:3,0.61
Brevoortia,patronus,30.25,-88.75,7308:208:2,0.62
Brevoortia,patronus,21.75,-87.25,7208:217:3,0.94
Brevoortia,patronus,21.75,-87.75,7208:217:4,0.91
Brevoortia,patronus,21.25,-88.75,7208:218:2,0.90
Brevoortia,patronus,21.75,-88.25,7208:218:3,0.84
Brevoortia,patronus,21.25,-89.25,7208:219:1,0.82
Brevoortia,patronus,22.25,-87.25,7208:227:1,0.86
Brevoortia,patronus,22.25,-87.75,7208:227:2,0.83
Brevoortia,patronus,25.75,-80.25,7208:350:3,0.80
Brevoortia,patronus,25.75,-81.25,7208:351:3,0.91
Brevoortia,patronus,25.75,-81.75,7208:351:4,0.93
Brevoortia,patronus,26.25,-80.25,7208:360:1,0.85
Brevoortia,patronus,26.75,-80.25,7208:360:3,0.91
Brevoortia,patronus,26.25,-81.75,7208:361:2,1.00
Brevoortia,patronus,26.75,-82.25,7208:362:3,0.88
Brevoortia,patronus,27.25,-80.25,7208:370:1,1.00
Brevoortia,patronus,27.75,-80.25,7208:370:3,0.97
Brevoortia,patronus,27.25,-82.25,7208:372:1,1.00
Brevoortia,patronus,27.25,-82.75,7208:372:2,1.00
Brevoortia,patronus,27.75,-82.25,7208:372:3,1.00
Brevoortia,patronus,27.75,-82.75,7208:372:4,1.00
Brevoortia,patronus,27.75,-83.25,7208:373:3,1.00
