Mapping parameters for Callorhinchus capensis (Cape elephantfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 47 |  51,
Bounding Box (NSWE): ,-16,-35,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,10,200,374
Temperature (°C),1,11.65,14.83,20.54,23.42
Salinity (psu),1,33.73,34.7,35.7,36.2
Primary Production (mgC·m-3·day-1) ,1,3.88,12.15,87.47,128.25
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,13.28,58.12,216.05,330.62
Distance to Land (km),0,0,7,216,968
 

Map data (HSPEC) for predicted occurrences (n = 195): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Callorhinchus,capensis,-34.25,-4.75,5300:144:2,0.01
Callorhinchus,capensis,-33.25,43.75,3304:133:2,0.01
Callorhinchus,capensis,-30.75,30.25,3303:100:3,0.03
Callorhinchus,capensis,-33.25,28.25,3302:238:1,0.12
Callorhinchus,capensis,-33.75,27.75,3302:237:4,0.15
Callorhinchus,capensis,-32.75,28.75,3302:228:4,0.05
Callorhinchus,capensis,-31.75,29.25,3302:219:3,0.12
Callorhinchus,capensis,-31.25,29.75,3302:219:2,0.07
Callorhinchus,capensis,-31.75,16.25,3301:216:3,0.08
Callorhinchus,capensis,-31.75,8.25,3300:218:3,0.06
Callorhinchus,capensis,-29.75,31.25,3203:391:3,0.03
Callorhinchus,capensis,-29.75,30.75,3203:390:4,0.02
Callorhinchus,capensis,-28.25,15.75,3201:485:2,0.06
Callorhinchus,capensis,-29.25,14.25,3201:394:1,0.06
Callorhinchus,capensis,-27.25,14.25,3201:374:1,0.17
Callorhinchus,capensis,-24.25,14.25,3201:144:1,0.08
Callorhinchus,capensis,-20.25,11.75,3201:101:2,0.15
Callorhinchus,capensis,-26.25,6.25,3200:466:1,0.05
Callorhinchus,capensis,-18.75,11.25,3101:381:3,0.19
Callorhinchus,capensis,-34.25,26.75,3302:246:2,0.32
Callorhinchus,capensis,-32.75,28.25,3302:228:3,0.36
Callorhinchus,capensis,-32.25,28.75,3302:228:2,0.24
Callorhinchus,capensis,-33.25,17.75,3301:237:2,0.30
Callorhinchus,capensis,-32.75,16.75,3301:226:4,0.33
Callorhinchus,capensis,-30.75,15.25,3301:205:3,0.21
Callorhinchus,capensis,-29.75,14.25,3201:394:3,0.27
Callorhinchus,capensis,-28.25,14.25,3201:384:1,0.21
Callorhinchus,capensis,-25.25,14.75,3201:354:2,0.36
Callorhinchus,capensis,-22.25,14.25,3201:124:1,0.32
Callorhinchus,capensis,-16.25,11.25,3101:361:1,0.34
Callorhinchus,capensis,-34.75,25.25,3302:245:3,0.59
Callorhinchus,capensis,-33.75,27.25,3302:237:3,0.40
Callorhinchus,capensis,-33.25,27.75,3302:237:2,0.46
Callorhinchus,capensis,-33.75,18.25,3301:238:3,0.44
Callorhinchus,capensis,-33.25,17.25,3301:237:1,0.40
Callorhinchus,capensis,-32.25,16.75,3301:226:2,0.59
Callorhinchus,capensis,-26.25,15.25,3201:465:1,0.59
Callorhinchus,capensis,-26.75,14.25,3201:364:3,0.41
Callorhinchus,capensis,-26.75,13.75,3201:363:4,0.56
Callorhinchus,capensis,-26.25,13.75,3201:363:2,0.45
Callorhinchus,capensis,-24.75,14.75,3201:144:4,0.43
Callorhinchus,capensis,-24.25,14.75,3201:144:2,0.47
Callorhinchus,capensis,-24.25,13.25,3201:143:1,0.47
Callorhinchus,capensis,-23.75,14.75,3201:134:4,0.47
Callorhinchus,capensis,-23.75,14.25,3201:134:3,0.42
Callorhinchus,capensis,-23.25,14.75,3201:134:2,0.44
Callorhinchus,capensis,-22.75,14.75,3201:124:4,0.43
Callorhinchus,capensis,-22.75,14.25,3201:124:3,0.44
Callorhinchus,capensis,-22.75,12.75,3201:122:4,0.44
Callorhinchus,capensis,-22.25,12.75,3201:122:2,0.45
Callorhinchus,capensis,-21.75,14.25,3201:114:3,0.47
Callorhinchus,capensis,-34.25,26.25,3302:246:1,0.72
Callorhinchus,capensis,-34.75,24.75,3302:144:4,0.79
Callorhinchus,capensis,-32.75,17.25,3301:227:3,0.76
Callorhinchus,capensis,-31.75,16.75,3301:216:4,0.63
Callorhinchus,capensis,-31.25,16.25,3301:216:1,0.75
Callorhinchus,capensis,-28.75,15.75,3201:485:4,0.68
Callorhinchus,capensis,-27.75,15.75,3201:475:4,0.60
Callorhinchus,capensis,-27.25,15.25,3201:475:1,0.69
Callorhinchus,capensis,-26.75,15.25,3201:465:3,0.66
Callorhinchus,capensis,-29.75,14.75,3201:394:4,0.65
Callorhinchus,capensis,-26.25,14.75,3201:364:2,0.74
Callorhinchus,capensis,-25.75,14.75,3201:354:4,0.64
Callorhinchus,capensis,-24.75,14.25,3201:144:3,0.66
Callorhinchus,capensis,-23.25,14.25,3201:134:1,0.65
Callorhinchus,capensis,-23.75,13.25,3201:133:3,0.75
Callorhinchus,capensis,-21.75,13.75,3201:113:4,0.61
Callorhinchus,capensis,-21.25,13.75,3201:113:2,0.66
Callorhinchus,capensis,-21.25,12.75,3201:112:2,0.74
Callorhinchus,capensis,-20.75,13.75,3201:103:4,0.76
Callorhinchus,capensis,-20.75,12.25,3201:102:3,0.68
Callorhinchus,capensis,-19.75,11.75,3101:391:4,0.61
Callorhinchus,capensis,-18.25,11.75,3101:381:2,0.75
Callorhinchus,capensis,-17.75,11.75,3101:371:4,0.74
Callorhinchus,capensis,-17.75,11.25,3101:371:3,0.65
Callorhinchus,capensis,-17.25,11.25,3101:371:1,0.65
Callorhinchus,capensis,-16.75,11.75,3101:361:4,0.78
Callorhinchus,capensis,-16.75,11.25,3101:361:3,0.64
Callorhinchus,capensis,-34.25,25.75,3302:245:2,1.00
Callorhinchus,capensis,-34.25,25.25,3302:245:1,1.00
Callorhinchus,capensis,-33.25,27.25,3302:237:1,0.81
Callorhinchus,capensis,-33.75,26.75,3302:236:4,0.95
Callorhinchus,capensis,-33.75,26.25,3302:236:3,1.00
Callorhinchus,capensis,-33.75,25.75,3302:235:4,1.00
Callorhinchus,capensis,-33.75,25.25,3302:235:3,1.00
Callorhinchus,capensis,-34.75,24.25,3302:144:3,1.00
Callorhinchus,capensis,-34.25,24.75,3302:144:2,1.00
Callorhinchus,capensis,-34.25,24.25,3302:144:1,1.00
Callorhinchus,capensis,-34.75,23.75,3302:143:4,1.00
Callorhinchus,capensis,-34.75,23.25,3302:143:3,1.00
Callorhinchus,capensis,-34.25,23.75,3302:143:2,1.00
Callorhinchus,capensis,-34.25,23.25,3302:143:1,1.00
Callorhinchus,capensis,-34.75,22.75,3302:142:4,1.00
Callorhinchus,capensis,-34.75,22.25,3302:142:3,1.00
Callorhinchus,capensis,-34.25,22.75,3302:142:2,1.00
Callorhinchus,capensis,-34.25,22.25,3302:142:1,1.00
Callorhinchus,capensis,-34.75,21.75,3302:141:4,1.00
Callorhinchus,capensis,-34.75,21.25,3302:141:3,1.00
Callorhinchus,capensis,-34.25,21.75,3302:141:2,1.00
Callorhinchus,capensis,-34.25,21.25,3302:141:1,1.00
Callorhinchus,capensis,-34.75,20.75,3302:140:4,1.00
Callorhinchus,capensis,-34.75,20.25,3302:140:3,1.00
Callorhinchus,capensis,-34.25,20.75,3302:140:2,1.00
Callorhinchus,capensis,-34.25,20.25,3302:140:1,1.00
Callorhinchus,capensis,-33.75,24.75,3302:134:4,1.00
Callorhinchus,capensis,-33.75,23.75,3302:133:4,1.00
Callorhinchus,capensis,-34.75,19.75,3301:249:4,1.00
Callorhinchus,capensis,-34.75,19.25,3301:249:3,1.00
Callorhinchus,capensis,-34.25,19.25,3301:249:1,1.00
Callorhinchus,capensis,-34.75,18.75,3301:248:4,1.00
Callorhinchus,capensis,-34.75,18.25,3301:248:3,1.00
Callorhinchus,capensis,-34.25,18.75,3301:248:2,1.00
Callorhinchus,capensis,-34.25,18.25,3301:248:1,1.00
Callorhinchus,capensis,-34.25,17.75,3301:247:2,0.86
Callorhinchus,capensis,-33.25,18.25,3301:238:1,0.92
Callorhinchus,capensis,-33.75,17.75,3301:237:4,1.00
Callorhinchus,capensis,-32.75,18.25,3301:228:3,1.00
Callorhinchus,capensis,-32.25,18.25,3301:228:1,1.00
Callorhinchus,capensis,-32.75,17.75,3301:227:4,1.00
Callorhinchus,capensis,-32.25,17.75,3301:227:2,1.00
Callorhinchus,capensis,-32.25,17.25,3301:227:1,1.00
Callorhinchus,capensis,-31.75,18.25,3301:218:3,1.00
Callorhinchus,capensis,-31.25,18.25,3301:218:1,1.00
Callorhinchus,capensis,-31.75,17.75,3301:217:4,1.00
Callorhinchus,capensis,-31.75,17.25,3301:217:3,1.00
Callorhinchus,capensis,-31.25,17.75,3301:217:2,1.00
Callorhinchus,capensis,-31.25,17.25,3301:217:1,1.00
Callorhinchus,capensis,-31.25,16.75,3301:216:2,0.88
Callorhinchus,capensis,-30.75,17.75,3301:207:4,1.00
Callorhinchus,capensis,-30.75,17.25,3301:207:3,1.00
Callorhinchus,capensis,-30.25,17.25,3301:207:1,1.00
Callorhinchus,capensis,-30.75,16.75,3301:206:4,1.00
Callorhinchus,capensis,-30.75,16.25,3301:206:3,1.00
Callorhinchus,capensis,-30.25,16.75,3301:206:2,1.00
Callorhinchus,capensis,-30.25,16.25,3301:206:1,1.00
Callorhinchus,capensis,-30.75,15.75,3301:205:4,1.00
Callorhinchus,capensis,-30.25,15.75,3301:205:2,1.00
Callorhinchus,capensis,-30.25,15.25,3301:205:1,0.95
