Mapping parameters for Canthidermis maculata (Rough triggerfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  34 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  87,
Bounding Box (NSWE): ,46,-18,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,12,55,110
Temperature (°C),1,13.27,25.45,28.8,33
Salinity (psu),1,23.53,33.61,35.88,38.61
Primary Production (mgC·m-3·day-1) ,1,0.11,1.47,13.64,93.95
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.03,124.37,243.98,345.02
Distance to Land (km),0,2,24,774,1787
 

Map data (HSPEC) for predicted occurrences (n = 7511): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Canthidermis,maculata,40.75,-73.25,7407:103:3,0.01
Canthidermis,maculata,40.25,-73.75,7407:103:2,0.05
Canthidermis,maculata,40.25,-73.25,7407:103:1,0.06
Canthidermis,maculata,40.75,-72.75,7407:102:4,0.01
Canthidermis,maculata,40.75,-72.25,7407:102:3,0.01
Canthidermis,maculata,40.25,-72.75,7407:102:2,0.08
Canthidermis,maculata,40.25,-72.25,7407:102:1,0.09
Canthidermis,maculata,40.75,-71.75,7407:101:4,0.02
Canthidermis,maculata,40.75,-71.25,7407:101:3,0.02
Canthidermis,maculata,40.25,-71.75,7407:101:2,0.10
Canthidermis,maculata,40.25,-71.25,7407:101:1,0.09
Canthidermis,maculata,40.25,-70.75,7407:100:2,0.08
Canthidermis,maculata,40.25,-70.25,7407:100:1,0.07
Canthidermis,maculata,40.25,-69.75,7406:209:2,0.06
Canthidermis,maculata,40.25,-69.25,7406:209:1,0.07
Canthidermis,maculata,40.25,-68.75,7406:208:2,0.12
Canthidermis,maculata,40.25,-68.25,7406:208:1,0.17
Canthidermis,maculata,40.75,-67.25,7406:207:3,0.01
Canthidermis,maculata,40.75,-66.75,7406:206:4,0.05
Canthidermis,maculata,45.25,-3.25,7400:353:1,0.17
Canthidermis,maculata,45.75,-2.75,7400:352:4,0.12
Canthidermis,maculata,45.75,-2.25,7400:352:3,0.18
Canthidermis,maculata,45.75,-1.75,7400:351:4,0.18
Canthidermis,maculata,45.75,-1.25,7400:351:3,0.14
Canthidermis,maculata,45.25,-1.25,7400:351:1,0.13
Canthidermis,maculata,45.75,-0.75,7400:350:4,0.06
Canthidermis,maculata,45.25,-0.75,7400:350:2,0.17
Canthidermis,maculata,44.25,-7.25,7400:247:1,0.09
Canthidermis,maculata,43.25,-9.25,7400:239:1,0.16
Canthidermis,maculata,43.75,-8.25,7400:238:3,0.17
Canthidermis,maculata,43.25,-8.75,7400:238:2,0.17
Canthidermis,maculata,43.25,-8.25,7400:238:1,0.18
Canthidermis,maculata,43.75,-7.75,7400:237:4,0.19
Canthidermis,maculata,42.75,-9.25,7400:229:3,0.17
Canthidermis,maculata,42.25,-9.25,7400:229:1,0.19
Canthidermis,maculata,42.75,-8.75,7400:228:4,0.04
Canthidermis,maculata,42.25,-8.75,7400:228:2,0.15
Canthidermis,maculata,41.75,-8.75,7400:218:4,0.16
Canthidermis,maculata,41.25,-8.75,7400:218:2,0.15
Canthidermis,maculata,40.75,-8.75,7400:208:4,0.18
Canthidermis,maculata,44.75,-1.25,7400:141:3,0.18
Canthidermis,maculata,44.25,-1.75,7400:141:2,0.11
