Mapping parameters for Canthigaster bennetti (Bennett's sharpnose puffer)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 47 |  51 |  57 |  61 |  71 |  77 |  81 |  87,
Bounding Box (NSWE): ,23,-32,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,2,9,15
Temperature (°C),1,21.44,24.7,29,33.2
Salinity (psu),1,28.14,32.55,35.39,36.76
Primary Production (mgC·m-3·day-1) ,1,0.05,1.05,16.49,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,21.38,99.71,208.98,291.25
Distance to Land (km),0,0,16,134,448
 

Map data (HSPEC) for predicted occurrences (n = 4012): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Canthigaster,bennetti,1.25,102.75,1010:112:2,0.17
Canthigaster,bennetti,1.75,102.75,1010:112:4,0.09
Canthigaster,bennetti,2.25,100.75,1010:120:2,0.15
Canthigaster,bennetti,2.75,101.25,1010:121:3,0.14
Canthigaster,bennetti,3.25,108.25,1010:238:1,0.16
Canthigaster,bennetti,9.25,104.25,1010:394:1,0.17
Canthigaster,bennetti,8.25,106.75,1010:486:2,0.17
Canthigaster,bennetti,9.25,106.25,1010:496:1,0.14
Canthigaster,bennetti,9.75,106.25,1010:496:3,0.08
Canthigaster,bennetti,9.75,106.75,1010:496:4,0.04
Canthigaster,bennetti,9.75,107.25,1010:497:3,0.04
Canthigaster,bennetti,1.75,111.25,1011:111:3,0.09
Canthigaster,bennetti,2.25,111.25,1011:121:1,0.16
Canthigaster,bennetti,4.75,118.25,1011:248:3,0.14
Canthigaster,bennetti,6.75,125.75,1012:465:4,0.17
Canthigaster,bennetti,15.75,39.25,1103:459:3,0.07
Canthigaster,bennetti,18.75,38.75,1103:488:4,0.09
Canthigaster,bennetti,12.75,42.75,1104:122:4,0.19
Canthigaster,bennetti,13.75,41.75,1104:131:4,0.08
Canthigaster,bennetti,13.25,42.25,1104:132:1,0.13
Canthigaster,bennetti,13.25,42.75,1104:132:2,0.17
Canthigaster,bennetti,13.75,42.25,1104:132:3,0.12
Canthigaster,bennetti,13.75,42.75,1104:132:4,0.19
Canthigaster,bennetti,14.25,41.25,1104:141:1,0.03
Canthigaster,bennetti,14.25,41.75,1104:141:2,0.11
Canthigaster,bennetti,14.75,41.25,1104:141:3,0.04
Canthigaster,bennetti,14.25,42.25,1104:142:1,0.09
Canthigaster,bennetti,14.25,42.75,1104:142:2,0.19
Canthigaster,bennetti,14.75,42.75,1104:142:4,0.17
Canthigaster,bennetti,14.75,43.25,1104:143:3,0.17
Canthigaster,bennetti,15.25,41.25,1104:351:1,0.04
Canthigaster,bennetti,15.75,41.25,1104:351:3,0.03
Canthigaster,bennetti,15.75,41.75,1104:351:4,0.09
Canthigaster,bennetti,15.25,42.25,1104:352:1,0.09
Canthigaster,bennetti,15.25,42.75,1104:352:2,0.10
Canthigaster,bennetti,15.75,42.25,1104:352:3,0.10
Canthigaster,bennetti,15.75,42.75,1104:352:4,0.04
Canthigaster,bennetti,16.25,41.75,1104:361:2,0.05
Canthigaster,bennetti,16.75,41.75,1104:361:4,0.02
Canthigaster,bennetti,16.25,42.25,1104:362:1,0.07
Canthigaster,bennetti,16.75,42.25,1104:362:3,0.04
Canthigaster,bennetti,16.75,42.75,1104:362:4,0.03
Canthigaster,bennetti,17.25,41.75,1104:371:2,0.04
Canthigaster,bennetti,17.25,42.25,1104:372:1,0.05
Canthigaster,bennetti,17.25,42.75,1104:372:2,0.05
Canthigaster,bennetti,17.75,42.25,1104:372:3,0.06
Canthigaster,bennetti,18.25,41.75,1104:381:2,0.01
Canthigaster,bennetti,15.25,52.25,1105:352:1,0.08
Canthigaster,bennetti,18.75,56.75,1105:486:4,0.16
Canthigaster,bennetti,13.25,74.25,1107:134:1,0.17
Canthigaster,bennetti,13.75,74.25,1107:134:3,0.17
Canthigaster,bennetti,19.25,70.75,1107:390:2,0.08
Canthigaster,bennetti,14.75,94.25,1109:144:3,0.12
Canthigaster,bennetti,12.25,99.75,1109:229:2,0.03
Canthigaster,bennetti,13.25,98.75,1109:238:2,0.07
Canthigaster,bennetti,14.75,97.75,1109:247:4,0.16
Canthigaster,bennetti,15.25,94.25,1109:354:1,0.08
Canthigaster,bennetti,15.75,94.25,1109:354:3,0.03
Canthigaster,bennetti,18.25,94.75,1109:384:2,0.16
Canthigaster,bennetti,15.25,95.25,1109:455:1,0.02
Canthigaster,bennetti,12.25,100.25,1110:120:1,0.15
Canthigaster,bennetti,12.75,101.75,1110:121:4,0.15
Canthigaster,bennetti,12.25,102.25,1110:122:1,0.13
Canthigaster,bennetti,12.75,102.25,1110:122:3,0.17
Canthigaster,bennetti,10.25,107.25,1110:207:1,0.08
Canthigaster,bennetti,22.75,59.25,1205:229:3,0.12
Canthigaster,bennetti,22.75,59.75,1205:229:4,0.04
Canthigaster,bennetti,20.25,86.25,1208:206:1,0.17
Canthigaster,bennetti,20.25,86.75,1208:206:2,0.03
Canthigaster,bennetti,20.75,87.75,1208:207:4,0.11
Canthigaster,bennetti,20.75,88.25,1208:208:3,0.06
Canthigaster,bennetti,20.25,91.75,1209:101:2,0.02
Canthigaster,bennetti,21.75,113.25,1211:113:3,0.15
Canthigaster,bennetti,21.75,113.75,1211:113:4,0.13
Canthigaster,bennetti,22.75,113.75,1211:123:4,0.07
Canthigaster,bennetti,22.75,114.25,1211:124:3,0.04
Canthigaster,bennetti,22.75,114.75,1211:124:4,0.07
Canthigaster,bennetti,-4.25,106.75,3010:246:2,0.12
Canthigaster,bennetti,-4.75,107.25,3010:247:3,0.13
Canthigaster,bennetti,-5.25,108.75,3010:458:2,0.14
Canthigaster,bennetti,-4.25,116.75,3011:246:2,0.15
Canthigaster,bennetti,-6.75,138.75,3013:468:4,0.19
Canthigaster,bennetti,-7.25,138.75,3013:478:2,0.17
Canthigaster,bennetti,-14.25,12.25,3101:142:1,0.18
Canthigaster,bennetti,-14.75,12.25,3101:142:3,0.07
Canthigaster,bennetti,-19.25,35.75,3103:495:2,0.02
Canthigaster,bennetti,-10.25,141.25,3114:101:1,0.17
Canthigaster,bennetti,-10.75,141.25,3114:101:3,0.17
Canthigaster,bennetti,-11.25,141.75,3114:111:2,0.17
Canthigaster,bennetti,-20.75,35.25,3203:205:3,0.18
Canthigaster,bennetti,-28.25,114.25,3211:384:1,0.13
Canthigaster,bennetti,-28.25,114.75,3211:384:2,0.14
Canthigaster,bennetti,-28.75,114.25,3211:384:3,0.14
Canthigaster,bennetti,-28.75,114.75,3211:384:4,0.08
Canthigaster,bennetti,-29.25,114.25,3211:394:1,0.18
Canthigaster,bennetti,-29.25,114.75,3211:394:2,0.01
Canthigaster,bennetti,-29.75,114.75,3211:394:4,0.06
Canthigaster,bennetti,-29.25,115.25,3211:495:1,0.03
Canthigaster,bennetti,-29.25,159.25,3215:499:1,0.19
Canthigaster,bennetti,-29.75,159.25,3215:499:3,0.17
Canthigaster,bennetti,-30.25,114.75,3311:104:2,0.06
Canthigaster,bennetti,-30.75,114.75,3311:104:4,0.07
Canthigaster,bennetti,-31.25,152.75,3315:112:2,0.14
