Mapping parameters for Carangoides talamparoides (Imposter trevally)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 ,
Bounding Box (NSWE): ,35,-27,44,150

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,22.16,26.34,28.54,32.74
Salinity (psu),1,21.09,32.36,34.95,38.28
Primary Production (mgC·m-3·day-1) ,1,0.84,3.91,16.44,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,50.29,195.45,208.42,248.13
Distance to Land (km),0,1,19,228,390
 

Map data (HSPEC) for predicted occurrences (n = 3791): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Carangoides,talamparoides,-22.75,149.75,3214:229:4,0.12
Carangoides,talamparoides,-26.25,114.25,3211:364:1,0.11
Carangoides,talamparoides,-26.75,113.75,3211:363:4,0.08
Carangoides,talamparoides,-26.75,113.25,3211:363:3,0.09
Carangoides,talamparoides,-26.25,113.75,3211:363:2,0.13
Carangoides,talamparoides,-26.25,113.25,3211:363:1,0.14
Carangoides,talamparoides,-25.75,114.25,3211:354:3,0.16
Carangoides,talamparoides,-25.75,113.75,3211:353:4,0.11
Carangoides,talamparoides,-25.75,113.25,3211:353:3,0.15
Carangoides,talamparoides,-25.25,113.75,3211:353:2,0.13
Carangoides,talamparoides,-25.25,113.25,3211:353:1,0.13
Carangoides,talamparoides,-25.75,112.75,3211:352:4,0.18
Carangoides,talamparoides,-24.25,112.75,3211:142:2,0.05
Carangoides,talamparoides,-21.25,55.25,3205:215:1,0.01
Carangoides,talamparoides,-20.25,57.75,3205:207:2,0.02
Carangoides,talamparoides,-20.25,57.25,3205:207:1,0.03
Carangoides,talamparoides,-19.25,146.25,3114:496:1,0.15
Carangoides,talamparoides,-17.25,149.75,3114:479:2,0.01
Carangoides,talamparoides,-17.75,148.75,3114:478:4,0.10
Carangoides,talamparoides,-17.75,148.25,3114:478:3,0.18
Carangoides,talamparoides,-17.25,148.75,3114:478:2,0.02
Carangoides,talamparoides,-17.25,148.25,3114:478:1,0.06
Carangoides,talamparoides,-16.25,149.75,3114:469:2,0.01
Carangoides,talamparoides,-16.25,148.25,3114:468:1,0.05
Carangoides,talamparoides,-16.75,147.75,3114:467:4,0.06
Carangoides,talamparoides,-16.25,147.75,3114:467:2,0.06
Carangoides,talamparoides,-15.75,149.25,3114:459:3,0.11
Carangoides,talamparoides,-14.75,138.75,3113:248:4,0.12
Carangoides,talamparoides,-14.75,138.25,3113:248:3,0.12
Carangoides,talamparoides,-13.75,139.25,3113:239:3,0.04
Carangoides,talamparoides,-13.75,138.75,3113:238:4,0.04
Carangoides,talamparoides,-13.25,138.75,3113:238:2,0.08
Carangoides,talamparoides,-11.75,139.75,3113:219:4,0.12
Carangoides,talamparoides,-10.75,138.75,3113:208:4,0.12
Carangoides,talamparoides,-10.75,138.25,3113:208:3,0.17
Carangoides,talamparoides,-10.25,130.25,3113:100:1,0.13
Carangoides,talamparoides,-18.75,120.25,3112:380:3,0.08
Carangoides,talamparoides,-12.75,127.25,3112:227:3,0.06
Carangoides,talamparoides,-11.25,127.75,3112:217:2,0.02
Carangoides,talamparoides,-11.25,127.25,3112:217:1,0.11
Carangoides,talamparoides,-11.75,125.75,3112:215:4,0.08
Carangoides,talamparoides,-10.75,128.25,3112:208:3,0.10
Carangoides,talamparoides,-14.75,122.25,3112:142:3,0.18
Carangoides,talamparoides,-12.75,124.75,3112:124:4,0.09
Carangoides,talamparoides,-16.75,119.75,3111:469:4,0.15
Carangoides,talamparoides,-16.75,118.75,3111:468:4,0.01
Carangoides,talamparoides,-13.25,96.25,3109:236:1,0.13
Carangoides,talamparoides,-12.25,96.75,3109:226:2,0.16
Carangoides,talamparoides,-11.75,96.75,3109:216:4,0.19
Carangoides,talamparoides,-16.25,60.25,3106:360:1,0.06
Carangoides,talamparoides,-15.25,61.25,3106:351:1,0.02
Carangoides,talamparoides,-15.75,60.75,3106:350:4,0.13
Carangoides,talamparoides,-14.75,61.25,3106:141:3,0.05
Carangoides,talamparoides,-14.25,61.25,3106:141:1,0.09
Carangoides,talamparoides,-13.75,61.25,3106:131:3,0.13
Carangoides,talamparoides,-17.25,50.25,3105:370:1,0.19
Carangoides,talamparoides,-10.25,59.75,3105:209:2,0.17
Carangoides,talamparoides,-16.25,45.75,3104:465:2,0.18
Carangoides,talamparoides,-15.75,47.25,3104:457:3,0.18
Carangoides,talamparoides,-15.75,46.75,3104:456:4,0.18
Carangoides,talamparoides,-9.25,145.25,3014:495:1,0.07
Carangoides,talamparoides,-8.25,142.25,3014:382:1,0.17
Carangoides,talamparoides,-7.75,143.25,3014:373:3,0.15
Carangoides,talamparoides,-7.25,143.75,3014:373:2,0.16
Carangoides,talamparoides,-7.75,139.25,3013:479:3,0.18
Carangoides,talamparoides,-7.25,139.25,3013:479:1,0.16
Carangoides,talamparoides,-7.75,138.75,3013:478:4,0.17
Carangoides,talamparoides,-7.75,135.75,3013:475:4,0.12
Carangoides,talamparoides,-7.75,135.25,3013:475:3,0.17
Carangoides,talamparoides,-6.75,139.25,3013:469:3,0.15
Carangoides,talamparoides,-9.75,132.25,3013:392:3,0.02
Carangoides,talamparoides,-9.75,131.25,3013:391:3,0.02
Carangoides,talamparoides,-8.75,133.75,3013:383:4,0.11
Carangoides,talamparoides,-4.75,137.75,3013:247:4,0.18
Carangoides,talamparoides,-7.25,122.25,3012:372:1,0.13
Carangoides,talamparoides,-2.25,125.25,3012:225:1,0.13
Carangoides,talamparoides,-5.75,115.75,3011:455:4,0.04
Carangoides,talamparoides,-6.25,113.75,3011:363:2,0.19
Carangoides,talamparoides,-5.75,113.75,3011:353:4,0.15
Carangoides,talamparoides,-5.25,112.75,3011:352:2,0.04
Carangoides,talamparoides,-3.25,114.75,3011:134:2,0.14
Carangoides,talamparoides,-6.25,104.75,3010:364:2,0.08
Carangoides,talamparoides,-4.25,103.25,3010:143:1,0.19
Carangoides,talamparoides,-3.25,102.25,3010:132:1,0.18
Carangoides,talamparoides,-2.75,104.75,3010:124:4,0.14
Carangoides,talamparoides,-0.25,103.25,3010:103:1,0.14
Carangoides,talamparoides,33.75,139.75,1313:239:4,0.10
Carangoides,talamparoides,33.25,139.75,1313:239:2,0.16
Carangoides,talamparoides,33.25,134.25,1313:134:1,0.16
Carangoides,talamparoides,33.25,133.75,1313:133:2,0.09
Carangoides,talamparoides,33.25,133.25,1313:133:1,0.04
Carangoides,talamparoides,32.75,132.75,1313:122:4,0.19
Carangoides,talamparoides,32.75,132.25,1313:122:3,0.09
Carangoides,talamparoides,32.25,131.75,1313:121:2,0.17
Carangoides,talamparoides,31.75,131.25,1313:111:3,0.18
Carangoides,talamparoides,31.75,130.75,1313:110:4,0.06
Carangoides,talamparoides,31.75,130.25,1313:110:3,0.01
Carangoides,talamparoides,31.25,130.25,1313:110:1,0.18
Carangoides,talamparoides,31.75,129.75,1312:219:4,0.03
Carangoides,talamparoides,31.75,128.25,1312:218:3,0.03
Carangoides,talamparoides,30.75,49.25,1304:209:3,0.13
Carangoides,talamparoides,30.75,48.75,1304:208:4,0.12
Carangoides,talamparoides,25.25,141.25,1214:351:1,0.06
Carangoides,talamparoides,24.75,141.25,1214:141:3,0.03
Carangoides,talamparoides,24.25,141.75,1214:141:2,0.03
Carangoides,talamparoides,20.75,144.75,1214:104:4,0.11
Carangoides,talamparoides,20.25,136.25,1213:206:1,0.10
Carangoides,talamparoides,29.75,127.25,1212:497:3,0.03
Carangoides,talamparoides,25.75,127.25,1212:457:3,0.04
Carangoides,talamparoides,27.25,121.75,1212:371:2,0.06
Carangoides,talamparoides,26.75,122.25,1212:362:3,0.17
Carangoides,talamparoides,26.75,121.25,1212:361:3,0.09
Carangoides,talamparoides,26.25,121.25,1212:361:1,0.13
Carangoides,talamparoides,26.25,120.75,1212:360:2,0.10
Carangoides,talamparoides,24.75,119.25,1211:249:3,0.14
Carangoides,talamparoides,24.75,118.25,1211:248:3,0.02
Carangoides,talamparoides,24.25,118.75,1211:248:2,0.18
Carangoides,talamparoides,24.25,118.25,1211:248:1,0.04
Carangoides,talamparoides,24.25,117.75,1211:247:2,0.10
Carangoides,talamparoides,23.75,118.25,1211:238:3,0.18
Carangoides,talamparoides,23.75,117.75,1211:237:4,0.12
Carangoides,talamparoides,23.75,117.25,1211:237:3,0.17
Carangoides,talamparoides,23.25,113.75,1211:133:2,0.05
Carangoides,talamparoides,23.25,113.25,1211:133:1,0.05
Carangoides,talamparoides,22.75,113.25,1211:123:3,0.06
Carangoides,talamparoides,22.25,113.75,1211:123:2,0.10
Carangoides,talamparoides,21.75,114.75,1211:114:4,0.04
Carangoides,talamparoides,20.25,113.25,1211:103:1,0.10
Carangoides,talamparoides,21.25,106.75,1210:216:2,0.14
Carangoides,talamparoides,21.25,91.25,1209:111:1,0.11
Carangoides,talamparoides,21.25,90.25,1209:110:1,0.12
Carangoides,talamparoides,20.75,93.25,1209:103:3,0.03
Carangoides,talamparoides,20.75,92.75,1209:102:4,0.19
Carangoides,talamparoides,21.75,89.75,1208:219:4,0.14
Carangoides,talamparoides,21.75,89.25,1208:219:3,0.19
Carangoides,talamparoides,21.75,87.75,1208:217:4,0.18
Carangoides,talamparoides,21.75,87.25,1208:217:3,0.19
Carangoides,talamparoides,25.75,66.75,1206:456:4,0.15
Carangoides,talamparoides,25.75,64.25,1206:354:3,0.11
Carangoides,talamparoides,24.25,67.75,1206:247:2,0.19
Carangoides,talamparoides,26.25,55.75,1205:465:2,0.15
Carangoides,talamparoides,26.25,55.25,1205:465:1,0.18
Carangoides,talamparoides,25.75,59.25,1205:459:3,0.09
Carangoides,talamparoides,25.75,56.75,1205:456:4,0.13
Carangoides,talamparoides,25.25,55.75,1205:455:2,0.06
Carangoides,talamparoides,29.75,50.25,1205:390:3,0.06
Carangoides,talamparoides,29.25,50.75,1205:390:2,0.02
Carangoides,talamparoides,27.25,53.25,1205:373:1,0.07
Carangoides,talamparoides,27.75,52.75,1205:372:4,0.05
Carangoides,talamparoides,26.25,54.75,1205:364:2,0.13
Carangoides,talamparoides,26.25,54.25,1205:364:1,0.06
Carangoides,talamparoides,26.75,53.75,1205:363:4,0.15
Carangoides,talamparoides,26.75,53.25,1205:363:3,0.07
Carangoides,talamparoides,26.25,53.75,1205:363:2,0.01
Carangoides,talamparoides,26.25,51.25,1205:361:1,0.07
Carangoides,talamparoides,26.75,50.75,1205:360:4,0.05
Carangoides,talamparoides,26.75,50.25,1205:360:3,0.14
Carangoides,talamparoides,26.25,50.75,1205:360:2,0.17
Carangoides,talamparoides,25.75,51.25,1205:351:3,0.12
Carangoides,talamparoides,24.25,52.25,1205:142:1,0.11
Carangoides,talamparoides,24.75,51.75,1205:141:4,0.04
