Mapping parameters for Caranx papuensis (Brassy trevally)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,31,-34,26,-135

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,20.67,24.67,28.81,33.01
Salinity (psu),1,28.24,33.71,35.22,35.98
Primary Production (mgC·m-3·day-1) ,1,0.43,1.63,17.69,30.29
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,80.32,141.56,209.33,237.98
Distance to Land (km),0,0,15,204,448
 

Map data (HSPEC) for predicted occurrences (n = 4345): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Caranx,papuensis,28.25,-178.25,7217:488:1,0.09
Caranx,papuensis,28.25,-177.25,7217:487:1,0.11
Caranx,papuensis,27.75,-175.75,7217:475:4,0.09
Caranx,papuensis,26.25,-174.75,7217:364:2,0.02
Caranx,papuensis,26.25,-174.25,7217:364:1,0.13
Caranx,papuensis,26.25,-173.75,7217:363:2,0.12
Caranx,papuensis,26.25,-173.25,7217:363:1,0.11
Caranx,papuensis,25.75,-173.75,7217:353:4,0.03
Caranx,papuensis,25.75,-173.25,7217:353:3,0.10
Caranx,papuensis,25.25,-172.25,7217:352:1,0.10
Caranx,papuensis,25.75,-171.75,7217:351:4,0.16
Caranx,papuensis,25.25,-171.25,7217:351:1,0.19
Caranx,papuensis,25.25,-170.25,7217:350:1,0.14
Caranx,papuensis,25.75,-169.25,7216:459:3,0.11
Caranx,papuensis,25.25,-167.75,7216:457:2,0.18
Caranx,papuensis,24.75,-168.25,7216:248:3,0.16
Caranx,papuensis,24.75,-167.75,7216:247:4,0.14
Caranx,papuensis,24.25,-167.25,7216:247:1,0.09
Caranx,papuensis,23.75,-166.25,7216:236:3,0.14
Caranx,papuensis,23.75,-164.75,7216:134:4,0.19
Caranx,papuensis,23.75,-164.25,7216:134:3,0.06
Caranx,papuensis,23.25,-164.75,7216:134:2,0.02
Caranx,papuensis,23.25,-164.25,7216:134:1,0.10
Caranx,papuensis,23.25,-162.25,7216:132:1,0.09
Caranx,papuensis,23.25,-161.75,7216:131:2,0.12
Caranx,papuensis,22.75,-162.25,7216:122:3,0.06
Caranx,papuensis,22.75,-161.25,7216:121:3,0.02
Caranx,papuensis,20.75,-157.75,7215:207:4,0.07
Caranx,papuensis,16.75,-169.75,7116:469:4,0.08
Caranx,papuensis,16.75,-169.25,7116:469:3,0.13
Caranx,papuensis,-29.25,-177.75,5217:497:2,0.02
Caranx,papuensis,-15.75,-179.75,5117:459:4,0.18
Caranx,papuensis,-15.75,-179.25,5117:459:3,0.06
Caranx,papuensis,-15.75,-176.75,5117:456:4,0.01
Caranx,papuensis,-15.75,-175.75,5117:455:4,0.04
Caranx,papuensis,-19.25,-174.75,5117:394:2,0.17
Caranx,papuensis,-19.25,-173.75,5117:393:2,0.10
Caranx,papuensis,-18.75,-174.75,5117:384:4,0.06
Caranx,papuensis,-18.75,-174.25,5117:384:3,0.11
Caranx,papuensis,-18.75,-173.75,5117:383:4,0.06
Caranx,papuensis,-15.75,-173.75,5117:353:4,0.15
Caranx,papuensis,-14.25,-178.25,5117:248:1,0.07
Caranx,papuensis,-14.25,-177.75,5117:247:2,0.03
Caranx,papuensis,-14.25,-176.25,5117:246:1,0.04
Caranx,papuensis,-14.25,-175.75,5117:245:2,0.04
