Mapping parameters for Trachurus trecae (Cunene horse mackerel)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  34 |  47 ,
Bounding Box (NSWE): ,35,-19,-26,14

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,20,100,100
Temperature (°C),1,16.66,20.83,27.89,32.09
Salinity (psu),1,29.54,31.48,35.9,37.33
Primary Production,1,505,635,2771,3894
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,6,19,187,960
 

Map data (HSPEC) for predicted occurrences (n = 356): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Trachurus,trecae,16.75,-16.75,7101:466:4,0.17,1,1,1,0.17097061442565,1,1
Trachurus,trecae,18.75,-16.25,7101:486:3,0.10,1,1,1,0.10062333036509,1,1
Trachurus,trecae,17.25,-24.75,7102:374:2,0.08,1,1,0.75524475524475,0.10769230769231,1,1
Trachurus,trecae,27.75,-14.75,7201:374:4,0.17,1,0.90167865707434,0.47552447552448,0.4,1,1
Trachurus,trecae,28.25,-13.75,7201:383:2,0.10,1,0.84412470023981,0.64335664335664,0.17692307692308,1,1
Trachurus,trecae,28.75,-13.25,7201:383:3,0.12,1,0.84412470023981,0.64335664335664,0.22307692307692,1,1
Trachurus,trecae,28.75,-13.75,7201:383:4,0.06,1,0.84412470023981,0.64335664335664,0.11538461538462,1,1
Trachurus,trecae,33.75,-6.75,7300:236:4,0.02,1,0.73860911270983,0.65034965034965,0.046153846153846,1,1
Trachurus,trecae,33.75,-8.25,7300:238:3,0.04,1,0.76258992805755,0.58041958041958,0.1,1,1
Trachurus,trecae,34.75,-6.25,7300:246:3,0.02,1,0.70743405275779,0.62937062937063,0.038461538461538,1,1
Trachurus,trecae,2.75,8.25,1000:228:3,0.34,1,1,0.34020618556701,1,1,1
Trachurus,trecae,2.25,9.75,1000:229:2,0.34,1,1,0.34020618556701,1,1,1
Trachurus,trecae,2.75,9.75,1000:229:4,0.34,1,1,0.34020618556701,1,1,1
Trachurus,trecae,3.25,8.75,1000:238:2,0.34,1,0.99761904761905,0.34020618556701,1,1,1
Trachurus,trecae,3.25,9.25,1000:239:1,0.34,1,1,0.34020618556701,1,1,1
Trachurus,trecae,3.25,9.75,1000:239:2,0.34,1,1,0.34020618556701,1,1,1
Trachurus,trecae,3.75,9.25,1000:239:3,0.34,1,1,0.34020618556701,1,1,1
Trachurus,trecae,3.75,9.75,1000:239:4,0.34,1,1,0.34020618556701,1,1,1
Trachurus,trecae,-18.25,12.25,3101:382:1,0.35,1,0.35491606714628,1,0.98219056099733,1,1
Trachurus,trecae,-18.75,12.25,3101:382:3,0.35,1,0.35491606714628,1,1,1,1
Trachurus,trecae,16.75,-16.25,7101:466:3,0.26,1,1,1,0.26090828138914,1,1
Trachurus,trecae,19.25,-16.25,7101:496:1,0.37,1,1,1,0.36954585930543,1,1
Trachurus,trecae,21.25,-17.25,7201:217:1,0.38,1,0.90407673860911,0.79020979020979,0.53517364203028,1,1
Trachurus,trecae,21.75,-17.25,7201:217:3,0.38,1,0.90407673860911,0.79020979020979,0.52983081032947,1,1
Trachurus,trecae,24.25,-15.75,7201:245:2,0.39,1,0.79856115107914,0.48951048951049,1,1,1
Trachurus,trecae,26.75,-13.25,7201:363:3,0.38,1,0.80335731414868,0.47552447552448,1,1,1
Trachurus,trecae,26.75,-13.75,7201:363:4,0.38,1,0.80335731414868,0.47552447552448,1,1,1
Trachurus,trecae,28.75,-12.75,7201:382:4,0.39,1,0.77458033573142,0.72727272727273,0.68461538461538,1,1
Trachurus,trecae,28.25,-14.25,7201:384:1,0.34,1,0.9136690647482,0.55244755244755,0.66923076923077,1,1
Trachurus,trecae,29.25,-10.75,7201:390:2,0.37,1,0.62350119904077,0.6013986013986,1,1,1
Trachurus,trecae,30.25,-9.75,7300:209:2,0.39,1,0.57553956834532,0.67832167832168,1,1,1
Trachurus,trecae,30.75,-9.75,7300:209:4,0.39,1,0.57553956834532,0.67832167832168,1,1,1
Trachurus,trecae,32.75,-8.75,7300:228:4,0.37,1,0.71223021582734,0.51748251748251,1,1,1
Trachurus,trecae,32.25,-9.25,7300:229:1,0.35,1,0.67865707434053,0.51748251748251,1,1,1
Trachurus,trecae,32.25,-9.75,7300:229:2,0.38,1,0.67865707434053,0.56643356643356,1,1,1
Trachurus,trecae,32.75,-9.25,7300:229:3,0.35,1,0.67865707434053,0.51748251748251,1,1,1
Trachurus,trecae,33.25,-8.75,7300:238:2,0.39,1,0.76258992805755,0.51748251748251,1,1,1
Trachurus,trecae,34.25,-6.75,7300:246:2,0.36,1,0.70743405275779,0.65034965034965,0.77692307692308,1,1
Trachurus,trecae,3.75,7.25,1000:237:3,0.51,1,0.99761904761905,0.51546391752577,1,1,1
Trachurus,trecae,3.75,7.75,1000:237:4,0.51,1,0.99761904761905,0.51546391752577,1,1,1
Trachurus,trecae,3.25,8.25,1000:238:1,0.51,1,0.99761904761905,0.51546391752577,1,1,1
Trachurus,trecae,3.75,8.25,1000:238:3,0.51,1,0.99761904761905,0.51546391752577,1,1,1
Trachurus,trecae,3.75,8.75,1000:238:4,0.51,1,0.99761904761905,0.51546391752577,1,1,1
Trachurus,trecae,4.25,7.25,1000:247:1,0.51,1,0.99285714285714,0.51546391752577,1,1,1
Trachurus,trecae,4.25,7.75,1000:247:2,0.51,1,0.99285714285714,0.51546391752577,1,1,1
Trachurus,trecae,4.75,7.75,1000:247:4,0.51,1,0.99285714285714,0.51546391752577,1,1,1
Trachurus,trecae,4.25,8.25,1000:248:1,0.52,1,1,0.51546391752577,1,1,1
Trachurus,trecae,4.25,8.75,1000:248:2,0.52,1,1,0.51546391752577,1,1,1
Trachurus,trecae,4.75,8.25,1000:248:3,0.52,1,1,0.51546391752577,1,1,1
Trachurus,trecae,4.75,8.75,1000:248:4,0.52,1,1,0.51546391752577,1,1,1
Trachurus,trecae,4.25,9.25,1000:249:1,0.52,1,1,0.51546391752577,1,1,1
Trachurus,trecae,-17.25,11.75,3101:371:2,0.56,1,0.56115107913669,1,1,1,1
Trachurus,trecae,-17.75,11.75,3101:371:4,0.56,1,0.56115107913669,1,1,1,1
Trachurus,trecae,-18.25,11.75,3101:381:2,0.42,1,0.4220623501199,1,1,1,1
Trachurus,trecae,16.25,-16.75,7101:466:2,0.57,1,1,1,0.56634016028495,1,1
Trachurus,trecae,17.25,-16.75,7101:476:2,0.50,1,1,1,0.50222617987533,1,1
Trachurus,trecae,19.75,-17.25,7101:497:3,0.46,1,1,0.97902097902098,0.46749777382012,1,1
Trachurus,trecae,16.75,-25.25,7102:465:3,0.50,1,1,0.8041958041958,0.62307692307692,1,1
Trachurus,trecae,29.75,-9.75,7200:499:4,0.42,1,0.61630695443645,0.67832167832168,1,1,1
Trachurus,trecae,24.75,-14.75,7201:144:4,0.47,1,0.82494004796163,0.56643356643356,1,1,1
Trachurus,trecae,20.25,-17.25,7201:207:1,0.46,1,1,0.93006993006993,0.4959928762244,1,1
Trachurus,trecae,20.25,-17.75,7201:207:2,0.46,1,1,0.93006993006993,0.49510240427427,1,1
Trachurus,trecae,22.25,-16.25,7201:226:1,0.46,1,0.73381294964029,0.62937062937063,1,1,1
Trachurus,trecae,22.25,-16.75,7201:226:2,0.43,1,0.73381294964029,0.64335664335664,0.91807658058771,1,1
Trachurus,trecae,22.75,-16.25,7201:226:3,0.46,1,0.73381294964029,0.62937062937063,1,1,1
Trachurus,trecae,22.75,-16.75,7201:226:4,0.46,1,0.73381294964029,0.62937062937063,1,1,1
Trachurus,trecae,22.25,-17.25,7201:227:1,0.55,1,0.84892086330935,0.64335664335664,1,1,1
Trachurus,trecae,22.75,-17.25,7201:227:3,0.55,1,0.84892086330935,0.64335664335664,1,1,1
Trachurus,trecae,23.25,-15.75,7201:235:2,0.51,1,0.81774580335731,0.62937062937063,1,1,1
Trachurus,trecae,23.75,-15.75,7201:235:4,0.51,1,0.81774580335731,0.62937062937063,1,1,1
Trachurus,trecae,23.25,-16.25,7201:236:1,0.50,1,0.79136690647482,0.62937062937063,1,1,1
Trachurus,trecae,23.25,-16.75,7201:236:2,0.50,1,0.79136690647482,0.62937062937063,1,1,1
Trachurus,trecae,23.75,-16.25,7201:236:3,0.50,1,0.79136690647482,0.62937062937063,1,1,1
Trachurus,trecae,23.75,-16.75,7201:236:4,0.50,1,0.79136690647482,0.62937062937063,1,1,1
