Mapping parameters for Centrolophus niger (Rudderfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  34 |  37 |  41 |  47 |  51 |  81,
Bounding Box (NSWE): ,68,-55,-180,180

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,40,300,700,1050
Temperature (°C),1,-1.2,9.88,22.94,24.94
Salinity (psu),1,5.21,34.34,35.72,39.21
Primary Production (mgC·m-3·day-1) ,1,0.39,2.55,19.5,103.37
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.11
Dissolved Bottom Oxygen (mmol·m-3),0,14.44,163.69,266.69,408.48
Distance to Land (km),0,0,15,434,975
 

Map data (HSPEC) for predicted occurrences (n = 37144): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Centrolophus,niger,62.25,-60.25,7606:120:1,0.01
Centrolophus,niger,61.75,-60.25,7606:110:3,0.08
Centrolophus,niger,61.25,-60.75,7606:110:2,0.05
Centrolophus,niger,61.25,-60.25,7606:110:1,0.16
Centrolophus,niger,60.75,-60.75,7606:100:4,0.08
Centrolophus,niger,60.75,-60.25,7606:100:3,0.19
Centrolophus,niger,60.25,-60.75,7606:100:2,0.03
Centrolophus,niger,60.25,-60.25,7606:100:1,0.19
Centrolophus,niger,66.75,-55.25,7605:465:3,0.01
Centrolophus,niger,66.25,-55.25,7605:465:1,0.07
Centrolophus,niger,65.25,-56.75,7605:456:2,0.02
Centrolophus,niger,65.25,-56.25,7605:456:1,0.07
Centrolophus,niger,65.75,-55.75,7605:455:4,0.05
Centrolophus,niger,65.75,-55.25,7605:455:3,0.13
Centrolophus,niger,65.25,-55.75,7605:455:2,0.11
Centrolophus,niger,65.25,-55.25,7605:455:1,0.15
Centrolophus,niger,67.75,-54.25,7605:374:3,0.03
Centrolophus,niger,67.25,-54.25,7605:374:1,0.02
Centrolophus,niger,67.75,-53.75,7605:373:4,0.03
Centrolophus,niger,67.25,-53.75,7605:373:2,0.02
Centrolophus,niger,66.75,-54.75,7605:364:4,0.08
Centrolophus,niger,66.75,-54.25,7605:364:3,0.14
Centrolophus,niger,66.25,-54.75,7605:364:2,0.16
Centrolophus,niger,66.75,-53.75,7605:363:4,0.18
Centrolophus,niger,66.75,-53.25,7605:363:3,0.03
Centrolophus,niger,66.25,-53.75,7605:363:2,0.06
Centrolophus,niger,66.75,-52.25,7605:362:3,0.01
Centrolophus,niger,66.25,-52.75,7605:362:2,0.03
Centrolophus,niger,66.25,-51.75,7605:361:2,0.08
Centrolophus,niger,65.75,-54.75,7605:354:4,0.08
Centrolophus,niger,65.75,-54.25,7605:354:3,0.09
Centrolophus,niger,65.25,-54.25,7605:354:1,0.11
Centrolophus,niger,65.75,-53.75,7605:353:4,0.18
Centrolophus,niger,65.75,-53.25,7605:353:3,0.13
Centrolophus,niger,65.25,-53.75,7605:353:2,0.11
Centrolophus,niger,65.75,-52.75,7605:352:4,0.01
Centrolophus,niger,65.75,-52.25,7605:352:3,0.03
Centrolophus,niger,64.75,-57.25,7605:247:3,0.03
Centrolophus,niger,64.25,-57.75,7605:247:2,0.04
Centrolophus,niger,64.25,-57.25,7605:247:1,0.10
Centrolophus,niger,64.75,-56.75,7605:246:4,0.08
Centrolophus,niger,64.75,-56.25,7605:246:3,0.12
Centrolophus,niger,64.25,-56.75,7605:246:2,0.14
Centrolophus,niger,64.25,-56.25,7605:246:1,0.18
Centrolophus,niger,64.75,-55.75,7605:245:4,0.16
Centrolophus,niger,64.75,-55.25,7605:245:3,0.18
Centrolophus,niger,63.75,-58.25,7605:238:3,0.05
Centrolophus,niger,63.25,-58.75,7605:238:2,0.07
Centrolophus,niger,63.25,-58.25,7605:238:1,0.14
Centrolophus,niger,63.75,-57.75,7605:237:4,0.12
Centrolophus,niger,63.75,-57.25,7605:237:3,0.16
Centrolophus,niger,63.25,-57.75,7605:237:2,0.19
Centrolophus,niger,63.75,-56.75,7605:236:4,0.19
Centrolophus,niger,62.75,-59.75,7605:229:4,0.01
Centrolophus,niger,62.75,-59.25,7605:229:3,0.10
Centrolophus,niger,62.25,-59.75,7605:229:2,0.12
Centrolophus,niger,62.25,-59.25,7605:229:1,0.19
Centrolophus,niger,62.75,-58.75,7605:228:4,0.15
Centrolophus,niger,61.75,-59.75,7605:219:4,0.19
Centrolophus,niger,64.75,-53.75,7605:143:4,0.11
Centrolophus,niger,64.75,-52.25,7605:142:3,0.16
Centrolophus,niger,64.25,-51.25,7605:141:1,0.02
Centrolophus,niger,64.75,-50.75,7605:140:4,0.01
Centrolophus,niger,64.75,-50.25,7605:140:3,0.01
Centrolophus,niger,64.25,-50.75,7605:140:2,0.04
Centrolophus,niger,64.25,-50.25,7605:140:1,0.05
Centrolophus,niger,63.75,-51.75,7605:131:4,0.12
Centrolophus,niger,63.25,-51.25,7605:131:1,0.03
Centrolophus,niger,63.25,-50.75,7605:130:2,0.05
Centrolophus,niger,62.75,-50.75,7605:120:4,0.10
Centrolophus,niger,62.25,-50.25,7605:120:1,0.09
Centrolophus,niger,65.25,-40.75,7604:350:2,0.01
Centrolophus,niger,62.25,-48.75,7604:228:2,0.03
Centrolophus,niger,61.75,-49.75,7604:219:4,0.08
Centrolophus,niger,61.75,-49.25,7604:219:3,0.16
Centrolophus,niger,61.75,-48.75,7604:218:4,0.05
Centrolophus,niger,61.25,-46.25,7604:216:1,0.15
Centrolophus,niger,61.25,-45.25,7604:215:1,0.09
Centrolophus,niger,60.75,-46.25,7604:206:3,0.19
Centrolophus,niger,60.75,-45.75,7604:205:4,0.01
Centrolophus,niger,60.75,-45.25,7604:205:3,0.06
Centrolophus,niger,60.25,-45.75,7604:205:2,0.14
