Mapping parameters for Cheilodipterus macrodon (Large toothed cardinalfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,30,-35,25,-133

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,4,30,40
Temperature (°C),1,21,25.11,29.04,33.24
Salinity (psu),1,31.6,33.65,35.63,39.5
Primary Production,1,81,199,879,2838
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,15,133,514
 

Map data (HSPEC) for predicted occurrences (n = 4560): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Cheilodipterus,macrodon,7.75,77.25,1007:477:3,0.15,0.4,1,1,0.37110770801429,1,1
Cheilodipterus,macrodon,4.75,97.75,1009:247:4,0.13,1,0.94047619047619,0.16585365853659,0.81674323634507,1,1
Cheilodipterus,macrodon,4.25,98.25,1009:248:1,0.12,1,0.91666666666667,0.16585365853659,0.78305257784584,1,1
Cheilodipterus,macrodon,4.75,98.25,1009:248:3,0.14,1,0.91666666666667,0.16585365853659,0.90709545686575,1,1
Cheilodipterus,macrodon,4.75,98.75,1009:248:4,0.12,0.8,0.91666666666667,0.16585365853659,0.97856049004594,1,1
Cheilodipterus,macrodon,5.25,97.75,1009:457:2,0.15,1,0.96190476190476,0.16585365853659,0.93466054109239,1,1
Cheilodipterus,macrodon,5.25,99.75,1009:459:2,0.03,0.4,0.92380952380952,0.08780487804878,0.83920367534456,1,1
Cheilodipterus,macrodon,5.75,99.25,1009:459:3,0.08,1,0.92380952380952,0.08780487804878,0.95814190913732,1,1
Cheilodipterus,macrodon,5.75,99.75,1009:459:4,0.07,1,0.92380952380952,0.08780487804878,0.84890250127616,1,1
Cheilodipterus,macrodon,6.75,98.75,1009:468:4,0.09,0.5,0.95714285714286,0.19512195121951,0.99183256763655,1,1
Cheilodipterus,macrodon,6.25,99.25,1009:469:1,0.16,1,0.9452380952381,0.19512195121951,0.86778968861664,1,1
Cheilodipterus,macrodon,6.25,99.75,1009:469:2,0.08,1,0.9452380952381,0.08780487804878,0.97039305768249,1,1
Cheilodipterus,macrodon,6.75,99.25,1009:469:3,0.15,1,0.9452380952381,0.19512195121951,0.82542113323124,1,1
Cheilodipterus,macrodon,6.75,99.75,1009:469:4,0.18,1,0.9452380952381,0.19512195121951,1,1,1
Cheilodipterus,macrodon,8.25,99.25,1009:489:1,0.07,0.25,0.98333333333333,0.28780487804878,1,1,1
Cheilodipterus,macrodon,0.25,104.25,1010:104:1,0.02,1,1,0.024390243902438,0.76110260336907,1,1
Cheilodipterus,macrodon,0.25,104.75,1010:104:2,0.02,1,1,0.024390243902438,0.74323634507402,1,1
Cheilodipterus,macrodon,0.75,104.25,1010:104:3,0.02,1,1,0.024390243902438,0.68555385400715,1,1
Cheilodipterus,macrodon,0.75,104.75,1010:104:4,0.02,1,1,0.024390243902438,0.91679428279735,1,1
Cheilodipterus,macrodon,1.75,103.75,1010:113:4,0.08,0.25,1,0.59024390243903,0.57427258805513,1,1
Cheilodipterus,macrodon,1.25,104.25,1010:114:1,0.02,1,1,0.024390243902438,0.6773864216437,1,1
Cheilodipterus,macrodon,1.25,108.75,1010:218:2,0.13,1,1,0.73658536585366,0.17713118938234,1,1
Cheilodipterus,macrodon,1.75,108.25,1010:218:3,0.07,0.1,1,0.73658536585366,1,1,1
Cheilodipterus,macrodon,5.25,100.25,1010:350:1,0.05,1,0.91666666666667,0.08780487804878,0.5732516590097,1,1
Cheilodipterus,macrodon,5.75,100.25,1010:350:3,0.06,1,0.91666666666667,0.08780487804878,0.68606431852986,1,1
Cheilodipterus,macrodon,6.25,100.25,1010:360:1,0.07,1,0.94047619047619,0.08780487804878,0.87034201123022,1,1
Cheilodipterus,macrodon,6.75,100.25,1010:360:3,0.13,1,0.94047619047619,0.16585365853659,0.82440020418581,1,1
Cheilodipterus,macrodon,6.75,100.75,1010:360:4,0.12,1,0.94047619047619,0.16585365853659,0.74834099030117,1,1
Cheilodipterus,macrodon,6.75,101.25,1010:361:3,0.16,1,0.97380952380952,0.16585365853659,1,1,1
Cheilodipterus,macrodon,6.75,101.75,1010:361:4,0.16,1,0.97380952380952,0.16585365853659,1,1,1
Cheilodipterus,macrodon,6.75,102.75,1010:362:4,0.18,0.5,1,0.35609756097561,1,1,1
Cheilodipterus,macrodon,7.25,100.25,1010:370:1,0.13,1,0.9547619047619,0.16585365853659,0.80653394589076,1,1
Cheilodipterus,macrodon,7.25,100.75,1010:370:2,0.16,1,0.9547619047619,0.16585365853659,1,1,1
Cheilodipterus,macrodon,7.75,100.25,1010:370:3,0.13,1,0.9547619047619,0.16585365853659,0.82542113323124,1,1
Cheilodipterus,macrodon,7.75,100.75,1010:370:4,0.16,1,0.9547619047619,0.16585365853659,1,1,1
Cheilodipterus,macrodon,7.25,101.25,1010:371:1,0.16,1,0.97619047619048,0.16585365853659,1,1,1
Cheilodipterus,macrodon,7.25,101.75,1010:371:2,0.16,1,0.97619047619048,0.16585365853659,1,1,1
Cheilodipterus,macrodon,7.75,101.25,1010:371:3,0.10,0.6,0.97619047619048,0.16585365853659,1,1,1
Cheilodipterus,macrodon,7.75,101.75,1010:371:4,0.10,0.6,0.97619047619048,0.16585365853659,1,1,1
Cheilodipterus,macrodon,7.25,102.75,1010:372:2,0.15,0.5,1,0.29268292682927,1,1,1
Cheilodipterus,macrodon,8.25,100.25,1010:380:1,0.18,1,0.96904761904762,0.21463414634146,0.84226646248086,1,1
Cheilodipterus,macrodon,8.25,100.75,1010:380:2,0.12,1,0.96904761904762,0.1219512195122,1,1,1
Cheilodipterus,macrodon,8.25,101.25,1010:381:1,0.12,1,0.97857142857143,0.1219512195122,1,1,1
Cheilodipterus,macrodon,8.25,101.75,1010:381:2,0.08,0.7,0.97857142857143,0.1219512195122,1,1,1
