Mapping parameters for Centroscymnus crepidater (Longnose velvet dogfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  47 |  51 |  57 |  81 |  87 ,
Bounding Box (NSWE): ,64,-57,-77,-159

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,230,394,773,1500
Temperature (°C),1,0.08,2.33,16.98,29
Salinity (psu),1,31.16,34.33,35.36,36.08
Primary Production (mgC·m-3·day-1) ,1,0.24,3.04,26.44,85.72
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),1,8.45,153.8,252.47,306.37
Distance to Land (km),0,1,22,363,1101
 

Map data (HSPEC) for predicted occurrences (n = 6215): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Centroscymnus,crepidater,60.75,-30.25,7603:100:3,0.01
Centroscymnus,crepidater,60.25,-30.75,7603:100:2,0.04
Centroscymnus,crepidater,63.75,-28.75,7602:238:4,0.07
Centroscymnus,crepidater,63.25,-28.25,7602:238:1,0.14
Centroscymnus,crepidater,62.75,-28.25,7602:228:3,0.16
Centroscymnus,crepidater,62.25,-28.25,7602:228:1,0.18
Centroscymnus,crepidater,61.75,-28.75,7602:218:4,0.18
Centroscymnus,crepidater,61.25,-25.25,7602:215:1,0.02
Centroscymnus,crepidater,60.25,-27.25,7602:207:1,0.09
Centroscymnus,crepidater,60.75,-26.25,7602:206:3,0.01
Centroscymnus,crepidater,63.75,-23.75,7602:133:4,0.14
Centroscymnus,crepidater,63.75,-23.25,7602:133:3,0.13
Centroscymnus,crepidater,63.75,-22.25,7602:132:3,0.12
Centroscymnus,crepidater,62.25,-22.25,7602:122:1,0.18
Centroscymnus,crepidater,62.25,-20.75,7602:120:2,0.18
Centroscymnus,crepidater,62.25,-20.25,7602:120:1,0.13
Centroscymnus,crepidater,61.75,-24.75,7602:114:4,0.17
Centroscymnus,crepidater,61.75,-24.25,7602:114:3,0.14
Centroscymnus,crepidater,61.75,-23.75,7602:113:4,0.09
Centroscymnus,crepidater,63.75,-16.25,7601:236:3,0.11
Centroscymnus,crepidater,62.25,-19.25,7601:229:1,0.17
Centroscymnus,crepidater,62.25,-18.75,7601:228:2,0.17
Centroscymnus,crepidater,62.75,-16.75,7601:226:4,0.06
Centroscymnus,crepidater,63.75,-10.25,7601:130:3,0.04
Centroscymnus,crepidater,62.75,-14.25,7601:124:3,0.18
Centroscymnus,crepidater,62.25,-14.25,7601:124:1,0.04
Centroscymnus,crepidater,61.75,-13.75,7601:113:4,0.16
Centroscymnus,crepidater,61.25,-13.25,7601:113:1,0.02
Centroscymnus,crepidater,61.25,-12.75,7601:112:2,0.08
Centroscymnus,crepidater,60.75,-13.75,7601:103:4,0.06
Centroscymnus,crepidater,63.75,-9.75,7600:239:4,0.02
Centroscymnus,crepidater,63.25,-8.75,7600:238:2,0.05
Centroscymnus,crepidater,63.25,-8.25,7600:238:1,0.01
Centroscymnus,crepidater,62.75,-5.75,7600:225:4,0.14
Centroscymnus,crepidater,62.25,-5.75,7600:225:2,0.03
Centroscymnus,crepidater,61.75,-7.25,7600:217:3,0.13
Centroscymnus,crepidater,61.25,-7.75,7600:217:2,0.06
Centroscymnus,crepidater,61.75,-6.25,7600:216:3,0.14
Centroscymnus,crepidater,60.75,-7.25,7600:207:3,0.11
Centroscymnus,crepidater,60.25,-5.75,7600:205:2,0.03
Centroscymnus,crepidater,62.25,-3.75,7600:123:2,0.18
Centroscymnus,crepidater,61.75,-4.25,7600:114:3,0.01
Centroscymnus,crepidater,60.25,-4.75,7600:104:2,0.08
Centroscymnus,crepidater,55.75,-35.75,7503:455:4,0.02
Centroscymnus,crepidater,55.75,-35.25,7503:455:3,0.05
Centroscymnus,crepidater,55.25,-35.25,7503:455:1,0.04
Centroscymnus,crepidater,59.75,-31.25,7503:391:3,0.09
Centroscymnus,crepidater,59.25,-31.75,7503:391:2,0.10
Centroscymnus,crepidater,58.25,-33.25,7503:383:1,0.19
Centroscymnus,crepidater,58.25,-30.25,7503:380:1,0.05
Centroscymnus,crepidater,57.75,-34.25,7503:374:3,0.01
Centroscymnus,crepidater,57.75,-31.25,7503:371:3,0.17
Centroscymnus,crepidater,56.75,-34.75,7503:364:4,0.03
Centroscymnus,crepidater,56.75,-34.25,7503:364:3,0.03
Centroscymnus,crepidater,56.25,-34.25,7503:364:1,0.06
