Mapping parameters for Chaetodipterus zonatus (Pacific spadefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,33,-15,-118,-76

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,7,27,50
Temperature (°C),1,16.7,21.89,29,33.2
Salinity (psu),1,28.24,31.05,34.86,37.99
Primary Production (mgC·m-3·day-1) ,1,0.69,1.69,41.69,93.95
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.03,11.62,220.77,237.17
Distance to Land (km),0,0,8,96,175
 

Map data (HSPEC) for predicted occurrences (n = 353): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chaetodipterus,zonatus,32.75,-117.25,7311:227:3,0.14
Chaetodipterus,zonatus,32.25,-117.25,7311:227:1,0.13
Chaetodipterus,zonatus,31.75,-116.75,7311:216:4,0.07
Chaetodipterus,zonatus,31.25,-116.75,7311:216:2,0.07
Chaetodipterus,zonatus,30.75,-116.25,7311:206:3,0.04
Chaetodipterus,zonatus,30.25,-116.25,7311:206:1,0.11
Chaetodipterus,zonatus,29.75,-115.75,7211:495:4,0.03
Chaetodipterus,zonatus,29.25,-115.25,7211:495:1,0.08
Chaetodipterus,zonatus,10.75,-86.25,7108:206:3,0.13
Chaetodipterus,zonatus,-14.25,-76.25,5107:246:1,0.07
Chaetodipterus,zonatus,-13.75,-76.25,5107:236:3,0.11
Chaetodipterus,zonatus,-13.25,-76.25,5107:236:1,0.09
Chaetodipterus,zonatus,-12.25,-77.25,5107:227:1,0.16
Chaetodipterus,zonatus,-12.75,-76.75,5107:226:4,0.13
Chaetodipterus,zonatus,-12.75,-76.25,5107:226:3,0.06
Chaetodipterus,zonatus,-12.25,-76.75,5107:226:2,0.05
Chaetodipterus,zonatus,-11.75,-77.75,5107:217:4,0.17
Chaetodipterus,zonatus,-11.25,-77.75,5107:217:2,0.05
Chaetodipterus,zonatus,-11.25,-77.25,5107:217:1,0.06
Chaetodipterus,zonatus,-10.25,-78.25,5107:208:1,0.17
Chaetodipterus,zonatus,-10.75,-77.75,5107:207:4,0.08
Chaetodipterus,zonatus,-10.25,-77.75,5107:207:2,0.10
Chaetodipterus,zonatus,-6.25,-81.25,5008:361:1,0.13
Chaetodipterus,zonatus,-6.75,-80.25,5008:360:3,0.04
Chaetodipterus,zonatus,-6.25,-80.25,5008:360:1,0.11
Chaetodipterus,zonatus,-5.75,-80.75,5008:350:4,0.15
Chaetodipterus,zonatus,-9.75,-78.25,5007:498:3,0.14
Chaetodipterus,zonatus,-9.25,-78.25,5007:498:1,0.15
Chaetodipterus,zonatus,-8.25,-79.75,5007:489:2,0.04
Chaetodipterus,zonatus,-8.25,-79.25,5007:489:1,0.13
Chaetodipterus,zonatus,-8.75,-78.75,5007:488:4,0.18
Chaetodipterus,zonatus,-7.25,-79.75,5007:479:2,0.14
Chaetodipterus,zonatus,-6.75,-79.75,5007:469:4,0.19
Chaetodipterus,zonatus,32.25,-116.75,7311:226:2,0.28
Chaetodipterus,zonatus,31.25,-116.25,7311:216:1,0.25
Chaetodipterus,zonatus,30.25,-115.75,7311:205:2,0.31
Chaetodipterus,zonatus,29.75,-115.25,7211:495:3,0.39
Chaetodipterus,zonatus,28.25,-115.75,7211:485:2,0.28
Chaetodipterus,zonatus,28.25,-115.25,7211:485:1,0.28
Chaetodipterus,zonatus,27.75,-115.25,7211:475:3,0.32
Chaetodipterus,zonatus,28.75,-114.75,7211:384:4,0.22
Chaetodipterus,zonatus,28.25,-114.75,7211:384:2,0.31
Chaetodipterus,zonatus,28.25,-114.25,7211:384:1,0.35
Chaetodipterus,zonatus,27.75,-114.75,7211:374:4,0.36
Chaetodipterus,zonatus,27.25,-114.75,7211:374:2,0.38
Chaetodipterus,zonatus,23.75,-111.75,7211:131:4,0.25
Chaetodipterus,zonatus,15.25,-93.75,7109:353:2,0.33
Chaetodipterus,zonatus,14.25,-91.25,7109:141:1,0.24
Chaetodipterus,zonatus,11.25,-86.75,7108:216:2,0.22
Chaetodipterus,zonatus,-6.75,-80.75,5008:360:4,0.24
Chaetodipterus,zonatus,-5.25,-80.75,5008:350:2,0.27
Chaetodipterus,zonatus,-3.25,-80.25,5008:130:1,0.26
Chaetodipterus,zonatus,-2.75,-80.25,5008:120:3,0.38
Chaetodipterus,zonatus,-9.75,-78.75,5007:498:4,0.23
Chaetodipterus,zonatus,-9.25,-78.75,5007:498:2,0.20
Chaetodipterus,zonatus,-8.25,-78.75,5007:488:2,0.20
Chaetodipterus,zonatus,-7.75,-79.75,5007:479:4,0.24
Chaetodipterus,zonatus,-7.75,-79.25,5007:479:3,0.20
Chaetodipterus,zonatus,30.75,-115.75,7311:205:4,0.46
Chaetodipterus,zonatus,29.25,-114.75,7211:394:2,0.51
Chaetodipterus,zonatus,28.75,-114.25,7211:384:3,0.54
Chaetodipterus,zonatus,27.75,-114.25,7211:374:3,0.44
Chaetodipterus,zonatus,27.25,-114.25,7211:374:1,0.47
Chaetodipterus,zonatus,27.25,-113.75,7211:373:2,0.57
Chaetodipterus,zonatus,26.75,-114.25,7211:364:3,0.43
Chaetodipterus,zonatus,26.75,-113.75,7211:363:4,0.54
Chaetodipterus,zonatus,26.25,-113.75,7211:363:2,0.47
Chaetodipterus,zonatus,26.25,-113.25,7211:363:1,0.41
Chaetodipterus,zonatus,26.75,-111.25,7211:361:3,0.57
Chaetodipterus,zonatus,22.75,-110.25,7211:120:3,0.58
Chaetodipterus,zonatus,24.25,-108.25,7210:248:1,0.57
Chaetodipterus,zonatus,19.25,-110.75,7111:390:2,0.55
Chaetodipterus,zonatus,18.75,-110.75,7111:380:4,0.57
Chaetodipterus,zonatus,7.75,-78.75,7007:478:4,0.54
Chaetodipterus,zonatus,3.75,-77.75,7007:237:4,0.41
Chaetodipterus,zonatus,3.75,-77.25,7007:237:3,0.56
Chaetodipterus,zonatus,2.25,-78.75,7007:228:2,0.46
Chaetodipterus,zonatus,-7.25,-80.25,5008:370:1,0.40
Chaetodipterus,zonatus,-5.75,-81.25,5008:351:3,0.41
