Mapping parameters for Chaetodon unimaculatus (Teardrop butterflyfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 |  61 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,35,-35,95,-109

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,7,31,60
Temperature (°C),1,20.37,25.02,29.02,33.22
Salinity (psu),1,24.35,33.54,35.53,36.41
Primary Production (mgC·m-3·day-1) ,1,-0.4,0.6,11.29,34.19
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,20.85,94.35,208.54,304.66
Distance to Land (km),0,0,18,245,545
 

Map data (HSPEC) for predicted occurrences (n = 3993): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chaetodon,unimaculatus,30.75,-113.75,7311:103:4,0.11
Chaetodon,unimaculatus,24.25,-166.75,7216:246:2,0.03
Chaetodon,unimaculatus,28.75,-113.75,7211:383:4,0.01
Chaetodon,unimaculatus,26.25,-112.75,7211:362:2,0.04
Chaetodon,unimaculatus,25.75,-112.75,7211:352:4,0.10
Chaetodon,unimaculatus,25.75,-112.25,7211:352:3,0.16
Chaetodon,unimaculatus,25.25,-112.75,7211:352:2,0.16
Chaetodon,unimaculatus,25.25,-112.25,7211:352:1,0.19
Chaetodon,unimaculatus,25.75,-109.75,7210:459:4,0.17
Chaetodon,unimaculatus,18.75,-111.25,7111:381:3,0.07
Chaetodon,unimaculatus,-30.25,-178.25,5317:208:1,0.03
Chaetodon,unimaculatus,-29.25,-177.75,5217:497:2,0.13
Chaetodon,unimaculatus,-21.75,-135.25,5213:215:3,0.19
Chaetodon,unimaculatus,-21.25,-135.75,5213:215:2,0.17
Chaetodon,unimaculatus,-21.25,-135.25,5213:215:1,0.15
Chaetodon,unimaculatus,-24.75,-124.75,5212:144:4,0.16
Chaetodon,unimaculatus,-27.25,-109.25,5210:479:1,0.10
Chaetodon,unimaculatus,-14.25,-170.25,5117:140:1,0.05
Chaetodon,unimaculatus,-19.25,-139.25,5113:499:1,0.13
Chaetodon,unimaculatus,-19.25,-138.75,5113:498:2,0.12
Chaetodon,unimaculatus,-18.75,-136.25,5113:486:3,0.04
Chaetodon,unimaculatus,-18.25,-136.75,5113:486:2,0.07
Chaetodon,unimaculatus,-18.25,-136.25,5113:486:1,0.05
Chaetodon,unimaculatus,-17.25,-138.25,5113:478:1,0.18
Chaetodon,unimaculatus,-33.25,156.25,3315:236:1,0.06
Chaetodon,unimaculatus,-34.75,151.25,3315:141:3,0.02
Chaetodon,unimaculatus,-34.25,151.25,3315:141:1,0.02
Chaetodon,unimaculatus,-33.75,151.75,3315:131:4,0.04
Chaetodon,unimaculatus,-33.25,151.75,3315:131:2,0.05
Chaetodon,unimaculatus,-33.25,151.25,3315:131:1,0.02
Chaetodon,unimaculatus,-32.75,152.75,3315:122:4,0.18
Chaetodon,unimaculatus,-32.75,152.25,3315:122:3,0.09
Chaetodon,unimaculatus,-32.25,152.75,3315:122:2,0.14
Chaetodon,unimaculatus,-32.25,152.25,3315:122:1,0.12
Chaetodon,unimaculatus,-32.75,151.75,3315:121:4,0.07
Chaetodon,unimaculatus,-31.75,153.25,3315:113:3,0.06
Chaetodon,unimaculatus,-31.75,152.75,3315:112:4,0.12
Chaetodon,unimaculatus,-31.25,152.75,3315:112:2,0.18
Chaetodon,unimaculatus,-32.25,115.75,3311:225:2,0.06
Chaetodon,unimaculatus,-32.25,115.25,3311:225:1,0.11
Chaetodon,unimaculatus,-31.75,115.75,3311:215:4,0.10
Chaetodon,unimaculatus,-31.75,115.25,3311:215:3,0.17
Chaetodon,unimaculatus,-31.25,115.75,3311:215:2,0.06
Chaetodon,unimaculatus,-31.25,115.25,3311:215:1,0.17
