Mapping parameters for Cheilinus abudjubbe ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1,6,10
Temperature (°C),1,17.96,24.3,29.22,33.42
Salinity (psu),1,35.84,36.38,39.49,39.99
Primary Production,1,335,388,1490,1696.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,10,92,93
 

Map data (HSPEC) for predicted occurrences (n = 317): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cheilinus,abudjubbe,14.75,40.75,1104:140:4,0.18
Cheilinus,abudjubbe,13.75,46.75,1104:236:4,0.05
Cheilinus,abudjubbe,12.75,53.25,1105:123:3,0.04
Cheilinus,abudjubbe,12.75,53.75,1105:123:4,0.04
Cheilinus,abudjubbe,15.75,52.25,1105:352:3,0.02
Cheilinus,abudjubbe,19.75,69.75,1106:499:4,0.18
Cheilinus,abudjubbe,17.75,70.75,1107:370:4,0.01
Cheilinus,abudjubbe,27.75,48.75,1204:478:4,0.18
Cheilinus,abudjubbe,27.25,49.25,1204:479:1,0.18
Cheilinus,abudjubbe,27.25,49.75,1204:479:2,0.12
Cheilinus,abudjubbe,27.75,49.25,1204:479:3,0.18
Cheilinus,abudjubbe,27.75,49.75,1204:479:4,0.09
Cheilinus,abudjubbe,28.25,48.75,1204:488:2,0.18
Cheilinus,abudjubbe,25.75,52.25,1205:352:3,0.17
Cheilinus,abudjubbe,27.25,50.25,1205:370:1,0.09
Cheilinus,abudjubbe,27.25,50.75,1205:370:2,0.12
Cheilinus,abudjubbe,27.75,50.25,1205:370:3,0.12
Cheilinus,abudjubbe,27.75,51.25,1205:371:3,0.12
Cheilinus,abudjubbe,27.75,51.75,1205:371:4,0.10
Cheilinus,abudjubbe,25.25,58.75,1205:458:2,0.17
Cheilinus,abudjubbe,25.25,59.25,1205:459:1,0.14
Cheilinus,abudjubbe,26.25,55.25,1205:465:1,0.14
Cheilinus,abudjubbe,20.75,69.75,1206:209:4,0.09
Cheilinus,abudjubbe,21.75,69.25,1206:219:3,0.11
Cheilinus,abudjubbe,22.25,69.25,1206:229:1,0.04
Cheilinus,abudjubbe,24.75,67.25,1206:247:3,0.08
Cheilinus,abudjubbe,22.75,70.25,1207:120:3,0.05
Cheilinus,abudjubbe,13.75,41.75,1104:131:4,0.27
Cheilinus,abudjubbe,14.25,41.25,1104:141:1,0.30
Cheilinus,abudjubbe,14.75,41.25,1104:141:3,0.27
Cheilinus,abudjubbe,11.75,50.25,1105:110:3,0.22
Cheilinus,abudjubbe,11.75,50.75,1105:110:4,0.37
Cheilinus,abudjubbe,12.25,50.75,1105:120:2,0.37
Cheilinus,abudjubbe,16.75,52.75,1105:362:4,0.29
Cheilinus,abudjubbe,16.75,53.25,1105:363:3,0.37
Cheilinus,abudjubbe,16.75,53.75,1105:363:4,0.37
Cheilinus,abudjubbe,16.75,54.25,1105:364:3,0.37
Cheilinus,abudjubbe,16.75,54.75,1105:364:4,0.37
Cheilinus,abudjubbe,19.75,58.75,1105:498:4,0.24
Cheilinus,abudjubbe,23.25,36.25,1203:236:1,0.22
Cheilinus,abudjubbe,25.75,36.25,1203:456:3,0.25
Cheilinus,abudjubbe,20.25,59.25,1205:209:1,0.24
Cheilinus,abudjubbe,24.75,61.25,1206:141:3,0.25
Cheilinus,abudjubbe,20.75,69.25,1206:209:3,0.30
Cheilinus,abudjubbe,22.25,68.25,1206:228:1,0.25
Cheilinus,abudjubbe,23.25,67.25,1206:237:1,0.37
Cheilinus,abudjubbe,10.25,44.75,1104:104:2,0.51
Cheilinus,abudjubbe,12.75,42.75,1104:122:4,0.52
Cheilinus,abudjubbe,12.75,44.25,1104:124:3,0.55
Cheilinus,abudjubbe,11.25,49.25,1104:219:1,0.49
Cheilinus,abudjubbe,11.25,49.75,1104:219:2,0.42
Cheilinus,abudjubbe,11.75,49.75,1104:219:4,0.54
Cheilinus,abudjubbe,15.25,40.75,1104:350:2,0.55
Cheilinus,abudjubbe,15.75,40.75,1104:350:4,0.43
Cheilinus,abudjubbe,15.25,41.25,1104:351:1,0.50
Cheilinus,abudjubbe,16.25,52.75,1105:362:2,0.41
Cheilinus,abudjubbe,23.25,38.25,1203:238:1,0.46
Cheilinus,abudjubbe,24.25,35.75,1203:245:2,0.48
Cheilinus,abudjubbe,24.25,37.25,1203:247:1,0.48
Cheilinus,abudjubbe,24.75,37.25,1203:247:3,0.48
Cheilinus,abudjubbe,28.25,34.75,1203:384:2,0.53
Cheilinus,abudjubbe,25.25,36.75,1203:456:2,0.48
Cheilinus,abudjubbe,25.25,37.25,1203:457:1,0.48
Cheilinus,abudjubbe,25.75,37.25,1203:457:3,0.48
Cheilinus,abudjubbe,29.25,35.25,1203:495:1,0.55
Cheilinus,abudjubbe,24.75,51.75,1205:141:4,0.51
Cheilinus,abudjubbe,23.75,57.75,1205:237:4,0.45
Cheilinus,abudjubbe,25.75,55.25,1205:455:3,0.48
Cheilinus,abudjubbe,26.25,55.75,1205:465:2,0.40
