Mapping parameters for Chionobathyscus dewitti ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  48 |  58 ,
Bounding Box (NSWE): ,-60,-79,-70,60

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,500,697,1136,2000
Temperature (°C),1,-1.47,-0.97,1.08,3.48
Salinity (psu),1,33.61,34.11,34.68,35.18
Primary Production (mgC·m-3·day-1) ,1,0.09,2.77,6.1,7.59
Sea Ice Concentration (0-1 fraction),1,0.04,0.05,0.77,0.78
Dissolved Bottom Oxygen (mmol·m-3),1,203.52,233.17,306.22,358.48
Distance to Land (km),0,10,13,210,881
 

Map data (HSPEC) for predicted occurrences (n = 770): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chionobathyscus,dewitti,-64.75,2.25,3600:142:3,0.10
Chionobathyscus,dewitti,-64.75,3.25,3600:143:3,0.04
Chionobathyscus,dewitti,-64.75,5.25,3600:245:3,0.16
Chionobathyscus,dewitti,-65.25,2.25,3600:352:1,0.01
Chionobathyscus,dewitti,-69.25,3.25,3600:393:1,0.18
Chionobathyscus,dewitti,-69.25,5.25,3600:495:1,0.07
Chionobathyscus,dewitti,-69.25,9.25,3600:499:1,0.16
Chionobathyscus,dewitti,-67.25,11.25,3601:371:1,0.13
Chionobathyscus,dewitti,-67.75,12.25,3601:372:3,0.01
Chionobathyscus,dewitti,-68.75,13.25,3601:383:3,0.08
Chionobathyscus,dewitti,-68.75,13.75,3601:383:4,0.07
