Mapping parameters for Chrysiptera glauca (Grey demoiselle)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  61 |  71 |  77 |  81,
Bounding Box (NSWE): ,30,-28,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,2,3
Temperature (°C),1,22.16,25.36,29.18,33.38
Salinity (psu),1,29.56,33.36,35.42,36.47
Primary Production (mgC·m-3·day-1) ,1,-0.26,0.74,12.63,34.19
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,21.38,93.17,208.65,297.26
Distance to Land (km),0,5,19,223,682
 

Map data (HSPEC) for predicted occurrences (n = 3213): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chrysiptera,glauca,8.75,76.75,1007:486:4,0.18
Chrysiptera,glauca,8.25,77.25,1007:487:1,0.06
Chrysiptera,glauca,8.25,77.75,1007:487:2,0.06
Chrysiptera,glauca,3.75,98.75,1009:238:4,0.14
Chrysiptera,glauca,9.25,99.25,1009:499:1,0.14
Chrysiptera,glauca,9.75,99.25,1009:499:3,0.11
Chrysiptera,glauca,9.75,99.75,1009:499:4,0.19
Chrysiptera,glauca,0.25,102.75,1010:102:2,0.08
Chrysiptera,glauca,0.25,103.25,1010:103:1,0.08
Chrysiptera,glauca,0.75,103.25,1010:103:3,0.04
Chrysiptera,glauca,1.25,103.25,1010:113:1,0.01
Chrysiptera,glauca,1.75,103.25,1010:113:3,0.02
Chrysiptera,glauca,1.75,103.75,1010:113:4,0.10
Chrysiptera,glauca,2.25,100.25,1010:120:1,0.09
Chrysiptera,glauca,2.75,100.25,1010:120:3,0.10
Chrysiptera,glauca,2.75,100.75,1010:120:4,0.04
Chrysiptera,glauca,2.25,103.75,1010:123:2,0.15
Chrysiptera,glauca,2.75,103.25,1010:123:3,0.01
Chrysiptera,glauca,2.75,103.75,1010:123:4,0.14
Chrysiptera,glauca,3.75,100.75,1010:130:4,0.13
Chrysiptera,glauca,3.25,101.25,1010:131:1,0.07
Chrysiptera,glauca,3.75,101.25,1010:131:3,0.15
Chrysiptera,glauca,3.25,103.25,1010:133:1,0.19
Chrysiptera,glauca,4.25,100.75,1010:140:2,0.18
Chrysiptera,glauca,0.25,109.25,1010:209:1,0.15
