Mapping parameters for Branchiostegus japonicus (Horsehead tilefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  71,
Bounding Box (NSWE): ,40,15,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,30,48,112,200
Temperature (°C),1,12.05,17.51,26.4,30.6
Salinity (psu),1,32.02,33.56,34.56,35.39
Primary Production,1,25,314,1166,1628
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,5,10,199,252
 

Map data (HSPEC) for predicted occurrences (n = 765): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Branchiostegus,japonicus,17.75,106.25,1110:476:3,0.10
Branchiostegus,japonicus,18.75,106.75,1110:486:4,0.18
Branchiostegus,japonicus,19.75,107.25,1110:497:3,0.16
Branchiostegus,japonicus,19.75,107.75,1110:497:4,0.16
Branchiostegus,japonicus,16.75,119.75,1111:469:4,0.07
Branchiostegus,japonicus,15.25,145.75,1114:455:2,0.19
Branchiostegus,japonicus,16.25,145.75,1114:465:2,0.18
Branchiostegus,japonicus,16.75,145.75,1114:465:4,0.19
Branchiostegus,japonicus,16.25,146.25,1114:466:1,0.17
Branchiostegus,japonicus,17.75,145.75,1114:475:4,0.19
Branchiostegus,japonicus,18.25,145.75,1114:485:2,0.18
Branchiostegus,japonicus,18.75,145.75,1114:485:4,0.18
Branchiostegus,japonicus,19.75,145.25,1114:495:3,0.19
Branchiostegus,japonicus,17.25,152.75,1115:372:2,0.14
Branchiostegus,japonicus,19.75,160.25,1116:390:3,0.17
Branchiostegus,japonicus,19.25,166.75,1116:496:2,0.17
Branchiostegus,japonicus,20.25,106.75,1210:206:2,0.02
Branchiostegus,japonicus,20.75,106.75,1210:206:4,0.03
Branchiostegus,japonicus,20.25,107.25,1210:207:1,0.05
Branchiostegus,japonicus,20.25,107.75,1210:207:2,0.05
Branchiostegus,japonicus,20.75,107.25,1210:207:3,0.03
Branchiostegus,japonicus,20.75,107.75,1210:207:4,0.05
Branchiostegus,japonicus,21.25,107.75,1210:217:2,0.05
Branchiostegus,japonicus,21.75,108.75,1210:218:4,0.12
Branchiostegus,japonicus,24.75,119.25,1211:249:3,0.11
Branchiostegus,japonicus,25.75,120.25,1212:350:3,0.04
Branchiostegus,japonicus,30.25,123.75,1312:103:2,0.07
Branchiostegus,japonicus,30.75,123.75,1312:103:4,0.01
Branchiostegus,japonicus,31.25,124.25,1312:114:1,0.01
Branchiostegus,japonicus,31.25,124.75,1312:114:2,0.12
Branchiostegus,japonicus,32.75,124.25,1312:124:3,0.02
Branchiostegus,japonicus,32.75,124.75,1312:124:4,0.07
Branchiostegus,japonicus,33.25,124.25,1312:134:1,0.14
Branchiostegus,japonicus,33.25,124.75,1312:134:2,0.13
Branchiostegus,japonicus,33.75,124.25,1312:134:3,0.17
Branchiostegus,japonicus,33.75,124.75,1312:134:4,0.14
Branchiostegus,japonicus,34.25,124.25,1312:144:1,0.16
Branchiostegus,japonicus,34.25,124.75,1312:144:2,0.14
Branchiostegus,japonicus,34.75,124.25,1312:144:3,0.16
Branchiostegus,japonicus,34.75,124.75,1312:144:4,0.16
Branchiostegus,japonicus,31.75,125.75,1312:215:4,0.15
Branchiostegus,japonicus,32.25,125.25,1312:225:1,0.08
Branchiostegus,japonicus,34.25,125.75,1312:245:2,0.15
Branchiostegus,japonicus,34.75,125.75,1312:245:4,0.02
Branchiostegus,japonicus,35.25,124.25,1312:354:1,0.09
Branchiostegus,japonicus,35.25,124.75,1312:354:2,0.09
Branchiostegus,japonicus,35.75,124.25,1312:354:3,0.07
Branchiostegus,japonicus,35.75,124.75,1312:354:4,0.08
Branchiostegus,japonicus,36.25,124.25,1312:364:1,0.01
Branchiostegus,japonicus,36.25,124.75,1312:364:2,0.01
Branchiostegus,japonicus,36.75,124.25,1312:364:3,0.01
Branchiostegus,japonicus,35.25,125.75,1312:455:2,0.01
Branchiostegus,japonicus,35.75,125.75,1312:455:4,0.15
Branchiostegus,japonicus,36.25,125.25,1312:465:1,0.08
Branchiostegus,japonicus,36.25,125.75,1312:465:2,0.02
Branchiostegus,japonicus,36.75,125.25,1312:465:3,0.01
Branchiostegus,japonicus,36.25,126.75,1312:466:2,0.09
Branchiostegus,japonicus,36.75,126.25,1312:466:3,0.01
Branchiostegus,japonicus,37.25,126.25,1312:476:1,0.07
Branchiostegus,japonicus,37.25,126.75,1312:476:2,0.01
Branchiostegus,japonicus,37.75,126.25,1312:476:3,0.06
Branchiostegus,japonicus,32.25,130.75,1313:120:2,0.11
Branchiostegus,japonicus,33.75,130.75,1313:130:4,0.11
Branchiostegus,japonicus,37.25,132.25,1313:372:1,0.11
Branchiostegus,japonicus,37.25,141.75,1314:371:2,0.02
Branchiostegus,japonicus,26.75,-176.25,7217:466:3,0.12
Branchiostegus,japonicus,27.75,-175.75,7217:475:4,0.17
Branchiostegus,japonicus,28.75,-176.75,7217:486:4,0.15
Branchiostegus,japonicus,28.75,-178.25,7217:488:3,0.11
Branchiostegus,japonicus,17.75,106.75,1110:476:4,0.26
Branchiostegus,japonicus,18.75,105.75,1110:485:4,0.27
Branchiostegus,japonicus,18.25,106.25,1110:486:1,0.27
Branchiostegus,japonicus,18.25,106.75,1110:486:2,0.27
Branchiostegus,japonicus,18.75,106.25,1110:486:3,0.27
Branchiostegus,japonicus,18.75,107.25,1110:487:3,0.38
Branchiostegus,japonicus,18.75,108.75,1110:488:4,0.33
Branchiostegus,japonicus,19.25,108.25,1110:498:1,0.37
Branchiostegus,japonicus,19.25,108.75,1110:498:2,0.23
Branchiostegus,japonicus,19.75,108.25,1110:498:3,0.27
Branchiostegus,japonicus,19.75,109.25,1110:499:3,0.22
Branchiostegus,japonicus,16.25,111.25,1111:361:1,0.29
Branchiostegus,japonicus,15.25,120.25,1112:350:1,0.36
Branchiostegus,japonicus,15.75,124.25,1112:354:3,0.22
Branchiostegus,japonicus,20.25,108.25,1210:208:1,0.34
Branchiostegus,japonicus,20.25,108.75,1210:208:2,0.30
Branchiostegus,japonicus,20.75,108.75,1210:208:4,0.32
Branchiostegus,japonicus,21.25,109.75,1210:219:2,0.28
