Mapping parameters for Cymolutes praetextatus (Knife razorfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  71 |  77 |  81,
Bounding Box (NSWE): ,21,-18,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,3,7,10
Temperature (°C),1,25.46,26.99,29.22,33.42
Salinity (psu),1,32.38,33.76,35.27,36.19
Primary Production (mgC·m-3·day-1) ,1,0.24,1.24,12.81,29.29
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,50.29,85.73,204.52,323.77
Distance to Land (km),0,1,19,221,514
 

Map data (HSPEC) for predicted occurrences (n = 2363): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cymolutes,praetextatus,18.25,-114.75,7111:384:2,0.02
Cymolutes,praetextatus,18.25,-102.25,7110:382:1,0.02
Cymolutes,praetextatus,16.25,-98.25,7109:468:1,0.14
Cymolutes,praetextatus,16.25,-97.75,7109:467:2,0.19
Cymolutes,praetextatus,15.75,-97.75,7109:457:4,0.16
Cymolutes,praetextatus,15.75,-97.25,7109:457:3,0.04
Cymolutes,praetextatus,15.75,-96.75,7109:456:4,0.13
Cymolutes,praetextatus,15.75,-96.25,7109:456:3,0.11
Cymolutes,praetextatus,15.75,-95.75,7109:455:4,0.11
Cymolutes,praetextatus,16.25,-94.75,7109:364:2,0.08
Cymolutes,praetextatus,16.25,-94.25,7109:364:1,0.13
Cymolutes,praetextatus,12.75,-88.75,7108:228:4,0.01
Cymolutes,praetextatus,12.75,-88.25,7108:228:3,0.02
Cymolutes,praetextatus,12.25,-88.25,7108:228:1,0.10
Cymolutes,praetextatus,12.25,-87.75,7108:227:2,0.03
Cymolutes,praetextatus,5.75,-87.25,7008:457:3,0.13
Cymolutes,praetextatus,-14.75,-169.75,5116:249:4,0.07
Cymolutes,praetextatus,-14.25,-169.75,5116:249:2,0.10
Cymolutes,praetextatus,-14.25,-169.25,5116:249:1,0.06
Cymolutes,praetextatus,-17.75,-150.75,5115:370:4,0.19
Cymolutes,praetextatus,-16.75,-154.75,5115:364:4,0.06
Cymolutes,praetextatus,-16.25,-154.75,5115:364:2,0.07
Cymolutes,praetextatus,-16.75,-153.75,5115:363:4,0.07
Cymolutes,praetextatus,-16.25,-152.25,5115:362:1,0.16
Cymolutes,praetextatus,-16.75,-150.75,5115:360:4,0.18
Cymolutes,praetextatus,-15.75,-154.25,5115:354:3,0.08
Cymolutes,praetextatus,-17.25,-145.75,5114:475:2,0.19
Cymolutes,praetextatus,-17.25,-145.25,5114:475:1,0.19
Cymolutes,praetextatus,-16.75,-145.25,5114:465:3,0.19
Cymolutes,praetextatus,-17.25,-144.25,5114:374:1,0.16
Cymolutes,praetextatus,-17.75,-143.25,5114:373:3,0.07
Cymolutes,praetextatus,-17.25,-143.25,5114:373:1,0.09
Cymolutes,praetextatus,-17.75,-142.75,5114:372:4,0.04
Cymolutes,praetextatus,-17.75,-142.25,5114:372:3,0.03
Cymolutes,praetextatus,-17.25,-142.75,5114:372:2,0.05
Cymolutes,praetextatus,-16.75,-144.75,5114:364:4,0.18
Cymolutes,praetextatus,-16.75,-144.25,5114:364:3,0.17
Cymolutes,praetextatus,-16.25,-144.75,5114:364:2,0.19
Cymolutes,praetextatus,-16.25,-144.25,5114:364:1,0.18
Cymolutes,praetextatus,-16.75,-143.75,5114:363:4,0.14
Cymolutes,praetextatus,-16.75,-143.25,5114:363:3,0.10
Cymolutes,praetextatus,-16.25,-143.75,5114:363:2,0.16
Cymolutes,praetextatus,-16.25,-143.25,5114:363:1,0.13
Cymolutes,praetextatus,-16.75,-142.75,5114:362:4,0.07
Cymolutes,praetextatus,-16.25,-142.75,5114:362:2,0.12
Cymolutes,praetextatus,-16.25,-142.25,5114:362:1,0.11
Cymolutes,praetextatus,-15.75,-142.25,5114:352:3,0.15
Cymolutes,praetextatus,-15.75,-140.75,5114:350:4,0.09
Cymolutes,praetextatus,-15.75,-140.25,5114:350:3,0.09
Cymolutes,praetextatus,-16.75,139.25,3113:469:3,0.18
Cymolutes,praetextatus,-15.25,47.75,3104:457:2,0.16
Cymolutes,praetextatus,-17.75,37.25,3103:477:3,0.16
Cymolutes,praetextatus,-5.25,152.25,3015:352:1,0.19
Cymolutes,praetextatus,-9.25,143.25,3014:393:1,0.18
Cymolutes,praetextatus,-8.25,140.25,3014:380:1,0.03
Cymolutes,praetextatus,-3.25,144.25,3014:134:1,0.12
Cymolutes,praetextatus,-3.25,143.25,3014:133:1,0.04
Cymolutes,praetextatus,-3.25,142.75,3014:132:2,0.01
Cymolutes,praetextatus,-3.25,142.25,3014:132:1,0.01
Cymolutes,praetextatus,-2.75,141.75,3014:121:4,0.08
Cymolutes,praetextatus,-2.75,141.25,3014:121:3,0.06
Cymolutes,praetextatus,-2.25,140.75,3014:120:2,0.13
Cymolutes,praetextatus,-2.25,140.25,3014:120:1,0.10
Cymolutes,praetextatus,-8.25,138.75,3013:488:2,0.06
Cymolutes,praetextatus,-8.25,138.25,3013:488:1,0.14
Cymolutes,praetextatus,-5.25,136.75,3013:456:2,0.14
Cymolutes,praetextatus,-4.25,135.75,3013:245:2,0.12
Cymolutes,praetextatus,-1.75,137.75,3013:217:4,0.07
Cymolutes,praetextatus,-7.25,120.75,3012:370:2,0.19
Cymolutes,praetextatus,-7.25,120.25,3012:370:1,0.17
Cymolutes,praetextatus,-6.75,121.25,3012:361:3,0.13
Cymolutes,praetextatus,-6.25,121.25,3012:361:1,0.13
Cymolutes,praetextatus,-6.75,120.75,3012:360:4,0.14
Cymolutes,praetextatus,-6.75,120.25,3012:360:3,0.15
Cymolutes,praetextatus,-6.25,120.75,3012:360:2,0.15
Cymolutes,praetextatus,-6.25,120.25,3012:360:1,0.15
Cymolutes,praetextatus,-5.75,120.75,3012:350:4,0.17
Cymolutes,praetextatus,-5.75,120.25,3012:350:3,0.15
Cymolutes,praetextatus,-4.25,121.25,3012:141:1,0.10
Cymolutes,praetextatus,-4.75,120.75,3012:140:4,0.16
Cymolutes,praetextatus,-4.25,120.75,3012:140:2,0.04
