Mapping parameters for Cynoglossus semifasciatus (Bengal tonguesole)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 51 |  57,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,12,12,16,18
Temperature (°C),1,27.07,27.59,28.59,32.79
Salinity (psu),1,25.37,28.46,34.28,38.58
Primary Production,1,612.25,961.6,1965.9,2414.25
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0.7,1.7,23.6000003814697,45.875
 

Map data (HSPEC) for predicted occurrences (n = 770): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cynoglossus,semifasciatus,2.75,72.75,1007:122:4,0.14
Cynoglossus,semifasciatus,3.25,72.75,1007:132:2,0.03
Cynoglossus,semifasciatus,3.25,73.25,1007:133:1,0.17
Cynoglossus,semifasciatus,5.75,72.75,1007:352:4,0.11
Cynoglossus,semifasciatus,5.75,73.25,1007:353:3,0.07
Cynoglossus,semifasciatus,7.75,81.75,1008:371:4,0.05
Cynoglossus,semifasciatus,9.25,81.25,1008:391:1,0.03
Cynoglossus,semifasciatus,1.75,97.25,1009:217:3,0.13
Cynoglossus,semifasciatus,2.25,96.75,1009:226:2,0.01
Cynoglossus,semifasciatus,4.75,95.25,1009:245:3,0.14
Cynoglossus,semifasciatus,4.75,95.75,1009:245:4,0.19
Cynoglossus,semifasciatus,4.25,96.25,1009:246:1,0.13
Cynoglossus,semifasciatus,5.25,95.25,1009:455:1,0.16
Cynoglossus,semifasciatus,5.25,96.25,1009:456:1,0.19
Cynoglossus,semifasciatus,2.75,100.75,1010:120:4,0.03
Cynoglossus,semifasciatus,16.25,39.25,1103:469:1,0.15
Cynoglossus,semifasciatus,16.25,39.75,1103:469:2,0.17
Cynoglossus,semifasciatus,16.75,39.25,1103:469:3,0.18
Cynoglossus,semifasciatus,16.75,39.75,1103:469:4,0.18
Cynoglossus,semifasciatus,17.25,38.75,1103:478:2,0.19
Cynoglossus,semifasciatus,17.75,38.75,1103:478:4,0.16
Cynoglossus,semifasciatus,17.25,39.25,1103:479:1,0.13
Cynoglossus,semifasciatus,17.75,39.25,1103:479:3,0.06
Cynoglossus,semifasciatus,18.75,37.25,1103:487:3,0.16
Cynoglossus,semifasciatus,18.75,37.75,1103:487:4,0.16
Cynoglossus,semifasciatus,18.25,38.25,1103:488:1,0.16
Cynoglossus,semifasciatus,18.25,38.75,1103:488:2,0.13
Cynoglossus,semifasciatus,18.75,38.25,1103:488:3,0.13
Cynoglossus,semifasciatus,18.75,38.75,1103:488:4,0.05
Cynoglossus,semifasciatus,19.25,37.25,1103:497:1,0.17
Cynoglossus,semifasciatus,19.25,37.75,1103:497:2,0.10
Cynoglossus,semifasciatus,19.75,37.25,1103:497:3,0.13
Cynoglossus,semifasciatus,19.75,37.75,1103:497:4,0.04
Cynoglossus,semifasciatus,19.25,38.25,1103:498:1,0.06
Cynoglossus,semifasciatus,19.75,39.75,1103:499:4,0.10
Cynoglossus,semifasciatus,13.75,47.75,1104:237:4,0.14
Cynoglossus,semifasciatus,16.25,40.25,1104:360:1,0.17
Cynoglossus,semifasciatus,16.25,40.75,1104:360:2,0.17
Cynoglossus,semifasciatus,16.75,40.25,1104:360:3,0.17
Cynoglossus,semifasciatus,16.25,41.75,1104:361:2,0.16
Cynoglossus,semifasciatus,16.75,41.25,1104:361:3,0.16
Cynoglossus,semifasciatus,16.75,41.75,1104:361:4,0.16
Cynoglossus,semifasciatus,16.25,42.25,1104:362:1,0.16
Cynoglossus,semifasciatus,16.25,42.75,1104:362:2,0.16
Cynoglossus,semifasciatus,16.75,42.25,1104:362:3,0.16
Cynoglossus,semifasciatus,16.75,42.75,1104:362:4,0.16
Cynoglossus,semifasciatus,17.25,41.25,1104:371:1,0.13
Cynoglossus,semifasciatus,17.25,41.75,1104:371:2,0.13
Cynoglossus,semifasciatus,17.75,41.25,1104:371:3,0.10
Cynoglossus,semifasciatus,17.75,41.75,1104:371:4,0.06
Cynoglossus,semifasciatus,17.25,42.25,1104:372:1,0.08
Cynoglossus,semifasciatus,17.75,42.25,1104:372:3,0.12
Cynoglossus,semifasciatus,18.25,40.75,1104:380:2,0.11
Cynoglossus,semifasciatus,18.75,40.75,1104:380:4,0.18
Cynoglossus,semifasciatus,18.25,41.25,1104:381:1,0.16
Cynoglossus,semifasciatus,18.25,41.75,1104:381:2,0.13
Cynoglossus,semifasciatus,18.75,41.25,1104:381:3,0.18
Cynoglossus,semifasciatus,19.25,40.25,1104:390:1,0.14
Cynoglossus,semifasciatus,19.25,40.75,1104:390:2,0.18
Cynoglossus,semifasciatus,19.75,40.25,1104:390:3,0.16
Cynoglossus,semifasciatus,19.75,40.75,1104:390:4,0.16
Cynoglossus,semifasciatus,19.25,41.25,1104:391:1,0.19
Cynoglossus,semifasciatus,11.75,51.25,1105:111:3,0.04
Cynoglossus,semifasciatus,15.25,51.25,1105:351:1,0.07
Cynoglossus,semifasciatus,15.25,51.75,1105:351:2,0.10
Cynoglossus,semifasciatus,15.75,51.75,1105:351:4,0.10
Cynoglossus,semifasciatus,11.25,72.75,1107:112:2,0.08
Cynoglossus,semifasciatus,10.75,92.75,1109:102:4,0.14
Cynoglossus,semifasciatus,11.25,92.75,1109:112:2,0.11
Cynoglossus,semifasciatus,11.75,93.25,1109:113:3,0.02
Cynoglossus,semifasciatus,12.75,93.25,1109:123:3,0.09
Cynoglossus,semifasciatus,13.25,93.25,1109:133:1,0.13
Cynoglossus,semifasciatus,14.25,93.25,1109:143:1,0.19
Cynoglossus,semifasciatus,13.25,97.25,1109:237:1,0.06
Cynoglossus,semifasciatus,15.25,97.25,1109:457:1,0.13
Cynoglossus,semifasciatus,20.25,39.75,1203:209:2,0.06
Cynoglossus,semifasciatus,20.25,40.25,1204:100:1,0.18
Cynoglossus,semifasciatus,23.25,58.75,1205:238:2,0.19
Cynoglossus,semifasciatus,23.25,59.25,1205:239:1,0.02
Cynoglossus,semifasciatus,21.75,68.25,1206:218:3,0.10
Cynoglossus,semifasciatus,21.75,68.75,1206:218:4,0.10
Cynoglossus,semifasciatus,21.25,69.25,1206:219:1,0.07
Cynoglossus,semifasciatus,21.25,69.75,1206:219:2,0.07
Cynoglossus,semifasciatus,21.75,69.25,1206:219:3,0.07
Cynoglossus,semifasciatus,21.75,69.75,1206:219:4,0.07
Cynoglossus,semifasciatus,21.25,88.75,1208:218:2,0.03
Cynoglossus,semifasciatus,22.25,90.75,1209:120:2,0.17
Cynoglossus,semifasciatus,-6.75,39.75,3003:469:4,0.03
Cynoglossus,semifasciatus,-7.25,39.75,3003:479:2,0.08
Cynoglossus,semifasciatus,-7.75,39.75,3003:479:4,0.13
Cynoglossus,semifasciatus,-2.25,40.75,3004:120:2,0.12
Cynoglossus,semifasciatus,-2.25,41.25,3004:121:1,0.11
Cynoglossus,semifasciatus,-1.75,98.75,3009:218:4,0.08
Cynoglossus,semifasciatus,-2.25,99.75,3009:229:2,0.19
Cynoglossus,semifasciatus,-3.25,100.25,3010:130:1,0.06
Cynoglossus,semifasciatus,-3.75,100.75,3010:130:4,0.02
Cynoglossus,semifasciatus,-4.25,101.25,3010:141:1,0.10
Cynoglossus,semifasciatus,-7.25,106.75,3010:476:2,0.18
Cynoglossus,semifasciatus,-7.25,107.25,3010:477:1,0.18
Cynoglossus,semifasciatus,-7.75,109.25,3010:479:3,0.01
Cynoglossus,semifasciatus,-7.75,110.25,3011:370:3,0.19
Cynoglossus,semifasciatus,-8.25,111.75,3011:381:2,0.16
Cynoglossus,semifasciatus,-8.25,112.25,3011:382:1,0.04
Cynoglossus,semifasciatus,-8.25,112.75,3011:382:2,0.05
Cynoglossus,semifasciatus,-8.25,116.25,3011:486:1,0.11
Cynoglossus,semifasciatus,-8.25,116.75,3011:486:2,0.07
Cynoglossus,semifasciatus,-8.25,117.25,3011:487:1,0.06
Cynoglossus,semifasciatus,-8.25,117.75,3011:487:2,0.13
Cynoglossus,semifasciatus,-8.75,117.25,3011:487:3,0.11
Cynoglossus,semifasciatus,-8.25,118.25,3011:488:1,0.19
Cynoglossus,semifasciatus,-8.25,118.75,3011:488:2,0.13
Cynoglossus,semifasciatus,-8.25,119.25,3011:489:1,0.19
Cynoglossus,semifasciatus,-9.25,117.25,3011:497:1,0.15
Cynoglossus,semifasciatus,-9.75,118.75,3011:498:4,0.09
Cynoglossus,semifasciatus,-9.75,119.25,3011:499:3,0.18
Cynoglossus,semifasciatus,-8.75,122.25,3012:382:3,0.16
Cynoglossus,semifasciatus,-8.25,123.25,3012:383:1,0.11
Cynoglossus,semifasciatus,-8.25,123.75,3012:383:2,0.16
Cynoglossus,semifasciatus,-8.25,124.25,3012:384:1,0.04
Cynoglossus,semifasciatus,-9.75,120.75,3012:390:4,0.18
Cynoglossus,semifasciatus,-9.25,124.25,3012:394:1,0.18
Cynoglossus,semifasciatus,-9.75,124.75,3012:394:4,0.01
Cynoglossus,semifasciatus,-10.25,39.75,3103:209:2,0.17
Cynoglossus,semifasciatus,-16.75,39.25,3103:469:3,0.15
Cynoglossus,semifasciatus,-16.75,39.75,3103:469:4,0.04
Cynoglossus,semifasciatus,-17.25,39.25,3103:479:1,0.09
Cynoglossus,semifasciatus,-11.25,40.75,3104:110:2,0.11
Cynoglossus,semifasciatus,-11.75,40.75,3104:110:4,0.05
Cynoglossus,semifasciatus,-12.75,40.25,3104:120:3,0.07
Cynoglossus,semifasciatus,-14.25,40.75,3104:140:2,0.07
Cynoglossus,semifasciatus,-12.25,48.75,3104:228:2,0.12
Cynoglossus,semifasciatus,-12.75,48.75,3104:228:4,0.16
Cynoglossus,semifasciatus,-13.25,48.25,3104:238:1,0.04
Cynoglossus,semifasciatus,-15.25,40.75,3104:350:2,0.15
Cynoglossus,semifasciatus,-16.25,40.25,3104:360:1,0.02
Cynoglossus,semifasciatus,-19.25,118.25,3111:498:1,0.02
Cynoglossus,semifasciatus,-19.75,118.25,3111:498:3,0.04
Cynoglossus,semifasciatus,-19.75,118.75,3111:498:4,0.08
Cynoglossus,semifasciatus,-19.25,119.25,3111:499:1,0.17
Cynoglossus,semifasciatus,-10.75,123.25,3112:103:3,0.18
Cynoglossus,semifasciatus,-14.75,123.75,3112:143:4,0.18
Cynoglossus,semifasciatus,-10.25,126.75,3112:206:2,0.04
Cynoglossus,semifasciatus,-10.75,126.75,3112:206:4,0.18
Cynoglossus,semifasciatus,-15.25,122.25,3112:352:1,0.14
Cynoglossus,semifasciatus,-16.75,122.25,3112:362:3,0.02
Cynoglossus,semifasciatus,-16.25,123.25,3112:363:1,0.17
Cynoglossus,semifasciatus,-17.75,122.25,3112:372:3,0.04
Cynoglossus,semifasciatus,-19.75,121.25,3112:391:3,0.02
Cynoglossus,semifasciatus,-20.25,44.25,3204:104:1,0.06
Cynoglossus,semifasciatus,-20.75,44.25,3204:104:3,0.06
Cynoglossus,semifasciatus,3.75,72.75,1007:132:4,0.22
Cynoglossus,semifasciatus,5.25,72.75,1007:352:2,0.28
Cynoglossus,semifasciatus,7.75,77.75,1007:477:4,0.23
Cynoglossus,semifasciatus,7.25,79.75,1007:479:2,0.38
Cynoglossus,semifasciatus,5.75,81.25,1008:351:3,0.23
Cynoglossus,semifasciatus,6.75,81.75,1008:361:4,0.20
Cynoglossus,semifasciatus,7.25,81.75,1008:371:2,0.23
Cynoglossus,semifasciatus,8.25,81.25,1008:381:1,0.30
Cynoglossus,semifasciatus,8.75,81.25,1008:381:3,0.20
Cynoglossus,semifasciatus,0.75,97.75,1009:207:4,0.39
Cynoglossus,semifasciatus,1.25,97.25,1009:217:1,0.28
Cynoglossus,semifasciatus,1.25,97.75,1009:217:2,0.39
Cynoglossus,semifasciatus,2.25,97.25,1009:227:1,0.30
Cynoglossus,semifasciatus,3.75,96.25,1009:236:3,0.38
Cynoglossus,semifasciatus,5.25,95.75,1009:455:2,0.20
Cynoglossus,semifasciatus,5.75,95.25,1009:455:3,0.36
Cynoglossus,semifasciatus,5.75,95.75,1009:455:4,0.23
Cynoglossus,semifasciatus,5.25,96.75,1009:456:2,0.27
Cynoglossus,semifasciatus,7.75,98.75,1009:478:4,0.34
Cynoglossus,semifasciatus,7.75,99.25,1009:479:3,0.37
Cynoglossus,semifasciatus,8.75,97.75,1009:487:4,0.34
Cynoglossus,semifasciatus,8.75,98.25,1009:488:3,0.38
Cynoglossus,semifasciatus,9.75,97.75,1009:497:4,0.34
Cynoglossus,semifasciatus,15.25,39.75,1103:459:2,0.22
Cynoglossus,semifasciatus,15.75,39.25,1103:459:3,0.20
Cynoglossus,semifasciatus,15.75,39.75,1103:459:4,0.27
Cynoglossus,semifasciatus,13.75,41.75,1104:131:4,0.35
Cynoglossus,semifasciatus,13.25,42.25,1104:132:1,0.36
Cynoglossus,semifasciatus,13.25,42.75,1104:132:2,0.36
Cynoglossus,semifasciatus,13.75,42.25,1104:132:3,0.36
Cynoglossus,semifasciatus,13.75,42.75,1104:132:4,0.36
Cynoglossus,semifasciatus,13.25,43.25,1104:133:1,0.36
Cynoglossus,semifasciatus,13.75,43.25,1104:133:3,0.36
Cynoglossus,semifasciatus,14.75,40.25,1104:140:3,0.27
Cynoglossus,semifasciatus,14.75,40.75,1104:140:4,0.27
Cynoglossus,semifasciatus,14.25,41.25,1104:141:1,0.28
Cynoglossus,semifasciatus,14.25,41.75,1104:141:2,0.27
Cynoglossus,semifasciatus,14.75,41.25,1104:141:3,0.28
Cynoglossus,semifasciatus,14.25,42.25,1104:142:1,0.27
Cynoglossus,semifasciatus,14.25,42.75,1104:142:2,0.27
Cynoglossus,semifasciatus,14.75,42.75,1104:142:4,0.27
Cynoglossus,semifasciatus,14.25,43.25,1104:143:1,0.28
Cynoglossus,semifasciatus,13.75,48.25,1104:238:3,0.20
Cynoglossus,semifasciatus,15.25,40.25,1104:350:1,0.27
Cynoglossus,semifasciatus,15.25,40.75,1104:350:2,0.27
Cynoglossus,semifasciatus,15.75,40.25,1104:350:3,0.27
Cynoglossus,semifasciatus,15.75,40.75,1104:350:4,0.27
Cynoglossus,semifasciatus,15.25,41.25,1104:351:1,0.27
Cynoglossus,semifasciatus,15.75,41.25,1104:351:3,0.27
Cynoglossus,semifasciatus,15.75,41.75,1104:351:4,0.27
Cynoglossus,semifasciatus,15.25,42.25,1104:352:1,0.27
Cynoglossus,semifasciatus,15.25,42.75,1104:352:2,0.26
Cynoglossus,semifasciatus,15.75,42.25,1104:352:3,0.27
Cynoglossus,semifasciatus,15.75,42.75,1104:352:4,0.27
Cynoglossus,semifasciatus,10.25,50.75,1105:100:2,0.29
Cynoglossus,semifasciatus,15.25,50.25,1105:350:1,0.28
Cynoglossus,semifasciatus,11.75,72.75,1107:112:4,0.23
Cynoglossus,semifasciatus,15.25,73.75,1107:353:2,0.31
Cynoglossus,semifasciatus,17.75,71.25,1107:371:3,0.24
Cynoglossus,semifasciatus,18.25,70.75,1107:380:2,0.37
Cynoglossus,semifasciatus,18.75,71.25,1107:381:3,0.38
Cynoglossus,semifasciatus,19.75,71.75,1107:391:4,0.38
Cynoglossus,semifasciatus,19.75,72.75,1107:392:4,0.36
Cynoglossus,semifasciatus,13.75,80.75,1108:130:4,0.31
Cynoglossus,semifasciatus,13.25,92.75,1109:132:2,0.30
Cynoglossus,semifasciatus,13.75,96.25,1109:236:3,0.38
Cynoglossus,semifasciatus,13.75,96.75,1109:236:4,0.26
Cynoglossus,semifasciatus,12.75,98.75,1109:228:4,0.31
Cynoglossus,semifasciatus,15.25,95.25,1109:455:1,0.36
Cynoglossus,semifasciatus,16.25,96.25,1109:466:1,0.24
Cynoglossus,semifasciatus,23.75,58.25,1205:238:3,0.28
Cynoglossus,semifasciatus,23.75,58.75,1205:238:4,0.28
Cynoglossus,semifasciatus,24.75,56.25,1205:246:3,0.39
Cynoglossus,semifasciatus,24.75,56.75,1205:246:4,0.39
Cynoglossus,semifasciatus,26.25,54.75,1205:364:2,0.20
Cynoglossus,semifasciatus,26.75,54.25,1205:364:3,0.20
Cynoglossus,semifasciatus,26.75,54.75,1205:364:4,0.20
Cynoglossus,semifasciatus,25.75,55.25,1205:455:3,0.20
Cynoglossus,semifasciatus,25.75,55.75,1205:455:4,0.20
Cynoglossus,semifasciatus,25.25,56.25,1205:456:1,0.39
Cynoglossus,semifasciatus,25.75,56.25,1205:456:3,0.39
Cynoglossus,semifasciatus,25.75,57.25,1205:457:3,0.39
Cynoglossus,semifasciatus,25.75,57.75,1205:457:4,0.39
Cynoglossus,semifasciatus,25.25,59.25,1205:459:1,0.38
Cynoglossus,semifasciatus,25.25,59.75,1205:459:2,0.38
Cynoglossus,semifasciatus,26.25,55.25,1205:465:1,0.20
Cynoglossus,semifasciatus,26.25,55.75,1205:465:2,0.20
Cynoglossus,semifasciatus,26.75,55.25,1205:465:3,0.20
Cynoglossus,semifasciatus,26.75,55.75,1205:465:4,0.20
Cynoglossus,semifasciatus,26.25,56.25,1205:466:1,0.20
Cynoglossus,semifasciatus,26.25,56.75,1205:466:2,0.39
Cynoglossus,semifasciatus,26.75,56.25,1205:466:3,0.20
Cynoglossus,semifasciatus,26.75,56.75,1205:466:4,0.20
Cynoglossus,semifasciatus,26.25,57.25,1205:467:1,0.39
Cynoglossus,semifasciatus,26.75,57.25,1205:467:3,0.39
Cynoglossus,semifasciatus,27.25,55.75,1205:475:2,0.20
Cynoglossus,semifasciatus,27.25,56.25,1205:476:1,0.20
Cynoglossus,semifasciatus,27.25,56.75,1205:476:2,0.20
Cynoglossus,semifasciatus,25.25,60.25,1206:350:1,0.26
Cynoglossus,semifasciatus,25.25,60.75,1206:350:2,0.26
Cynoglossus,semifasciatus,20.75,70.75,1207:100:4,0.32
Cynoglossus,semifasciatus,20.75,71.25,1207:101:3,0.33
Cynoglossus,semifasciatus,20.75,71.75,1207:101:4,0.36
Cynoglossus,semifasciatus,20.25,72.75,1207:102:2,0.38
Cynoglossus,semifasciatus,20.75,72.75,1207:102:4,0.38
Cynoglossus,semifasciatus,21.25,70.25,1207:110:1,0.21
Cynoglossus,semifasciatus,21.25,71.75,1207:111:2,0.38
Cynoglossus,semifasciatus,21.25,72.25,1207:112:1,0.29
Cynoglossus,semifasciatus,21.25,72.75,1207:112:2,0.29
Cynoglossus,semifasciatus,21.75,72.25,1207:112:3,0.29
Cynoglossus,semifasciatus,21.75,72.75,1207:112:4,0.29
Cynoglossus,semifasciatus,20.75,87.25,1208:207:3,0.20
Cynoglossus,semifasciatus,21.25,87.75,1208:217:2,0.32
Cynoglossus,semifasciatus,21.75,87.25,1208:217:3,0.32
