Mapping parameters for Cynoscion acoupa (Acoupa weakfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  31 |  41 ,
Bounding Box (NSWE): ,13,-40,-80,-34

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,11,20
Temperature (°C),1,17.03,23.56,28.32,32.52
Salinity (psu),1,7.84,24.19,37.01,37.51
Primary Production (mgC·m-3·day-1) ,1,2.08,4.59,37.02,78.09
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,152.63,200.56,224.12,264.94
Distance to Land (km),0,0,4,96,500
 

Map data (HSPEC) for predicted occurrences (n = 468): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cynoscion,acoupa,-2.75,-39.25,5003:229:3,0.03
Cynoscion,acoupa,-4.75,-36.25,5003:246:3,0.05
Cynoscion,acoupa,-6.25,-34.75,5003:364:2,0.14
Cynoscion,acoupa,-0.75,-44.75,5004:104:4,0.13
Cynoscion,acoupa,-1.75,-42.75,5004:112:4,0.06
Cynoscion,acoupa,-1.25,-43.75,5004:113:2,0.03
Cynoscion,acoupa,-2.25,-40.25,5004:120:1,0.06
Cynoscion,acoupa,-2.25,-40.75,5004:120:2,0.12
Cynoscion,acoupa,-0.25,-45.25,5004:205:1,0.01
Cynoscion,acoupa,-0.25,-49.75,5004:209:2,0.12
Cynoscion,acoupa,-0.25,-50.25,5005:100:1,0.08
Cynoscion,acoupa,-0.25,-50.75,5005:100:2,0.04
