Mapping parameters for Cynoscion leiarchus (Smooth weakfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 31 |  41,
Bounding Box (NSWE): ,14,-27,-83,-34

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,14,25,50
Temperature (°C),1,22.51,23.3,28.29,32.49
Salinity (psu),1,7.84,29.39,36.83,37.33
Primary Production (mgC·m-3·day-1) ,1,2.02,3.42,39.34,78.09
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,152.63,200.09,224.12,262.06
Distance to Land (km),0,1,7,180,500
 

Map data (HSPEC) for predicted occurrences (n = 437): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cynoscion,leiarchus,-2.75,-39.25,5003:229:3,0.10
Cynoscion,leiarchus,-3.75,-37.75,5003:237:4,0.02
Cynoscion,leiarchus,-4.75,-36.25,5003:246:3,0.13
Cynoscion,leiarchus,-9.25,-34.75,5003:394:2,0.05
Cynoscion,leiarchus,-1.75,-42.75,5004:112:4,0.17
Cynoscion,leiarchus,-1.25,-43.75,5004:113:2,0.09
Cynoscion,leiarchus,-2.25,-40.25,5004:120:1,0.14
Cynoscion,leiarchus,-0.25,-45.25,5004:205:1,0.05
Cynoscion,leiarchus,-0.25,-49.75,5004:209:2,0.10
Cynoscion,leiarchus,-1.75,-49.75,5004:219:4,0.06
Cynoscion,leiarchus,-0.25,-50.25,5005:100:1,0.06
Cynoscion,leiarchus,-0.25,-50.75,5005:100:2,0.04
Cynoscion,leiarchus,-0.25,-51.25,5005:101:1,0.06
Cynoscion,leiarchus,-0.75,-51.25,5005:101:3,0.10
Cynoscion,leiarchus,-1.75,-50.25,5005:110:3,0.19
Cynoscion,leiarchus,-14.25,-38.75,5103:248:2,0.18
Cynoscion,leiarchus,-14.75,-38.75,5103:248:4,0.09
Cynoscion,leiarchus,-16.25,-38.25,5103:468:1,0.01
Cynoscion,leiarchus,-18.25,-38.25,5103:488:1,0.14
Cynoscion,leiarchus,-18.75,-38.25,5103:488:3,0.03
Cynoscion,leiarchus,-19.25,-38.75,5103:498:2,0.05
Cynoscion,leiarchus,-19.75,-39.25,5103:499:3,0.13
Cynoscion,leiarchus,-20.75,-39.75,5203:209:4,0.01
Cynoscion,leiarchus,-24.75,-46.25,5204:246:3,0.15
Cynoscion,leiarchus,-25.25,-46.75,5204:456:2,0.17
Cynoscion,leiarchus,-26.25,-47.75,5204:467:2,0.03
Cynoscion,leiarchus,0.25,-49.75,7004:209:2,0.02
Cynoscion,leiarchus,1.25,-46.25,7004:216:1,0.05
Cynoscion,leiarchus,1.25,-47.75,7004:217:2,0.06
Cynoscion,leiarchus,1.25,-48.25,7004:218:1,0.19
Cynoscion,leiarchus,1.75,-48.25,7004:218:3,0.18
Cynoscion,leiarchus,2.25,-48.75,7004:228:2,0.18
Cynoscion,leiarchus,0.75,-50.75,7005:100:4,0.03
Cynoscion,leiarchus,0.25,-51.25,7005:101:1,0.02
Cynoscion,leiarchus,7.25,-55.75,7005:475:2,0.16
Cynoscion,leiarchus,9.75,-82.25,7008:392:3,0.17
Cynoscion,leiarchus,13.25,-59.75,7105:239:2,0.17
Cynoscion,leiarchus,11.75,-63.75,7106:113:4,0.08
Cynoscion,leiarchus,-6.25,-34.75,5003:364:2,0.29
Cynoscion,leiarchus,-0.75,-44.75,5004:104:4,0.28
Cynoscion,leiarchus,-2.25,-40.75,5004:120:2,0.25
Cynoscion,leiarchus,-1.75,-49.25,5004:219:3,0.33
Cynoscion,leiarchus,-13.25,-38.25,5103:238:1,0.24
Cynoscion,leiarchus,-13.75,-38.75,5103:238:4,0.30
Cynoscion,leiarchus,-15.25,-38.75,5103:458:2,0.33
Cynoscion,leiarchus,-15.75,-38.75,5103:458:4,0.39
Cynoscion,leiarchus,-16.75,-38.75,5103:468:4,0.38
Cynoscion,leiarchus,-17.75,-38.25,5103:478:3,0.21
Cynoscion,leiarchus,-18.75,-38.75,5103:488:4,0.21
Cynoscion,leiarchus,-22.75,-40.75,5204:120:4,0.29
Cynoscion,leiarchus,-23.25,-41.25,5204:131:1,0.33
Cynoscion,leiarchus,-24.75,-45.25,5204:245:3,0.24
Cynoscion,leiarchus,-25.75,-47.25,5204:457:3,0.22
Cynoscion,leiarchus,-25.75,-48.25,5204:458:3,0.36
Cynoscion,leiarchus,0.75,-48.25,7004:208:3,0.27
Cynoscion,leiarchus,1.75,-46.75,7004:216:4,0.21
Cynoscion,leiarchus,1.75,-47.75,7004:217:4,0.28
Cynoscion,leiarchus,1.75,-49.75,7004:219:4,0.24
Cynoscion,leiarchus,1.75,-50.25,7005:110:3,0.25
Cynoscion,leiarchus,7.25,-58.75,7005:478:2,0.25
Cynoscion,leiarchus,8.25,-57.75,7005:487:2,0.36
Cynoscion,leiarchus,10.75,-60.25,7106:100:3,0.36
Cynoscion,leiarchus,13.75,-61.25,7106:131:3,0.20
Cynoscion,leiarchus,10.75,-71.25,7107:101:3,0.24
Cynoscion,leiarchus,11.75,-70.75,7107:110:4,0.28
Cynoscion,leiarchus,-3.25,-38.75,5003:238:2,0.51
Cynoscion,leiarchus,-4.25,-37.25,5003:247:1,0.41
Cynoscion,leiarchus,-5.25,-36.75,5003:456:2,0.50
Cynoscion,leiarchus,-2.25,-41.25,5004:121:1,0.40
Cynoscion,leiarchus,-0.25,-45.75,5004:205:2,0.46
Cynoscion,leiarchus,-1.25,-48.25,5004:218:1,0.58
Cynoscion,leiarchus,-1.25,-48.75,5004:218:2,0.47
Cynoscion,leiarchus,-1.75,-48.75,5004:218:4,0.45
Cynoscion,leiarchus,-12.25,-37.25,5103:227:1,0.53
Cynoscion,leiarchus,-12.25,-37.75,5103:227:2,0.56
Cynoscion,leiarchus,-12.75,-37.75,5103:227:4,0.42
Cynoscion,leiarchus,-12.75,-38.25,5103:228:3,0.40
Cynoscion,leiarchus,-12.75,-38.75,5103:228:4,0.45
Cynoscion,leiarchus,-13.25,-38.75,5103:238:2,0.50
Cynoscion,leiarchus,-16.25,-38.75,5103:468:2,0.49
Cynoscion,leiarchus,-17.25,-38.75,5103:478:2,0.44
Cynoscion,leiarchus,-17.75,-38.75,5103:478:4,0.51
Cynoscion,leiarchus,-18.25,-38.75,5103:488:2,0.42
Cynoscion,leiarchus,-18.75,-39.25,5103:489:3,0.46
Cynoscion,leiarchus,-19.25,-39.25,5103:499:1,0.53
Cynoscion,leiarchus,-20.25,-39.75,5203:209:2,0.47
Cynoscion,leiarchus,-21.25,-40.25,5204:110:1,0.46
Cynoscion,leiarchus,-21.75,-40.25,5204:110:3,0.58
Cynoscion,leiarchus,-24.25,-45.25,5204:245:1,0.44
Cynoscion,leiarchus,-25.75,-45.25,5204:455:3,0.59
Cynoscion,leiarchus,-25.25,-47.25,5204:457:1,0.55
Cynoscion,leiarchus,-25.25,-47.75,5204:457:2,0.55
Cynoscion,leiarchus,-25.75,-47.75,5204:457:4,0.42
Cynoscion,leiarchus,-25.25,-48.25,5204:458:1,0.40
Cynoscion,leiarchus,0.75,-46.25,7004:206:3,0.48
Cynoscion,leiarchus,2.25,-48.25,7004:228:1,0.48
Cynoscion,leiarchus,2.75,-48.75,7004:228:4,0.49
Cynoscion,leiarchus,2.25,-49.75,7004:229:2,0.59
Cynoscion,leiarchus,2.25,-50.25,7005:120:1,0.44
Cynoscion,leiarchus,2.25,-50.75,7005:120:2,0.43
Cynoscion,leiarchus,2.75,-50.25,7005:120:3,0.54
Cynoscion,leiarchus,2.75,-50.75,7005:120:4,0.47
Cynoscion,leiarchus,3.25,-50.75,7005:130:2,0.51
Cynoscion,leiarchus,3.25,-51.25,7005:131:1,0.53
Cynoscion,leiarchus,3.75,-51.25,7005:131:3,0.54
Cynoscion,leiarchus,4.25,-51.25,7005:141:1,0.59
Cynoscion,leiarchus,5.75,-51.25,7005:351:3,0.40
Cynoscion,leiarchus,7.25,-55.25,7005:475:1,0.48
Cynoscion,leiarchus,10.25,-60.25,7106:100:1,0.48
Cynoscion,leiarchus,11.75,-63.25,7106:113:3,0.56
Cynoscion,leiarchus,12.25,-67.75,7106:227:2,0.56
Cynoscion,leiarchus,12.25,-68.25,7106:228:1,0.41
Cynoscion,leiarchus,12.25,-68.75,7106:228:2,0.49
Cynoscion,leiarchus,12.75,-71.75,7107:121:4,0.48
Cynoscion,leiarchus,-5.25,-35.25,5003:455:1,0.77
Cynoscion,leiarchus,-1.75,-43.25,5004:113:3,0.62
Cynoscion,leiarchus,-0.75,-48.25,5004:208:3,0.61
Cynoscion,leiarchus,-11.75,-37.25,5103:217:3,0.77
Cynoscion,leiarchus,-14.75,-39.25,5103:249:3,0.78
Cynoscion,leiarchus,-16.75,-39.25,5103:469:3,0.73
Cynoscion,leiarchus,-17.75,-39.25,5103:479:3,0.77
Cynoscion,leiarchus,-18.25,-39.25,5103:489:1,0.64
Cynoscion,leiarchus,-22.25,-40.25,5204:120:1,0.62
Cynoscion,leiarchus,-22.25,-41.75,5204:121:2,0.76
Cynoscion,leiarchus,-24.75,-45.75,5204:245:4,0.75
Cynoscion,leiarchus,-24.75,-46.75,5204:246:4,0.75
Cynoscion,leiarchus,-24.75,-47.25,5204:247:3,0.77
Cynoscion,leiarchus,-24.75,-47.75,5204:247:4,0.68
Cynoscion,leiarchus,0.75,-47.75,7004:207:4,0.76
Cynoscion,leiarchus,1.25,-47.25,7004:217:1,0.63
Cynoscion,leiarchus,2.25,-49.25,7004:229:1,0.63
Cynoscion,leiarchus,2.75,-49.75,7004:229:4,0.77
Cynoscion,leiarchus,3.25,-50.25,7005:130:1,0.70
Cynoscion,leiarchus,3.75,-50.75,7005:130:4,0.62
Cynoscion,leiarchus,4.25,-50.75,7005:140:2,0.74
Cynoscion,leiarchus,4.25,-51.75,7005:141:2,0.65
Cynoscion,leiarchus,4.75,-51.25,7005:141:3,0.71
Cynoscion,leiarchus,4.75,-51.75,7005:141:4,0.73
Cynoscion,leiarchus,4.75,-52.25,7005:142:3,0.76
Cynoscion,leiarchus,8.75,-58.75,7005:488:4,0.76
Cynoscion,leiarchus,9.25,-71.25,7007:391:1,0.67
Cynoscion,leiarchus,9.25,-71.75,7007:391:2,0.67
Cynoscion,leiarchus,9.75,-71.25,7007:391:3,0.66
Cynoscion,leiarchus,9.75,-71.75,7007:391:4,0.66
Cynoscion,leiarchus,9.75,-72.25,7007:392:3,0.74
Cynoscion,leiarchus,9.75,-76.25,7007:496:3,0.73
Cynoscion,leiarchus,9.25,-81.75,7008:391:2,0.60
Cynoscion,leiarchus,13.25,-61.25,7106:131:1,0.78
Cynoscion,leiarchus,10.25,-66.25,7106:206:1,0.75
