Mapping parameters for Cynoscion nothus (Silver seatrout)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,38,10,-98,-60

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,3,11,18
Temperature (°C),1,15.79,21.97,27.21,31.41
Salinity (psu),1,18.97,28.61,36.19,36.69
Primary Production (mgC·m-3·day-1) ,1,-0.18,0.82,30.39,51.62
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,138.69,200.13,228.49,257
Distance to Land (km),0,1,8,123,208
 

Map data (HSPEC) for predicted occurrences (n = 749): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cynoscion,nothus,30.25,-90.25,7309:100:1,0.01
Cynoscion,nothus,30.25,-88.75,7308:208:2,0.14
Cynoscion,nothus,37.75,-76.25,7307:476:3,0.03
Cynoscion,nothus,37.25,-76.75,7307:476:2,0.08
Cynoscion,nothus,37.25,-76.25,7307:476:1,0.08
Cynoscion,nothus,37.75,-75.75,7307:475:4,0.03
Cynoscion,nothus,37.25,-75.75,7307:475:2,0.08
Cynoscion,nothus,37.25,-75.25,7307:475:1,0.11
Cynoscion,nothus,36.75,-75.75,7307:465:4,0.15
Cynoscion,nothus,27.25,-96.75,7209:476:2,0.14
Cynoscion,nothus,29.75,-89.75,7208:499:4,0.10
Cynoscion,nothus,29.75,-89.25,7208:499:3,0.10
Cynoscion,nothus,26.75,-83.25,7208:363:3,0.11
Cynoscion,nothus,22.75,-88.25,7208:228:3,0.13
Cynoscion,nothus,25.25,-77.75,7207:457:2,0.15
Cynoscion,nothus,25.25,-77.25,7207:457:1,0.17
Cynoscion,nothus,24.75,-77.75,7207:247:4,0.10
Cynoscion,nothus,24.75,-77.25,7207:247:3,0.16
Cynoscion,nothus,24.25,-77.75,7207:247:2,0.11
Cynoscion,nothus,24.25,-77.25,7207:247:1,0.14
Cynoscion,nothus,24.75,-76.75,7207:246:4,0.16
