Mapping parameters for Cynoscion virescens (Green weakfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  31 |  41 ,
Bounding Box (NSWE): ,15,-24,-84,-34

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,6,12,39,70
Temperature (°C),1,23.45,26.9,28.28,32.48
Salinity (psu),1,7.84,23.81,36.84,37.34
Primary Production (mgC·m-3·day-1) ,1,2.08,3.47,51.45,87.87
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,150.54,197.14,216.13,262.06
Distance to Land (km),0,1,7,221,500
 

Map data (HSPEC) for predicted occurrences (n = 447): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cynoscion,virescens,14.25,-82.75,7108:142:2,0.08
Cynoscion,virescens,11.25,-69.25,7106:219:1,0.17
Cynoscion,virescens,13.75,-61.25,7106:131:3,0.16
Cynoscion,virescens,11.75,-62.25,7106:112:3,0.10
Cynoscion,virescens,11.25,-62.25,7106:112:1,0.16
Cynoscion,virescens,13.25,-59.75,7105:239:2,0.13
Cynoscion,virescens,9.75,-82.25,7008:392:3,0.13
Cynoscion,virescens,9.25,-78.75,7007:498:2,0.17
Cynoscion,virescens,9.25,-76.75,7007:496:2,0.09
Cynoscion,virescens,0.25,-51.25,7005:101:1,0.08
Cynoscion,virescens,0.75,-50.75,7005:100:4,0.07
Cynoscion,virescens,1.75,-49.25,7004:219:3,0.16
Cynoscion,virescens,1.25,-49.75,7004:219:2,0.09
Cynoscion,virescens,1.25,-49.25,7004:219:1,0.03
Cynoscion,virescens,0.75,-49.75,7004:209:4,0.13
Cynoscion,virescens,0.75,-49.25,7004:209:3,0.05
Cynoscion,virescens,0.25,-49.75,7004:209:2,0.13
Cynoscion,virescens,0.25,-49.25,7004:209:1,0.15
Cynoscion,virescens,0.75,-48.75,7004:208:4,0.05
Cynoscion,virescens,-23.75,-45.75,5204:235:4,0.02
Cynoscion,virescens,-23.25,-45.25,5204:235:1,0.05
Cynoscion,virescens,-23.25,-44.75,5204:134:2,0.04
Cynoscion,virescens,-23.25,-44.25,5204:134:1,0.03
Cynoscion,virescens,-23.75,-41.25,5204:131:3,0.09
Cynoscion,virescens,-23.25,-41.75,5204:131:2,0.04
Cynoscion,virescens,-22.75,-43.75,5204:123:4,0.06
Cynoscion,virescens,-22.75,-43.25,5204:123:3,0.01
Cynoscion,virescens,-22.75,-41.25,5204:121:3,0.08
Cynoscion,virescens,-22.25,-40.75,5204:120:2,0.16
Cynoscion,virescens,-21.25,-41.25,5204:111:1,0.16
Cynoscion,virescens,-21.75,-40.75,5204:110:4,0.09
Cynoscion,virescens,-21.25,-40.75,5204:110:2,0.10
Cynoscion,virescens,-20.75,-39.75,5203:209:4,0.02
Cynoscion,virescens,-19.75,-39.25,5103:499:3,0.09
Cynoscion,virescens,-19.25,-38.75,5103:498:2,0.03
Cynoscion,virescens,-18.75,-38.75,5103:488:4,0.15
Cynoscion,virescens,-18.75,-38.25,5103:488:3,0.01
Cynoscion,virescens,-18.25,-38.25,5103:488:1,0.10
Cynoscion,virescens,-17.75,-38.25,5103:478:3,0.16
Cynoscion,virescens,-16.25,-39.25,5103:469:1,0.19
Cynoscion,virescens,-14.75,-38.75,5103:248:4,0.09
Cynoscion,virescens,-14.25,-38.75,5103:248:2,0.17
Cynoscion,virescens,-0.25,-51.25,5005:101:1,0.18
Cynoscion,virescens,-0.25,-50.75,5005:100:2,0.12
Cynoscion,virescens,-0.25,-50.25,5005:100:1,0.17
Cynoscion,virescens,-1.25,-46.25,5004:216:1,0.17
Cynoscion,virescens,-0.25,-49.25,5004:209:1,0.15
Cynoscion,virescens,-0.75,-48.75,5004:208:4,0.15
Cynoscion,virescens,-0.25,-45.25,5004:205:1,0.01
Cynoscion,virescens,-2.25,-40.25,5004:120:1,0.10
Cynoscion,virescens,-1.25,-43.75,5004:113:2,0.05
Cynoscion,virescens,-1.75,-42.75,5004:112:4,0.13
Cynoscion,virescens,-9.25,-34.75,5003:394:2,0.01
Cynoscion,virescens,-4.75,-36.25,5003:246:3,0.09
Cynoscion,virescens,-2.75,-39.25,5003:229:3,0.06
Cynoscion,virescens,11.25,-75.25,7107:215:1,0.21
Cynoscion,virescens,12.25,-68.25,7106:228:1,0.37
Cynoscion,virescens,11.25,-69.75,7106:219:2,0.33
Cynoscion,virescens,1.25,-47.75,7004:217:2,0.33
Cynoscion,virescens,0.25,-48.75,7004:208:2,0.23
Cynoscion,virescens,-23.25,-41.25,5204:131:1,0.23
Cynoscion,virescens,-22.75,-40.75,5204:120:4,0.26
Cynoscion,virescens,-22.25,-40.25,5204:120:1,0.25
Cynoscion,virescens,-21.75,-40.25,5204:110:3,0.22
Cynoscion,virescens,-21.25,-40.25,5204:110:1,0.21
Cynoscion,virescens,-20.75,-40.75,5204:100:4,0.24
Cynoscion,virescens,-20.75,-40.25,5204:100:3,0.30
Cynoscion,virescens,-20.25,-40.25,5204:100:1,0.31
Cynoscion,virescens,-20.25,-39.75,5203:209:2,0.30
Cynoscion,virescens,-19.25,-39.25,5103:499:1,0.37
Cynoscion,virescens,-18.75,-39.25,5103:489:3,0.34
Cynoscion,virescens,-18.25,-38.75,5103:488:2,0.32
Cynoscion,virescens,-17.75,-38.75,5103:478:4,0.38
Cynoscion,virescens,-17.25,-38.75,5103:478:2,0.36
Cynoscion,virescens,-16.75,-38.75,5103:468:4,0.32
Cynoscion,virescens,-15.75,-38.75,5103:458:4,0.35
Cynoscion,virescens,-15.25,-38.75,5103:458:2,0.33
Cynoscion,virescens,-13.75,-38.75,5103:238:4,0.30
Cynoscion,virescens,-13.25,-38.25,5103:238:1,0.24
Cynoscion,virescens,-0.75,-51.25,5005:101:3,0.27
Cynoscion,virescens,-0.25,-49.75,5004:209:2,0.26
Cynoscion,virescens,-2.25,-41.25,5004:121:1,0.36
Cynoscion,virescens,-2.25,-40.75,5004:120:2,0.21
Cynoscion,virescens,-0.75,-44.75,5004:104:4,0.24
Cynoscion,virescens,-6.25,-35.25,5003:465:1,0.33
Cynoscion,virescens,-6.25,-34.75,5003:364:2,0.25
Cynoscion,virescens,-4.75,-37.75,5003:247:4,0.33
Cynoscion,virescens,-4.25,-37.25,5003:247:1,0.37
Cynoscion,virescens,12.25,-68.75,7106:228:2,0.45
Cynoscion,virescens,12.25,-67.75,7106:227:2,0.53
Cynoscion,virescens,11.25,-65.75,7106:215:2,0.45
Cynoscion,virescens,11.25,-61.25,7106:111:1,0.45
Cynoscion,virescens,9.25,-81.75,7008:391:2,0.56
Cynoscion,virescens,2.25,-50.75,7005:120:2,0.58
Cynoscion,virescens,2.25,-50.25,7005:120:1,0.59
Cynoscion,virescens,1.75,-50.25,7005:110:3,0.41
Cynoscion,virescens,3.25,-48.25,7004:238:1,0.42
Cynoscion,virescens,2.25,-48.75,7004:228:2,0.46
Cynoscion,virescens,1.75,-49.75,7004:219:4,0.48
Cynoscion,virescens,1.75,-48.25,7004:218:3,0.46
Cynoscion,virescens,1.25,-48.25,7004:218:1,0.48
Cynoscion,virescens,1.75,-47.75,7004:217:4,0.57
Cynoscion,virescens,1.75,-46.75,7004:216:4,0.48
Cynoscion,virescens,0.75,-48.25,7004:208:3,0.55
Cynoscion,virescens,0.75,-46.25,7004:206:3,0.44
Cynoscion,virescens,-19.75,-40.25,5104:390:3,0.45
Cynoscion,virescens,-19.75,-39.75,5103:499:4,0.54
Cynoscion,virescens,-19.25,-39.75,5103:499:2,0.55
Cynoscion,virescens,-18.75,-39.75,5103:489:4,0.58
Cynoscion,virescens,-18.25,-39.25,5103:489:1,0.46
Cynoscion,virescens,-17.75,-39.25,5103:479:3,0.56
Cynoscion,virescens,-16.75,-39.25,5103:469:3,0.57
Cynoscion,virescens,-16.25,-38.75,5103:468:2,0.41
Cynoscion,virescens,-13.25,-38.75,5103:238:2,0.50
Cynoscion,virescens,-12.75,-38.75,5103:228:4,0.47
Cynoscion,virescens,-12.75,-38.25,5103:228:3,0.42
Cynoscion,virescens,-12.75,-37.75,5103:227:4,0.44
Cynoscion,virescens,-12.25,-37.75,5103:227:2,0.58
Cynoscion,virescens,-12.25,-37.25,5103:227:1,0.55
Cynoscion,virescens,-1.75,-50.25,5005:110:3,0.43
Cynoscion,virescens,-1.75,-49.75,5004:219:4,0.43
Cynoscion,virescens,-0.25,-45.75,5004:205:2,0.42
Cynoscion,virescens,-1.75,-43.25,5004:113:3,0.58
Cynoscion,virescens,-3.25,-38.75,5003:238:2,0.47
Cynoscion,virescens,14.75,-82.75,7108:142:4,0.71
Cynoscion,virescens,13.75,-83.25,7108:133:3,0.67
Cynoscion,virescens,13.25,-83.25,7108:133:1,0.77
Cynoscion,virescens,12.25,-83.25,7108:123:1,0.61
Cynoscion,virescens,10.25,-71.75,7107:101:2,0.68
Cynoscion,virescens,12.75,-69.75,7106:229:4,0.74
Cynoscion,virescens,12.25,-67.25,7106:227:1,0.68
Cynoscion,virescens,12.25,-66.75,7106:226:2,0.66
Cynoscion,virescens,13.25,-61.25,7106:131:1,0.74
Cynoscion,virescens,11.75,-63.75,7106:113:4,0.71
Cynoscion,virescens,10.75,-64.25,7106:104:3,0.76
Cynoscion,virescens,10.75,-63.75,7106:103:4,0.77
Cynoscion,virescens,9.75,-76.25,7007:496:3,0.70
Cynoscion,virescens,9.75,-72.25,7007:392:3,0.74
Cynoscion,virescens,9.75,-71.75,7007:391:4,0.65
Cynoscion,virescens,9.75,-71.25,7007:391:3,0.65
Cynoscion,virescens,9.25,-71.75,7007:391:2,0.67
Cynoscion,virescens,9.25,-71.25,7007:391:1,0.67
Cynoscion,virescens,7.25,-55.75,7005:475:2,0.77
Cynoscion,virescens,6.75,-56.25,7005:466:3,0.65
Cynoscion,virescens,5.75,-56.75,7005:456:4,0.67
Cynoscion,virescens,7.25,-53.25,7005:373:1,0.61
Cynoscion,virescens,3.75,-51.25,7005:131:3,0.72
Cynoscion,virescens,3.25,-51.25,7005:131:1,0.71
Cynoscion,virescens,3.25,-50.75,7005:130:2,0.68
Cynoscion,virescens,2.75,-50.75,7005:120:4,0.64
Cynoscion,virescens,2.75,-50.25,7005:120:3,0.73
Cynoscion,virescens,2.25,-48.25,7004:228:1,0.78
Cynoscion,virescens,-18.25,-39.75,5103:489:2,0.60
Cynoscion,virescens,-17.25,-39.25,5103:479:1,0.60
Cynoscion,virescens,-14.75,-39.25,5103:249:3,0.71
Cynoscion,virescens,-11.75,-37.25,5103:217:3,0.79
Cynoscion,virescens,-1.75,-49.25,5004:219:3,0.68
Cynoscion,virescens,-0.75,-47.75,5004:207:4,0.66
Cynoscion,virescens,-5.25,-35.25,5003:455:1,0.73
Cynoscion,virescens,14.75,-83.25,7108:143:3,1.00
Cynoscion,virescens,14.25,-83.25,7108:143:1,1.00
Cynoscion,virescens,13.75,-83.75,7108:133:4,1.00
Cynoscion,virescens,13.25,-83.75,7108:133:2,1.00
Cynoscion,virescens,12.75,-83.75,7108:123:4,1.00
Cynoscion,virescens,12.75,-83.25,7108:123:3,1.00
Cynoscion,virescens,12.25,-83.75,7108:123:2,1.00
Cynoscion,virescens,11.75,-83.75,7108:113:4,1.00
Cynoscion,virescens,11.25,-83.75,7108:113:2,1.00
Cynoscion,virescens,10.75,-83.75,7108:103:4,1.00
Cynoscion,virescens,10.75,-83.25,7108:103:3,1.00
Cynoscion,virescens,10.25,-83.25,7108:103:1,1.00
Cynoscion,virescens,10.75,-75.25,7107:205:3,1.00
Cynoscion,virescens,10.25,-75.75,7107:205:2,0.90
Cynoscion,virescens,12.25,-72.75,7107:122:2,0.93
Cynoscion,virescens,12.25,-72.25,7107:122:1,0.83
Cynoscion,virescens,12.75,-71.75,7107:121:4,0.95
Cynoscion,virescens,12.75,-71.25,7107:121:3,1.00
Cynoscion,virescens,12.25,-71.75,7107:121:2,0.98
Cynoscion,virescens,12.25,-71.25,7107:121:1,1.00
Cynoscion,virescens,12.75,-70.75,7107:120:4,1.00
Cynoscion,virescens,12.75,-70.25,7107:120:3,1.00
Cynoscion,virescens,12.25,-70.75,7107:120:2,0.95
Cynoscion,virescens,12.25,-70.25,7107:120:1,0.95
Cynoscion,virescens,11.25,-74.25,7107:114:1,1.00
Cynoscion,virescens,11.75,-73.25,7107:113:3,1.00
Cynoscion,virescens,11.25,-73.75,7107:113:2,1.00
Cynoscion,virescens,11.25,-73.25,7107:113:1,1.00
Cynoscion,virescens,11.75,-72.75,7107:112:4,0.97
Cynoscion,virescens,11.75,-72.25,7107:112:3,1.00
Cynoscion,virescens,11.75,-71.75,7107:111:4,1.00
Cynoscion,virescens,11.75,-71.25,7107:111:3,1.00
Cynoscion,virescens,11.25,-71.75,7107:111:2,1.00
Cynoscion,virescens,11.25,-71.25,7107:111:1,1.00
Cynoscion,virescens,11.75,-70.75,7107:110:4,0.85
Cynoscion,virescens,11.75,-70.25,7107:110:3,1.00
Cynoscion,virescens,11.25,-70.75,7107:110:2,1.00
Cynoscion,virescens,11.25,-70.25,7107:110:1,1.00
Cynoscion,virescens,10.75,-74.25,7107:104:3,1.00
Cynoscion,virescens,10.75,-71.75,7107:101:4,0.87
Cynoscion,virescens,10.75,-71.25,7107:101:3,0.80
Cynoscion,virescens,10.25,-71.25,7107:101:1,0.81
Cynoscion,virescens,12.25,-69.75,7106:229:2,1.00
Cynoscion,virescens,12.25,-69.25,7106:229:1,1.00
Cynoscion,virescens,11.75,-69.75,7106:219:4,1.00
Cynoscion,virescens,11.75,-69.25,7106:219:3,1.00
Cynoscion,virescens,11.75,-68.75,7106:218:4,1.00
Cynoscion,virescens,11.25,-68.75,7106:218:2,1.00
Cynoscion,virescens,11.25,-68.25,7106:218:1,1.00
Cynoscion,virescens,11.75,-66.75,7106:216:4,1.00
Cynoscion,virescens,11.75,-66.25,7106:216:3,1.00
Cynoscion,virescens,11.25,-65.25,7106:215:1,1.00
Cynoscion,virescens,10.75,-68.25,7106:208:3,1.00
