Mapping parameters for Hypanus sabinus (Atlantic stingray)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,39,17,-100,-75

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,2,6,25
Temperature (°C),1,15.31,21.33,27.21,31.41
Salinity (psu),1,18.94,26.46,36.16,40.4
Primary Production (mgC·m-3·day-1) ,1,0.2,1.2,32.2,52.15
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,156.41,201.99,237.65,269.68
Distance to Land (km),0,0,3,87,160
 

Map data (HSPEC) for predicted occurrences (n = 463): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hypanus,sabinus,17.75,-76.25,7107:476:3,0.15
Hypanus,sabinus,17.75,-76.75,7107:476:4,0.12
Hypanus,sabinus,17.25,-77.25,7107:477:1,0.05
Hypanus,sabinus,17.25,-77.75,7107:477:2,0.18
Hypanus,sabinus,17.75,-77.75,7107:477:4,0.14
Hypanus,sabinus,18.25,-76.25,7107:486:1,0.02
Hypanus,sabinus,18.25,-76.75,7107:486:2,0.07
Hypanus,sabinus,18.25,-77.25,7107:487:1,0.12
Hypanus,sabinus,18.25,-77.75,7107:487:2,0.13
Hypanus,sabinus,18.75,-77.25,7107:487:3,0.05
Hypanus,sabinus,18.75,-77.75,7107:487:4,0.09
Hypanus,sabinus,18.25,-78.25,7107:488:1,0.15
Hypanus,sabinus,18.75,-78.25,7107:488:3,0.13
Hypanus,sabinus,19.75,-76.75,7107:496:4,0.05
Hypanus,sabinus,19.75,-79.75,7107:499:4,0.05
Hypanus,sabinus,17.25,-83.75,7108:373:2,0.16
Hypanus,sabinus,19.75,-80.25,7108:390:3,0.03
Hypanus,sabinus,19.25,-81.25,7108:391:1,0.11
Hypanus,sabinus,17.25,-87.25,7108:477:1,0.02
Hypanus,sabinus,17.75,-87.75,7108:477:4,0.18
Hypanus,sabinus,18.25,-87.25,7108:487:1,0.16
Hypanus,sabinus,19.75,-92.25,7109:392:3,0.04
Hypanus,sabinus,20.25,-78.25,7207:208:1,0.03
Hypanus,sabinus,21.25,-75.75,7207:215:2,0.11
Hypanus,sabinus,21.75,-76.75,7207:216:4,0.17
Hypanus,sabinus,21.75,-79.75,7207:219:4,0.04
Hypanus,sabinus,22.25,-75.75,7207:225:2,0.11
Hypanus,sabinus,22.25,-76.25,7207:226:1,0.08
Hypanus,sabinus,22.25,-76.75,7207:226:2,0.17
Hypanus,sabinus,22.75,-76.25,7207:226:3,0.15
Hypanus,sabinus,22.75,-76.75,7207:226:4,0.16
Hypanus,sabinus,23.25,-75.25,7207:235:1,0.02
Hypanus,sabinus,23.25,-75.75,7207:235:2,0.13
Hypanus,sabinus,23.25,-76.25,7207:236:1,0.10
Hypanus,sabinus,23.25,-76.75,7207:236:2,0.10
Hypanus,sabinus,23.75,-76.25,7207:236:3,0.08
Hypanus,sabinus,23.75,-77.75,7207:237:4,0.16
Hypanus,sabinus,24.25,-76.75,7207:246:2,0.16
Hypanus,sabinus,24.25,-77.75,7207:247:2,0.09
Hypanus,sabinus,24.75,-77.25,7207:247:3,0.15
Hypanus,sabinus,25.25,-76.25,7207:456:1,0.09
Hypanus,sabinus,25.75,-76.75,7207:456:4,0.06
Hypanus,sabinus,25.25,-77.25,7207:457:1,0.12
Hypanus,sabinus,25.25,-77.75,7207:457:2,0.03
Hypanus,sabinus,26.25,-76.75,7207:466:2,0.04
Hypanus,sabinus,21.75,-81.75,7208:111:4,0.02
Hypanus,sabinus,21.75,-82.25,7208:112:3,0.02
Hypanus,sabinus,22.25,-80.25,7208:120:1,0.14
Hypanus,sabinus,22.25,-80.75,7208:120:2,0.10
Hypanus,sabinus,22.25,-81.75,7208:121:2,0.04
Hypanus,sabinus,22.25,-82.25,7208:122:1,0.04
Hypanus,sabinus,22.25,-82.75,7208:122:2,0.06
Hypanus,sabinus,22.25,-83.25,7208:123:1,0.06
Hypanus,sabinus,22.75,-83.75,7208:123:4,0.14
Hypanus,sabinus,22.25,-84.25,7208:124:1,0.03
Hypanus,sabinus,22.25,-84.75,7208:124:2,0.05
Hypanus,sabinus,22.75,-84.25,7208:124:3,0.15
Hypanus,sabinus,24.75,-83.25,7208:143:3,0.17
Hypanus,sabinus,21.25,-86.25,7208:216:1,0.04
Hypanus,sabinus,23.75,-88.75,7208:238:4,0.13
Hypanus,sabinus,25.25,-82.75,7208:352:2,0.10
Hypanus,sabinus,25.75,-82.75,7208:352:4,0.06
Hypanus,sabinus,26.75,-83.25,7208:363:3,0.17
Hypanus,sabinus,27.75,-83.75,7208:373:4,0.04
Hypanus,sabinus,28.75,-84.25,7208:384:3,0.16
Hypanus,sabinus,29.25,-85.75,7208:495:2,0.16
Hypanus,sabinus,29.75,-89.25,7208:499:3,0.14
Hypanus,sabinus,29.75,-89.75,7208:499:4,0.14
Hypanus,sabinus,21.75,-92.25,7209:112:3,0.07
Hypanus,sabinus,22.25,-92.25,7209:122:1,0.17
Hypanus,sabinus,20.25,-96.25,7209:206:1,0.15
Hypanus,sabinus,24.75,-96.75,7209:246:4,0.18
Hypanus,sabinus,25.75,-90.25,7209:350:3,0.07
Hypanus,sabinus,26.25,-96.25,7209:466:1,0.06
Hypanus,sabinus,37.25,-75.25,7307:475:1,0.14
Hypanus,sabinus,37.25,-75.75,7307:475:2,0.16
Hypanus,sabinus,37.75,-75.25,7307:475:3,0.08
Hypanus,sabinus,37.75,-75.75,7307:475:4,0.12
Hypanus,sabinus,37.25,-76.25,7307:476:1,0.16
Hypanus,sabinus,37.25,-76.75,7307:476:2,0.16
Hypanus,sabinus,37.75,-76.25,7307:476:3,0.07
Hypanus,sabinus,38.25,-75.75,7307:485:2,0.05
Hypanus,sabinus,38.25,-77.25,7307:487:1,0.01
Hypanus,sabinus,30.25,-80.25,7308:100:1,0.05
Hypanus,sabinus,30.25,-90.25,7309:100:1,0.02
Hypanus,sabinus,17.75,-77.25,7107:477:3,0.21
Hypanus,sabinus,17.25,-78.25,7107:478:1,0.28
Hypanus,sabinus,19.75,-91.75,7109:391:4,0.25
Hypanus,sabinus,20.75,-75.25,7207:205:3,0.37
Hypanus,sabinus,20.75,-75.75,7207:205:4,0.27
Hypanus,sabinus,20.75,-78.75,7207:208:4,0.29
Hypanus,sabinus,21.75,-77.25,7207:217:3,0.24
Hypanus,sabinus,21.25,-79.25,7207:219:1,0.21
Hypanus,sabinus,21.75,-79.25,7207:219:3,0.29
Hypanus,sabinus,22.25,-77.25,7207:227:1,0.29
Hypanus,sabinus,22.75,-77.25,7207:227:3,0.30
Hypanus,sabinus,22.25,-79.25,7207:229:1,0.33
Hypanus,sabinus,22.75,-79.75,7207:229:4,0.33
Hypanus,sabinus,23.25,-78.25,7207:238:1,0.24
Hypanus,sabinus,23.25,-78.75,7207:238:2,0.31
Hypanus,sabinus,23.75,-78.25,7207:238:3,0.20
Hypanus,sabinus,23.25,-79.75,7207:239:2,0.28
Hypanus,sabinus,24.25,-78.25,7207:248:1,0.27
Hypanus,sabinus,24.25,-78.75,7207:248:2,0.39
Hypanus,sabinus,24.25,-79.75,7207:249:2,0.34
Hypanus,sabinus,25.25,-76.75,7207:456:2,0.27
Hypanus,sabinus,25.75,-77.25,7207:457:3,0.21
Hypanus,sabinus,26.75,-76.75,7207:466:4,0.27
Hypanus,sabinus,27.75,-79.75,7207:479:4,0.21
Hypanus,sabinus,22.75,-80.25,7208:120:3,0.34
Hypanus,sabinus,22.75,-81.75,7208:121:4,0.26
Hypanus,sabinus,22.75,-82.25,7208:122:3,0.37
Hypanus,sabinus,22.75,-82.75,7208:122:4,0.33
Hypanus,sabinus,22.75,-83.25,7208:123:3,0.20
Hypanus,sabinus,23.25,-82.25,7208:132:1,0.35
Hypanus,sabinus,23.25,-82.75,7208:132:2,0.36
Hypanus,sabinus,23.25,-83.25,7208:133:1,0.32
Hypanus,sabinus,24.75,-80.75,7208:140:4,0.39
Hypanus,sabinus,24.25,-81.75,7208:141:2,0.26
Hypanus,sabinus,24.25,-82.25,7208:142:1,0.30
Hypanus,sabinus,24.25,-82.75,7208:142:2,0.23
Hypanus,sabinus,24.75,-82.25,7208:142:3,0.38
Hypanus,sabinus,24.75,-82.75,7208:142:4,0.28
Hypanus,sabinus,22.25,-86.75,7208:226:2,0.35
Hypanus,sabinus,22.25,-87.25,7208:227:1,0.37
Hypanus,sabinus,22.25,-88.25,7208:228:1,0.31
Hypanus,sabinus,23.25,-88.75,7208:238:2,0.25
Hypanus,sabinus,25.25,-82.25,7208:352:1,0.27
Hypanus,sabinus,26.25,-82.75,7208:362:2,0.23
Hypanus,sabinus,26.25,-83.25,7208:363:1,0.26
Hypanus,sabinus,28.25,-83.75,7208:383:2,0.21
Hypanus,sabinus,29.75,-80.25,7208:390:3,0.26
Hypanus,sabinus,29.25,-84.25,7208:394:1,0.37
Hypanus,sabinus,28.75,-89.75,7208:489:4,0.37
Hypanus,sabinus,20.25,-91.75,7209:101:2,0.39
