Mapping parameters for Dasyatis thetidis (Thorntail stingray)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 47 |  51 |  57 |  71 |  81,
Bounding Box (NSWE): ,-10,-50,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,51,200,440
Temperature (°C),1,11.83,17.13,26.49,30.69
Salinity (psu),1,34.31,34.9,35.9,36.4
Primary Production,1,161,355,1333,2574
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,10,199,365
 

Map data (HSPEC) for predicted occurrences (n = 2304): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Dasyatis,thetidis,-15.75,11.75,3101:351:4,0.17
Dasyatis,thetidis,-16.25,11.75,3101:361:2,0.11
Dasyatis,thetidis,-17.25,11.75,3101:371:2,0.02
Dasyatis,thetidis,-18.25,11.75,3101:381:2,0.06
Dasyatis,thetidis,-18.75,11.25,3101:381:3,0.17
Dasyatis,thetidis,-18.75,12.75,3101:382:4,0.02
Dasyatis,thetidis,-16.25,39.75,3103:469:2,0.06
Dasyatis,thetidis,-17.75,36.75,3103:476:4,0.01
Dasyatis,thetidis,-17.75,38.75,3103:478:4,0.16
Dasyatis,thetidis,-18.75,35.75,3103:485:4,0.04
Dasyatis,thetidis,-18.25,36.75,3103:486:2,0.18
Dasyatis,thetidis,-12.25,40.25,3104:120:1,0.03
Dasyatis,thetidis,-12.25,46.25,3104:226:1,0.13
Dasyatis,thetidis,-14.75,46.75,3104:246:4,0.17
Dasyatis,thetidis,-14.25,48.25,3104:248:1,0.06
Dasyatis,thetidis,-15.75,44.25,3104:354:3,0.10
Dasyatis,thetidis,-17.75,41.75,3104:371:4,0.17
Dasyatis,thetidis,-17.25,44.25,3104:374:1,0.10
Dasyatis,thetidis,-17.75,44.25,3104:374:3,0.09
Dasyatis,thetidis,-18.25,41.75,3104:381:2,0.15
Dasyatis,thetidis,-19.25,44.75,3104:394:2,0.02
Dasyatis,thetidis,-19.75,44.75,3104:394:4,0.01
Dasyatis,thetidis,-15.75,46.75,3104:456:4,0.01
Dasyatis,thetidis,-15.75,47.25,3104:457:3,0.01
Dasyatis,thetidis,-16.25,45.75,3104:465:2,0.01
Dasyatis,thetidis,-19.25,48.75,3104:498:2,0.08
Dasyatis,thetidis,-16.25,50.25,3105:360:1,0.05
Dasyatis,thetidis,-16.75,50.25,3105:360:3,0.07
Dasyatis,thetidis,-16.25,59.75,3105:469:2,0.09
Dasyatis,thetidis,-18.75,57.75,3105:487:4,0.06
Dasyatis,thetidis,-18.75,59.75,3105:489:4,0.04
Dasyatis,thetidis,-19.25,57.25,3105:497:1,0.06
Dasyatis,thetidis,-10.25,61.25,3106:101:1,0.05
Dasyatis,thetidis,-10.75,61.75,3106:101:4,0.05
Dasyatis,thetidis,-11.25,61.25,3106:111:1,0.06
Dasyatis,thetidis,-12.25,60.75,3106:120:2,0.08
Dasyatis,thetidis,-12.75,61.25,3106:121:3,0.11
Dasyatis,thetidis,-14.25,61.25,3106:141:1,0.15
Dasyatis,thetidis,-15.25,60.75,3106:350:2,0.17
Dasyatis,thetidis,-16.25,60.75,3106:360:2,0.19
Dasyatis,thetidis,-19.25,62.25,3106:392:1,0.06
Dasyatis,thetidis,-19.75,62.75,3106:392:4,0.03
Dasyatis,thetidis,-18.75,115.75,3111:485:4,0.06
Dasyatis,thetidis,-11.25,122.75,3112:112:2,0.08
Dasyatis,thetidis,-11.75,122.75,3112:112:4,0.02
Dasyatis,thetidis,-11.25,123.25,3112:113:1,0.03
Dasyatis,thetidis,-11.25,123.75,3112:113:2,0.03
Dasyatis,thetidis,-11.75,123.25,3112:113:3,0.10
Dasyatis,thetidis,-11.75,123.75,3112:113:4,0.10
