Mapping parameters for Decapterus macarellus (Mackerel scad)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  87 ,
Bounding Box (NSWE): ,45,-35,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,40,200,400
Temperature (°C),1,8.54,24.18,28.1,32.3
Salinity (psu),1,26,33.22,35.57,38.84
Primary Production (mgC·m-3·day-1) ,1,0.1,1.43,13.76,59.94
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.01
Dissolved Bottom Oxygen (mmol·m-3),0,1.53,114.52,210.6,302.49
Distance to Land (km),0,1,25,1760,2541
 

Map data (HSPEC) for predicted occurrences (n = 10678): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Decapterus,macarellus,44.75,-124.75,7412:144:4,0.06
Decapterus,macarellus,44.75,-124.25,7412:144:3,0.03
Decapterus,macarellus,44.25,-124.75,7412:144:2,0.07
Decapterus,macarellus,44.25,-124.25,7412:144:1,0.03
Decapterus,macarellus,43.75,-124.75,7412:134:4,0.09
Decapterus,macarellus,43.75,-124.25,7412:134:3,0.03
Decapterus,macarellus,43.25,-124.75,7412:134:2,0.05
Decapterus,macarellus,43.25,-124.25,7412:134:1,0.02
Decapterus,macarellus,42.75,-124.75,7412:124:4,0.04
Decapterus,macarellus,42.75,-124.25,7412:124:3,0.01
Decapterus,macarellus,42.25,-124.75,7412:124:2,0.04
Decapterus,macarellus,41.75,-124.75,7412:114:4,0.03
Decapterus,macarellus,41.25,-124.75,7412:114:2,0.09
Decapterus,macarellus,40.75,-124.75,7412:104:4,0.07
Decapterus,macarellus,40.75,-124.25,7412:104:3,0.01
Decapterus,macarellus,40.25,-124.75,7412:104:2,0.08
Decapterus,macarellus,40.25,-124.25,7412:104:1,0.04
Decapterus,macarellus,43.75,-70.25,7407:130:3,0.06
Decapterus,macarellus,43.25,-70.75,7407:130:2,0.03
Decapterus,macarellus,43.25,-70.25,7407:130:1,0.12
Decapterus,macarellus,42.25,-71.25,7407:121:1,0.01
Decapterus,macarellus,42.75,-70.75,7407:120:4,0.11
Decapterus,macarellus,42.75,-70.25,7407:120:3,0.14
