Mapping parameters for Dentex maroccanus (Morocco dentex)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,57,-5,-18,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,76,237,500
Temperature (°C),1,1.97,18.36,27.88,32.08
Salinity (psu),1,19.62,31.57,39,39.5
Primary Production,1,306,353,2485,3781
Sea Ice Concentration,1,-0.9990350877192999,0,0,0.04
Distance to Land (km),0,6,15,200,331
 

Map data (HSPEC) for predicted occurrences (n = 1753): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Dentex,maroccanus,4.25,4.75,1000:144:2,0.06,0.064638783269962,0.99047619047619,1,1,1,1
Dentex,maroccanus,37.75,0.25,1300:370:3,0.18,0.1787072243346,1,1,1,1,1
Dentex,maroccanus,39.75,7.75,1300:497:4,0.13,0.1254752851711,1,1,1,1,1
Dentex,maroccanus,32.75,12.25,1301:122:3,0.11,0.10714285714286,1,1,1,1,1
Dentex,maroccanus,33.25,14.75,1301:134:2,0.13,0.15589353612167,1,1,0.82978723404255,1,1
Dentex,maroccanus,30.75,17.75,1301:207:4,0.02,0.19642857142857,1,1,0.1063829787234,1,1
Dentex,maroccanus,31.25,15.75,1301:215:2,0.14,0.41071428571429,1,1,0.34042553191489,1,1
Dentex,maroccanus,31.75,16.75,1301:216:4,0.02,1,1,1,0.021276595744681,1,1
Dentex,maroccanus,31.25,17.75,1301:217:2,0.13,1,1,1,0.12765957446809,1,1
Dentex,maroccanus,31.75,17.25,1301:217:3,0.17,1,1,1,0.17021276595745,1,1
Dentex,maroccanus,32.25,15.25,1301:225:1,0.02,1,1,1,0.021276595744681,1,1
Dentex,maroccanus,32.75,15.75,1301:225:4,0.16,0.9467680608365,1,1,0.17021276595745,1,1
Dentex,maroccanus,32.25,16.25,1301:226:1,0.15,1,1,1,0.14893617021277,1,1
Dentex,maroccanus,32.75,19.75,1301:229:4,0.11,0.26996197718631,1,1,0.42553191489362,1,1
Dentex,maroccanus,33.75,15.25,1301:235:3,0.05,0.11406844106464,1,1,0.4468085106383,1,1
