Mapping parameters for Dentex angolensis (Angolan dentex)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 34 |  47,
Bounding Box (NSWE): ,33,-13,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,47,148,300
Temperature (°C),1,19.49,25.08,27.95,32.15
Salinity (psu),1,29.54,31.02,35.36,36.75
Primary Production,1,514,814,2743,4374
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,13,199,331
 

Map data (HSPEC) for predicted occurrences (n = 337): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Dentex,angolensis,0.25,6.25,1000:206:1,0.01
Dentex,angolensis,3.75,5.25,1000:235:3,0.19
Dentex,angolensis,-6.25,0.25,3000:360:1,0.04
Dentex,angolensis,-6.25,12.75,3001:362:2,0.03
Dentex,angolensis,-7.25,11.75,3001:371:2,0.09
Dentex,angolensis,-10.25,12.75,3101:102:2,0.16
Dentex,angolensis,4.75,-9.75,7000:249:4,0.11
Dentex,angolensis,5.25,-2.75,7000:352:2,0.06
Dentex,angolensis,9.75,-13.25,7001:393:3,0.19
Dentex,angolensis,10.25,-17.25,7101:207:1,0.05
Dentex,angolensis,15.75,-16.25,7101:456:3,0.02
Dentex,angolensis,16.75,-16.75,7101:466:4,0.19
Dentex,angolensis,17.75,-16.25,7101:476:3,0.07
Dentex,angolensis,17.75,-16.75,7101:476:4,0.18
Dentex,angolensis,18.25,-16.25,7101:486:1,0.01
Dentex,angolensis,18.25,-16.75,7101:486:2,0.05
Dentex,angolensis,18.75,-16.25,7101:486:3,0.11
Dentex,angolensis,19.25,-16.25,7101:496:1,0.11
Dentex,angolensis,19.25,-16.75,7101:496:2,0.15
Dentex,angolensis,19.75,-16.25,7101:496:3,0.16
Dentex,angolensis,19.75,-17.25,7101:497:3,0.13
Dentex,angolensis,16.75,-24.25,7102:364:3,0.16
Dentex,angolensis,16.75,-24.75,7102:364:4,0.12
Dentex,angolensis,16.75,-25.25,7102:465:3,0.09
Dentex,angolensis,24.75,-14.75,7201:144:4,0.02
Dentex,angolensis,20.25,-16.25,7201:206:1,0.13
Dentex,angolensis,20.25,-16.75,7201:206:2,0.13
Dentex,angolensis,20.75,-16.25,7201:206:3,0.13
Dentex,angolensis,20.75,-16.75,7201:206:4,0.13
Dentex,angolensis,20.25,-17.25,7201:207:1,0.08
Dentex,angolensis,20.25,-17.75,7201:207:2,0.08
Dentex,angolensis,20.75,-17.25,7201:207:3,0.11
Dentex,angolensis,20.75,-17.75,7201:207:4,0.13
Dentex,angolensis,21.25,-16.75,7201:216:2,0.06
Dentex,angolensis,21.75,-16.75,7201:216:4,0.06
Dentex,angolensis,21.25,-17.25,7201:217:1,0.04
Dentex,angolensis,21.25,-17.75,7201:217:2,0.07
Dentex,angolensis,21.75,-17.25,7201:217:3,0.04
Dentex,angolensis,22.25,-16.25,7201:226:1,0.01
Dentex,angolensis,22.25,-16.75,7201:226:2,0.01
Dentex,angolensis,22.75,-16.25,7201:226:3,0.01
Dentex,angolensis,22.75,-16.75,7201:226:4,0.01
Dentex,angolensis,22.25,-17.25,7201:227:1,0.03
Dentex,angolensis,22.75,-17.25,7201:227:3,0.03
Dentex,angolensis,23.25,-15.75,7201:235:2,0.01
Dentex,angolensis,23.75,-15.75,7201:235:4,0.02
Dentex,angolensis,23.25,-16.25,7201:236:1,0.02
Dentex,angolensis,23.25,-16.75,7201:236:2,0.02
Dentex,angolensis,23.75,-16.25,7201:236:3,0.02
Dentex,angolensis,23.75,-16.75,7201:236:4,0.02
Dentex,angolensis,23.25,-17.25,7201:237:1,0.03
Dentex,angolensis,24.25,-15.25,7201:245:1,0.01
Dentex,angolensis,24.25,-15.75,7201:245:2,0.01
Dentex,angolensis,24.75,-15.25,7201:245:3,0.01
Dentex,angolensis,24.75,-15.75,7201:245:4,0.01
Dentex,angolensis,24.25,-16.25,7201:246:1,0.01
Dentex,angolensis,24.25,-16.75,7201:246:2,0.01
Dentex,angolensis,24.75,-16.25,7201:246:3,0.01
