Mapping parameters for Nemipterus tambuloides (Fivelined threadfin bream)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  61 |  71,
Bounding Box (NSWE): ,15,-9,94,118

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,50,52,61,70
Temperature (°C),1,27.79,28.3,29.3,33.5
Salinity (psu),1,28.25,30.56,33.2,35.4
Primary Production,1,501,613,2038,3650
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,17,26,34
 

Map data (HSPEC) for predicted occurrences (n = 645): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Nemipterus,tambuloides,2.75,95.25,1009:225:3,0.09
Nemipterus,tambuloides,4.25,95.25,1009:245:1,0.17
Nemipterus,tambuloides,9.25,97.25,1009:497:1,0.03
Nemipterus,tambuloides,4.75,104.75,1010:144:4,0.16
Nemipterus,tambuloides,3.25,105.75,1010:235:2,0.11
Nemipterus,tambuloides,3.75,108.75,1010:238:4,0.16
Nemipterus,tambuloides,6.25,104.75,1010:364:2,0.06
Nemipterus,tambuloides,5.25,112.75,1011:352:2,0.01
Nemipterus,tambuloides,7.75,116.75,1011:476:4,0.19
Nemipterus,tambuloides,9.25,117.75,1011:497:2,0.01
Nemipterus,tambuloides,12.75,96.75,1109:226:4,0.19
Nemipterus,tambuloides,14.25,95.25,1109:245:1,0.17
Nemipterus,tambuloides,14.25,95.75,1109:245:2,0.17
Nemipterus,tambuloides,10.25,104.25,1110:104:1,0.16
Nemipterus,tambuloides,11.75,102.25,1110:112:3,0.19
Nemipterus,tambuloides,10.75,109.25,1110:209:3,0.18
Nemipterus,tambuloides,11.25,109.25,1110:219:1,0.04
Nemipterus,tambuloides,11.75,109.25,1110:219:3,0.03
Nemipterus,tambuloides,-5.25,102.25,3010:352:1,0.17
Nemipterus,tambuloides,-8.25,108.25,3010:488:1,0.05
Nemipterus,tambuloides,-8.25,111.25,3011:381:1,0.11
Nemipterus,tambuloides,-8.25,111.75,3011:381:2,0.18
Nemipterus,tambuloides,2.25,96.25,1009:226:1,0.30
Nemipterus,tambuloides,2.75,96.25,1009:226:3,0.31
