Mapping parameters for Diaphus watasei (Watases lanternfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 27 |  34 |  47 |  51 |  57 |  61 |  71 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,100,357,896,2005
Temperature (°C),1,11.7,18.35,28.47,32.67
Salinity (psu),1,30.49,33.49,35.64,37.22
Primary Production (mgC·m-3·day-1) ,1,0.51,2.1,20.78,44.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.33,85.94,230.37,325.92
Distance to Land (km),0,5,17,252,858
 

Map data (HSPEC) for predicted occurrences (n = 11508): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Diaphus,watasei,55.25,-20.25,7502:350:1,0.01
Diaphus,watasei,50.25,-29.75,7502:209:2,0.01
Diaphus,watasei,50.25,-29.25,7502:209:1,0.02
Diaphus,watasei,50.25,-28.25,7502:208:1,0.04
Diaphus,watasei,50.25,-27.25,7502:207:1,0.02
Diaphus,watasei,50.25,-26.75,7502:206:2,0.03
Diaphus,watasei,54.75,-20.25,7502:140:3,0.01
Diaphus,watasei,54.25,-20.25,7502:140:1,0.02
Diaphus,watasei,53.75,-20.25,7502:130:3,0.03
Diaphus,watasei,55.75,-19.25,7501:459:3,0.01
Diaphus,watasei,55.25,-19.75,7501:459:2,0.01
Diaphus,watasei,55.25,-19.25,7501:459:1,0.02
Diaphus,watasei,55.75,-18.75,7501:458:4,0.01
Diaphus,watasei,55.75,-18.25,7501:458:3,0.01
Diaphus,watasei,55.25,-18.75,7501:458:2,0.03
Diaphus,watasei,55.25,-18.25,7501:458:1,0.04
Diaphus,watasei,55.75,-17.75,7501:457:4,0.02
Diaphus,watasei,55.75,-17.25,7501:457:3,0.01
Diaphus,watasei,55.25,-17.75,7501:457:2,0.04
Diaphus,watasei,55.25,-17.25,7501:457:1,0.04
Diaphus,watasei,55.25,-16.75,7501:456:2,0.04
Diaphus,watasei,55.25,-16.25,7501:456:1,0.05
Diaphus,watasei,55.25,-15.75,7501:455:2,0.06
Diaphus,watasei,55.25,-15.25,7501:455:1,0.04
Diaphus,watasei,56.25,-13.75,7501:363:2,0.02
Diaphus,watasei,56.75,-10.75,7501:360:4,0.01
Diaphus,watasei,56.75,-10.25,7501:360:3,0.01
Diaphus,watasei,56.25,-10.75,7501:360:2,0.02
Diaphus,watasei,56.25,-10.25,7501:360:1,0.03
Diaphus,watasei,55.75,-14.75,7501:354:4,0.03
Diaphus,watasei,55.75,-14.25,7501:354:3,0.03
Diaphus,watasei,55.75,-10.25,7501:350:3,0.01
Diaphus,watasei,55.25,-10.75,7501:350:2,0.01
Diaphus,watasei,55.25,-10.25,7501:350:1,0.06
Diaphus,watasei,54.75,-19.75,7501:249:4,0.03
Diaphus,watasei,54.75,-19.25,7501:249:3,0.04
Diaphus,watasei,54.25,-19.75,7501:249:2,0.04
Diaphus,watasei,54.25,-19.25,7501:249:1,0.05
Diaphus,watasei,54.75,-18.75,7501:248:4,0.05
Diaphus,watasei,54.75,-18.25,7501:248:3,0.06
