Mapping parameters for Diodon holocanthus (Longspined porcupinefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  31 |  34 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,45,-39,-26,-31

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,2,35,200
Temperature (°C),1,14.4,21.36,28.51,32.71
Salinity (psu),1,30.7,33.47,36.18,39.04
Primary Production,1,69,265,1360,2854
Sea Ice Concentration,1,-0.99999638927451,0,0,0.00167564
Distance to Land (km),0,0,12,273,1070
 

Map data (HSPEC) for predicted occurrences (n = 8881): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Diodon,holocanthus,0.75,8.75,1000:208:4,0.16,0.51515151515152,1,0.33212996389892,0.93708165997323,1,1
Diodon,holocanthus,1.25,9.25,1000:219:1,0.12,1,1,0.14801444043321,0.77911646586345,1,1
Diodon,holocanthus,1.25,9.75,1000:219:2,0.12,1,1,0.14801444043321,0.82663989290495,1,1
Diodon,holocanthus,1.75,9.25,1000:219:3,0.01,0.060606060606061,1,0.14801444043321,0.86412315930388,1,1
Diodon,holocanthus,1.75,9.75,1000:219:4,0.11,1,1,0.14801444043321,0.7376171352075,1,1
Diodon,holocanthus,4.75,48.75,1004:248:4,0.13,0.13333333333333,1,1,1,1,1
Diodon,holocanthus,3.75,95.75,1009:235:4,0.03,0.042424242424242,0.82380952380952,1,1,1,1
Diodon,holocanthus,3.25,99.75,1009:239:2,0.16,1,0.78571428571429,0.32490974729242,0.64190093708166,1,1
Diodon,holocanthus,8.75,97.25,1009:487:3,0.17,0.24242424242424,0.8952380952381,0.76173285198556,1,1,1
Diodon,holocanthus,2.75,100.25,1010:120:3,0.07,1,0.79761904761905,0.32490974729242,0.26639892904953,1,1
Diodon,holocanthus,2.75,100.75,1010:120:4,0.08,1,0.79761904761905,0.32490974729242,0.30589022757697,1,1
Diodon,holocanthus,3.25,100.75,1010:130:2,0.17,1,0.78333333333333,0.32490974729242,0.68674698795181,1,1
Diodon,holocanthus,3.75,100.75,1010:130:4,0.17,1,0.78333333333333,0.32490974729242,0.66398929049531,1,1
Diodon,holocanthus,4.25,100.75,1010:140:2,0.18,1,0.78095238095238,0.32490974729242,0.69611780455154,1,1
Diodon,holocanthus,4.75,100.25,1010:140:3,0.18,1,0.78095238095238,0.32490974729242,0.71619812583668,1,1
Diodon,holocanthus,4.75,100.75,1010:140:4,0.19,1,0.78095238095238,0.32490974729242,0.76840696117805,1,1
Diodon,holocanthus,1.25,108.75,1010:218:2,0.19,1,0.88809523809524,0.87003610108303,0.2429718875502,1,1
Diodon,holocanthus,7.25,109.75,1010:479:2,0.11,0.11515151515152,1,0.96028880866426,1,1,1
Diodon,holocanthus,7.75,113.25,1011:373:3,0.13,0.14545454545455,0.95476190476191,0.93140794223827,1,1,1
Diodon,holocanthus,6.25,119.25,1011:469:1,0.06,0.066666666666667,0.92142857142857,1,1,1,1
Diodon,holocanthus,9.25,117.25,1011:497:1,0.01,0.0060606060606061,0.90714285714286,1,1,1,1
Diodon,holocanthus,2.25,125.75,1012:225:2,0.10,0.10909090909091,0.92380952380952,1,1,1,1
Diodon,holocanthus,3.25,125.25,1012:235:1,0.04,0.048484848484848,0.92142857142857,1,1,1,1
Diodon,holocanthus,9.25,120.25,1012:390:1,0.13,0.13939393939394,0.95238095238095,1,1,1,1
Diodon,holocanthus,7.75,147.25,1014:477:3,0.12,0.16363636363636,0.87142857142857,1,0.81122448979592,1,1
Diodon,holocanthus,7.75,148.25,1014:478:3,0.09,0.12727272727273,0.87142857142857,1,0.83673469387755,1,1
