Mapping parameters for Diplectrum formosum (Sand perch)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  31 |  41 ,
Bounding Box (NSWE): ,42,-35,-98,-28

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,9,41,80
Temperature (°C),1,13.45,22.69,27.97,32.17
Salinity (psu),1,21.55,31.75,36.35,38.54
Primary Production (mgC·m-3·day-1) ,1,-0.39,0.61,24.98,102.5
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,147.46,173.85,225.37,267.34
Distance to Land (km),0,0,11,166,565
 

Map data (HSPEC) for predicted occurrences (n = 1452): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Diplectrum,formosum,40.25,-73.75,7407:103:2,0.07
Diplectrum,formosum,40.25,-73.25,7407:103:1,0.07
Diplectrum,formosum,40.25,-72.75,7407:102:2,0.09
Diplectrum,formosum,40.25,-72.25,7407:102:1,0.10
Diplectrum,formosum,40.75,-71.75,7407:101:4,0.01
Diplectrum,formosum,40.75,-71.25,7407:101:3,0.01
Diplectrum,formosum,40.25,-71.75,7407:101:2,0.08
Diplectrum,formosum,40.25,-71.25,7407:101:1,0.04
Diplectrum,formosum,40.25,-70.75,7407:100:2,0.03
Diplectrum,formosum,40.25,-70.25,7407:100:1,0.03
Diplectrum,formosum,40.25,-69.75,7406:209:2,0.04
Diplectrum,formosum,40.25,-69.25,7406:209:1,0.04
Diplectrum,formosum,40.25,-68.75,7406:208:2,0.09
Diplectrum,formosum,40.25,-68.25,7406:208:1,0.16
Diplectrum,formosum,40.75,-66.75,7406:206:4,0.01
Diplectrum,formosum,30.75,-87.25,7308:207:3,0.07
Diplectrum,formosum,39.75,-76.25,7307:496:3,0.01
Diplectrum,formosum,39.25,-76.25,7307:496:1,0.02
Diplectrum,formosum,39.25,-75.75,7307:495:2,0.01
Diplectrum,formosum,39.25,-75.25,7307:495:1,0.08
Diplectrum,formosum,38.75,-75.25,7307:485:3,0.15
Diplectrum,formosum,38.25,-75.75,7307:485:2,0.11
Diplectrum,formosum,38.25,-75.25,7307:485:1,0.19
Diplectrum,formosum,37.75,-76.25,7307:476:3,0.02
Diplectrum,formosum,37.25,-76.75,7307:476:2,0.09
Diplectrum,formosum,37.25,-76.25,7307:476:1,0.11
Diplectrum,formosum,37.75,-75.75,7307:475:4,0.17
Diplectrum,formosum,39.75,-74.25,7307:394:3,0.09
Diplectrum,formosum,39.25,-74.75,7307:394:2,0.10
Diplectrum,formosum,39.25,-74.25,7307:394:1,0.13
Diplectrum,formosum,39.75,-73.75,7307:393:4,0.11
Diplectrum,formosum,39.75,-73.25,7307:393:3,0.14
Diplectrum,formosum,39.25,-73.75,7307:393:2,0.17
Diplectrum,formosum,39.75,-72.75,7307:392:4,0.14
Diplectrum,formosum,39.75,-72.25,7307:392:3,0.10
Diplectrum,formosum,39.25,-72.75,7307:392:2,0.14
Diplectrum,formosum,38.75,-74.75,7307:384:4,0.15
Diplectrum,formosum,33.25,-79.75,7307:239:2,0.11
Diplectrum,formosum,27.75,-94.75,7209:374:4,0.08
Diplectrum,formosum,27.75,-94.25,7209:374:3,0.10
Diplectrum,formosum,27.75,-93.75,7209:373:4,0.08
Diplectrum,formosum,29.75,-89.75,7208:499:4,0.09
Diplectrum,formosum,28.25,-89.75,7208:489:2,0.18
Diplectrum,formosum,28.75,-88.75,7208:488:4,0.10
Diplectrum,formosum,27.75,-80.75,7208:370:4,0.12
Diplectrum,formosum,22.75,-80.25,7208:120:3,0.12
Diplectrum,formosum,26.25,-79.75,7207:469:2,0.03
Diplectrum,formosum,20.25,-68.75,7206:208:2,0.13
Diplectrum,formosum,16.75,-81.25,7108:361:3,0.07
Diplectrum,formosum,17.25,-75.75,7107:475:2,0.07
Diplectrum,formosum,18.25,-66.75,7106:486:2,0.12
Diplectrum,formosum,7.75,-59.25,7005:479:3,0.11
Diplectrum,formosum,4.75,-51.75,7005:141:4,0.19
Diplectrum,formosum,4.75,-51.25,7005:141:3,0.15
Diplectrum,formosum,4.25,-51.75,7005:141:2,0.04
Diplectrum,formosum,3.25,-50.25,7005:130:1,0.13
Diplectrum,formosum,2.25,-47.25,7004:227:1,0.18
