Mapping parameters for Dipturus oxyrinchus (Longnosed skate)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37,
Bounding Box (NSWE): ,65,15,-19,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,200,402,900
Temperature (°C),1,-0.18,9.91,20.44,22.5
Salinity (psu),1,5.4,34.16,38.02,39.31
Primary Production,1,306,378,1488,3781
Sea Ice Concentration,1,-1,0,0.00999999977648258,0.1
Distance to Land (km),0,1,11,153,392
 

Map data (HSPEC) for predicted occurrences (n = 2534): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Dipturus,oxyrinchus,35.75,0.25,1300:350:3,0.15
Dipturus,oxyrinchus,36.75,8.75,1300:468:4,0.17
Dipturus,oxyrinchus,39.75,8.75,1300:498:4,0.01
Dipturus,oxyrinchus,32.75,12.25,1301:122:3,0.04
Dipturus,oxyrinchus,32.75,12.75,1301:122:4,0.11
Dipturus,oxyrinchus,32.75,13.25,1301:123:3,0.08
Dipturus,oxyrinchus,32.25,14.75,1301:124:2,0.01
Dipturus,oxyrinchus,33.75,10.75,1301:130:4,0.17
Dipturus,oxyrinchus,33.25,11.25,1301:131:1,0.07
Dipturus,oxyrinchus,33.25,11.75,1301:131:2,0.10
Dipturus,oxyrinchus,33.75,11.25,1301:131:3,0.10
Dipturus,oxyrinchus,33.75,11.75,1301:131:4,0.14
Dipturus,oxyrinchus,33.25,12.25,1301:132:1,0.14
Dipturus,oxyrinchus,34.25,10.25,1301:140:1,0.19
Dipturus,oxyrinchus,34.75,10.75,1301:140:4,0.11
Dipturus,oxyrinchus,34.25,11.25,1301:141:1,0.19
Dipturus,oxyrinchus,34.75,11.25,1301:141:3,0.17
Dipturus,oxyrinchus,34.75,11.75,1301:141:4,0.18
Dipturus,oxyrinchus,30.25,19.25,1301:209:1,0.06
Dipturus,oxyrinchus,30.25,19.75,1301:209:2,0.05
Dipturus,oxyrinchus,30.75,19.75,1301:209:4,0.14
Dipturus,oxyrinchus,31.25,15.75,1301:215:2,0.02
Dipturus,oxyrinchus,31.75,15.75,1301:215:4,0.05
Dipturus,oxyrinchus,31.75,16.25,1301:216:3,0.08
Dipturus,oxyrinchus,31.75,16.75,1301:216:4,0.01
Dipturus,oxyrinchus,31.25,17.75,1301:217:2,0.04
Dipturus,oxyrinchus,31.75,17.25,1301:217:3,0.06
Dipturus,oxyrinchus,31.75,17.75,1301:217:4,0.08
Dipturus,oxyrinchus,31.25,18.75,1301:218:2,0.15
Dipturus,oxyrinchus,31.75,18.25,1301:218:3,0.01
Dipturus,oxyrinchus,31.25,19.25,1301:219:1,0.12
Dipturus,oxyrinchus,31.75,19.25,1301:219:3,0.13
Dipturus,oxyrinchus,31.75,19.75,1301:219:4,0.15
Dipturus,oxyrinchus,32.25,15.25,1301:225:1,0.01
Dipturus,oxyrinchus,32.25,15.75,1301:225:2,0.19
Dipturus,oxyrinchus,32.75,15.75,1301:225:4,0.06
Dipturus,oxyrinchus,32.25,16.25,1301:226:1,0.05
Dipturus,oxyrinchus,32.25,19.25,1301:229:1,0.11
Dipturus,oxyrinchus,32.25,19.75,1301:229:2,0.11
Dipturus,oxyrinchus,32.75,19.75,1301:229:4,0.11
Dipturus,oxyrinchus,33.25,15.25,1301:235:1,0.09
Dipturus,oxyrinchus,33.25,15.75,1301:235:2,0.01
Dipturus,oxyrinchus,33.75,15.25,1301:235:3,0.16
Dipturus,oxyrinchus,33.75,15.75,1301:235:4,0.12
Dipturus,oxyrinchus,34.25,16.25,1301:246:1,0.17
Dipturus,oxyrinchus,35.75,10.75,1301:350:4,0.18
Dipturus,oxyrinchus,38.75,12.25,1301:382:3,0.11
Dipturus,oxyrinchus,39.25,17.75,1301:497:2,0.08
Dipturus,oxyrinchus,39.25,18.75,1301:498:2,0.10
Dipturus,oxyrinchus,39.25,19.25,1301:499:1,0.09
Dipturus,oxyrinchus,30.75,20.25,1302:100:3,0.03
Dipturus,oxyrinchus,31.25,20.25,1302:110:1,0.04
Dipturus,oxyrinchus,32.25,20.25,1302:120:1,0.08
Dipturus,oxyrinchus,32.75,20.25,1302:120:3,0.10
Dipturus,oxyrinchus,32.75,20.75,1302:120:4,0.12
Dipturus,oxyrinchus,32.75,21.25,1302:121:3,0.12
Dipturus,oxyrinchus,32.75,21.75,1302:121:4,0.18
Dipturus,oxyrinchus,32.75,22.25,1302:122:3,0.16
Dipturus,oxyrinchus,32.25,23.25,1302:123:1,0.01
Dipturus,oxyrinchus,32.75,23.25,1302:123:3,0.10
Dipturus,oxyrinchus,32.75,23.75,1302:123:4,0.10
Dipturus,oxyrinchus,32.25,24.25,1302:124:1,0.07
Dipturus,oxyrinchus,32.25,24.75,1302:124:2,0.07
Dipturus,oxyrinchus,33.25,21.75,1302:131:2,0.07
Dipturus,oxyrinchus,33.25,22.25,1302:132:1,0.13
Dipturus,oxyrinchus,33.25,22.75,1302:132:2,0.16
Dipturus,oxyrinchus,33.25,23.25,1302:133:1,0.11
Dipturus,oxyrinchus,34.75,23.75,1302:143:4,0.10
Dipturus,oxyrinchus,34.75,24.25,1302:144:3,0.07
Dipturus,oxyrinchus,34.75,24.75,1302:144:4,0.04
Dipturus,oxyrinchus,30.75,28.75,1302:208:4,0.04
Dipturus,oxyrinchus,30.75,29.25,1302:209:3,0.06
Dipturus,oxyrinchus,31.75,25.25,1302:215:3,0.03
Dipturus,oxyrinchus,31.75,25.75,1302:215:4,0.03
Dipturus,oxyrinchus,31.75,26.25,1302:216:3,0.01
Dipturus,oxyrinchus,31.25,27.25,1302:217:1,0.11
