Mapping parameters for Echidna polyzona (Barred moray)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  61 |  71 |  77 |  81,
Bounding Box (NSWE): ,30,-24,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,4,12,20
Temperature (°C),1,22.16,25.33,29.19,33.39
Salinity (psu),1,28.24,32.54,35.53,38.83
Primary Production (mgC·m-3·day-1) ,1,-0.01,0.99,16.43,36.52
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.46,89.22,208.33,317.19
Distance to Land (km),0,0,15,129,548
 

Map data (HSPEC) for predicted occurrences (n = 4174): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Echidna,polyzona,6.25,79.75,1007:469:2,0.18
Echidna,polyzona,8.25,76.75,1007:486:2,0.06
Echidna,polyzona,8.25,77.25,1007:487:1,0.18
Echidna,polyzona,8.25,77.75,1007:487:2,0.19
Echidna,polyzona,1.25,102.75,1010:112:2,0.16
Echidna,polyzona,1.75,102.75,1010:112:4,0.06
Echidna,polyzona,2.25,100.75,1010:120:2,0.11
Echidna,polyzona,2.75,101.25,1010:121:3,0.13
Echidna,polyzona,8.25,103.75,1010:383:2,0.11
Echidna,polyzona,7.75,108.25,1010:478:3,0.12
Echidna,polyzona,8.25,107.25,1010:487:1,0.12
Echidna,polyzona,8.75,107.25,1010:487:3,0.12
Echidna,polyzona,9.75,107.75,1010:497:4,0.19
Echidna,polyzona,1.75,111.25,1011:111:3,0.04
Echidna,polyzona,2.25,111.25,1011:121:1,0.11
Echidna,polyzona,4.75,112.25,1011:142:3,0.12
Echidna,polyzona,4.75,118.25,1011:248:3,0.13
Echidna,polyzona,6.75,125.75,1012:465:4,0.15
Echidna,polyzona,10.75,51.25,1105:101:3,0.04
Echidna,polyzona,11.25,51.25,1105:111:1,0.08
Echidna,polyzona,15.25,50.75,1105:350:2,0.19
