Mapping parameters for Echiodon cryomargarites (Messmate)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 41 |  48 |  58 |  81 |  87,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,400,532,851,1441
Temperature (°C),1,-1.83,1.13,6.47,14.03
Salinity (psu),1,33.49,33.99,34.99,35.87
Primary Production (mgC·m-3·day-1) ,1,1.04,2.97,12.72,33.17
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0,0.89
Dissolved Bottom Oxygen (mmol·m-3),1,147.59,167.89,252.15,325.55
Distance to Land (km),0,12,88,345,485
 

Map data (HSPEC) for predicted occurrences (n = 5173): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Echiodon,cryomargarites,-25.25,159.25,3215:459:1,0.08
Echiodon,cryomargarites,-25.75,159.25,3215:459:3,0.11
Echiodon,cryomargarites,-25.25,160.25,3216:350:1,0.06
Echiodon,cryomargarites,-25.25,160.75,3216:350:2,0.01
Echiodon,cryomargarites,-25.25,161.25,3216:351:1,0.18
Echiodon,cryomargarites,-25.75,161.25,3216:351:3,0.15
Echiodon,cryomargarites,-25.25,163.25,3216:353:1,0.03
Echiodon,cryomargarites,-25.75,163.25,3216:353:3,0.13
Echiodon,cryomargarites,-25.75,163.75,3216:353:4,0.05
Echiodon,cryomargarites,-26.25,161.25,3216:361:1,0.07
Echiodon,cryomargarites,-26.75,161.75,3216:361:4,0.14
Echiodon,cryomargarites,-26.25,162.75,3216:362:2,0.19
