Mapping parameters for Engraulis capensis (Southern African anchovy)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 47,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,53,205,450
Temperature (°C),1,16.2,17.23,19.82,21.06
Salinity (psu),1,34.54,35.04,36.04,36.54
Primary Production (mgC·m-3·day-1) ,1,11.05,18.16,96.18,172.22
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,23.91,124.73,220.83,250.7
Distance to Land (km),0,10,13.6,287.4,336
 

Map data (HSPEC) for predicted occurrences (n = 127): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Engraulis,capensis,-19.75,12.75,3101:392:4,0.09
Engraulis,capensis,-22.75,13.25,3201:123:3,0.15
Engraulis,capensis,-23.25,13.25,3201:133:1,0.01
Engraulis,capensis,-27.75,14.75,3201:374:4,0.17
Engraulis,capensis,-28.75,15.25,3201:485:3,0.10
Engraulis,capensis,-29.75,15.75,3201:495:4,0.04
Engraulis,capensis,-30.25,15.25,3301:205:1,0.14
Engraulis,capensis,-30.75,15.75,3301:205:4,0.16
Engraulis,capensis,-30.25,16.25,3301:206:1,0.07
Engraulis,capensis,-31.75,16.25,3301:216:3,0.13
Engraulis,capensis,-32.25,16.25,3301:226:1,0.07
Engraulis,capensis,-33.75,18.75,3301:238:4,0.01
Engraulis,capensis,-35.25,19.25,3301:459:1,0.11
Engraulis,capensis,-35.75,19.75,3301:459:4,0.12
Engraulis,capensis,-36.25,19.75,3301:469:2,0.07
Engraulis,capensis,-33.75,22.75,3302:132:4,0.04
Engraulis,capensis,-33.75,23.25,3302:133:3,0.02
Engraulis,capensis,-35.75,20.25,3302:350:3,0.18
Engraulis,capensis,-35.75,22.25,3302:352:3,0.04
Engraulis,capensis,-36.75,20.25,3302:360:3,0.16
Engraulis,capensis,-36.75,21.25,3302:361:3,0.14
Engraulis,capensis,-15.75,11.75,3101:351:4,0.20
Engraulis,capensis,-15.75,12.25,3101:352:3,0.39
Engraulis,capensis,-20.25,12.75,3201:102:2,0.28
Engraulis,capensis,-20.25,13.25,3201:103:1,0.30
Engraulis,capensis,-20.75,13.75,3201:103:4,0.27
Engraulis,capensis,-21.25,13.25,3201:113:1,0.22
Engraulis,capensis,-22.25,13.25,3201:123:1,0.34
Engraulis,capensis,-26.75,13.75,3201:363:4,0.28
Engraulis,capensis,-27.25,14.25,3201:374:1,0.23
Engraulis,capensis,-28.25,14.75,3201:384:2,0.33
Engraulis,capensis,-29.25,14.75,3201:394:2,0.23
Engraulis,capensis,-29.25,15.25,3201:495:1,0.23
