Mapping parameters for Engyophrys sanctilaurentii (Speckled-tail flounder)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  77 |  87 ,
Bounding Box (NSWE): ,33,-7,-118,-77

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,46,66,135,232
Temperature (°C),1,17.53,23.3,28.85,33.05
Salinity (psu),1,27.31,30.78,34.47,37.99
Primary Production (mgC·m-3·day-1) ,1,1.22,2.22,42.52,82.04
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.03,9.53,210.96,355.35
Distance to Land (km),0,2,9,125,248
 

Map data (HSPEC) for predicted occurrences (n = 351): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Engyophrys,sanctilaurentii,32.25,-116.75,7311:226:2,0.11
Engyophrys,sanctilaurentii,31.25,-116.25,7311:216:1,0.08
Engyophrys,sanctilaurentii,30.25,-115.75,7311:205:2,0.14
Engyophrys,sanctilaurentii,28.75,-115.25,7211:485:3,0.03
Engyophrys,sanctilaurentii,28.25,-115.75,7211:485:2,0.11
Engyophrys,sanctilaurentii,28.25,-115.25,7211:485:1,0.10
Engyophrys,sanctilaurentii,27.75,-115.75,7211:475:4,0.09
Engyophrys,sanctilaurentii,27.75,-115.25,7211:475:3,0.14
Engyophrys,sanctilaurentii,28.75,-114.75,7211:384:4,0.06
Engyophrys,sanctilaurentii,28.25,-114.75,7211:384:2,0.13
Engyophrys,sanctilaurentii,28.25,-114.25,7211:384:1,0.17
Engyophrys,sanctilaurentii,27.75,-114.75,7211:374:4,0.18
Engyophrys,sanctilaurentii,27.25,-111.75,7211:371:2,0.11
Engyophrys,sanctilaurentii,26.75,-111.25,7211:361:3,0.03
Engyophrys,sanctilaurentii,26.25,-111.25,7211:361:1,0.12
Engyophrys,sanctilaurentii,23.75,-111.75,7211:131:4,0.04
Engyophrys,sanctilaurentii,23.75,-111.25,7211:131:3,0.12
Engyophrys,sanctilaurentii,23.25,-110.75,7211:130:2,0.04
Engyophrys,sanctilaurentii,22.75,-110.25,7211:120:3,0.05
Engyophrys,sanctilaurentii,23.25,-107.25,7210:237:1,0.13
