Mapping parameters for Eopsetta jordani (Petrale sole)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  67 |  77 ,
Bounding Box (NSWE): ,67,31,172,-117

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,66,247,550
Temperature (°C),1,2.87,5.43,13.66,19.62
Salinity (psu),1,24.8,28.31,33.09,34.7
Primary Production (mgC·m-3·day-1) ,1,0.13,9.63,52.5,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.05
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,28.67,297.59,333.96
Distance to Land (km),0,1,8,153,1416
 

Map data (HSPEC) for predicted occurrences (n = 906): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Eopsetta,jordani,60.25,-179.25,7617:209:1,0.06
Eopsetta,jordani,60.25,-178.75,7617:208:2,0.01
Eopsetta,jordani,60.25,-152.75,7615:102:2,0.07
Eopsetta,jordani,60.25,-152.25,7615:102:1,0.05
Eopsetta,jordani,61.25,-147.25,7614:217:1,0.01
Eopsetta,jordani,61.25,-146.25,7614:216:1,0.16
Eopsetta,jordani,60.75,-148.75,7614:208:4,0.03
Eopsetta,jordani,60.25,-148.75,7614:208:2,0.02
Eopsetta,jordani,59.75,-178.75,7517:498:4,0.13
Eopsetta,jordani,59.75,-178.25,7517:498:3,0.08
Eopsetta,jordani,59.75,-177.75,7517:497:4,0.03
Eopsetta,jordani,59.75,-177.25,7517:497:3,0.01
Eopsetta,jordani,59.25,-177.75,7517:497:2,0.17
Eopsetta,jordani,59.25,-177.25,7517:497:1,0.13
Eopsetta,jordani,59.25,-176.75,7517:496:2,0.09
Eopsetta,jordani,59.25,-176.25,7517:496:1,0.06
Eopsetta,jordani,59.25,-175.75,7517:495:2,0.03
Eopsetta,jordani,58.75,-175.75,7517:485:4,0.19
Eopsetta,jordani,58.75,-175.25,7517:485:3,0.16
Eopsetta,jordani,58.75,-174.75,7517:384:4,0.14
Eopsetta,jordani,58.75,-174.25,7517:384:3,0.09
Eopsetta,jordani,58.25,-174.75,7517:384:2,0.13
Eopsetta,jordani,58.75,-173.75,7517:383:4,0.01
Eopsetta,jordani,58.25,-173.25,7517:383:1,0.19
