Mapping parameters for Epinephelus corallicola (Coral grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  61 |  71,
Bounding Box (NSWE): ,27,-30,100,155

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,4,16,30
Temperature (°C),1,21.47,25.36,29.21,33.41
Salinity (psu),1,26,31.18,35.01,37.24
Primary Production (mgC·m-3·day-1) ,1,0.84,2.73,19.88,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,83.92,134.43,209.43,233.33
Distance to Land (km),0,1,10,95,205
 

Map data (HSPEC) for predicted occurrences (n = 2544): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Epinephelus,corallicola,1.75,101.25,1010:111:3,0.08
Epinephelus,corallicola,2.25,101.75,1010:121:2,0.05
Epinephelus,corallicola,8.25,101.25,1010:381:1,0.14
Epinephelus,corallicola,8.75,101.25,1010:381:3,0.13
Epinephelus,corallicola,7.75,105.75,1010:475:4,0.14
Epinephelus,corallicola,7.75,106.75,1010:476:4,0.14
Epinephelus,corallicola,7.25,108.25,1010:478:1,0.14
Epinephelus,corallicola,9.75,106.75,1010:496:4,0.19
Epinephelus,corallicola,2.25,110.75,1011:120:2,0.18
Epinephelus,corallicola,9.75,115.75,1011:495:4,0.09
Epinephelus,corallicola,7.25,123.75,1012:373:2,0.19
Epinephelus,corallicola,8.75,137.75,1013:487:4,0.18
Epinephelus,corallicola,9.25,138.25,1013:498:1,0.08
Epinephelus,corallicola,9.75,138.25,1013:498:3,0.07
Epinephelus,corallicola,9.75,139.75,1013:499:4,0.08
Epinephelus,corallicola,8.25,144.75,1014:384:2,0.15
Epinephelus,corallicola,8.75,144.75,1014:384:4,0.08
Epinephelus,corallicola,6.75,149.25,1014:469:3,0.07
Epinephelus,corallicola,7.75,145.75,1014:475:4,0.12
Epinephelus,corallicola,7.25,146.25,1014:476:1,0.17
Epinephelus,corallicola,7.75,146.25,1014:476:3,0.12
Epinephelus,corallicola,7.75,147.75,1014:477:4,0.15
Epinephelus,corallicola,7.25,149.25,1014:479:1,0.11
Epinephelus,corallicola,7.75,149.25,1014:479:3,0.13
Epinephelus,corallicola,8.25,145.25,1014:485:1,0.12
Epinephelus,corallicola,8.25,145.75,1014:485:2,0.09
Epinephelus,corallicola,8.25,147.25,1014:487:1,0.07
Epinephelus,corallicola,8.25,147.75,1014:487:2,0.19
Epinephelus,corallicola,8.25,149.25,1014:489:1,0.03
