Mapping parameters for Epinephelus fasciatomaculosus (Rock grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  71,
Bounding Box (NSWE): ,35,8,105,128

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,16,23,30
Temperature (°C),1,17.92,21.42,28.8,33
Salinity (psu),1,31.43,33.2,34.4,34.95
Primary Production,1,441,452,1628,2245
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,3,107,163
 

Map data (HSPEC) for predicted occurrences (n = 366): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Epinephelus,fasciatomaculosus,16.75,109.75,1110:469:4,0.09
Epinephelus,fasciatomaculosus,19.25,112.25,1111:392:1,0.18
Epinephelus,fasciatomaculosus,20.25,107.25,1210:207:1,0.11
Epinephelus,fasciatomaculosus,20.75,113.25,1211:103:3,0.14
Epinephelus,fasciatomaculosus,21.25,114.25,1211:114:1,0.14
Epinephelus,fasciatomaculosus,22.25,113.75,1211:123:2,0.19
Epinephelus,fasciatomaculosus,22.25,118.75,1211:228:2,0.14
Epinephelus,fasciatomaculosus,28.25,122.25,1212:382:1,0.14
Epinephelus,fasciatomaculosus,29.25,121.75,1212:391:2,0.07
Epinephelus,fasciatomaculosus,29.75,121.75,1212:391:4,0.01
Epinephelus,fasciatomaculosus,29.25,122.75,1212:392:2,0.03
Epinephelus,fasciatomaculosus,27.25,125.25,1212:475:1,0.09
Epinephelus,fasciatomaculosus,30.25,123.25,1312:103:1,0.08
Epinephelus,fasciatomaculosus,30.75,123.25,1312:103:3,0.05
Epinephelus,fasciatomaculosus,33.25,126.25,1312:236:1,0.12
Epinephelus,fasciatomaculosus,33.25,126.75,1312:236:2,0.16
Epinephelus,fasciatomaculosus,33.75,126.25,1312:236:3,0.12
Epinephelus,fasciatomaculosus,33.75,126.75,1312:236:4,0.16
Epinephelus,fasciatomaculosus,9.75,106.75,1010:496:4,0.32
Epinephelus,fasciatomaculosus,19.25,105.75,1110:495:2,0.33
Epinephelus,fasciatomaculosus,19.75,105.75,1110:495:4,0.33
Epinephelus,fasciatomaculosus,19.25,106.25,1110:496:1,0.33
Epinephelus,fasciatomaculosus,19.75,106.25,1110:496:3,0.33
Epinephelus,fasciatomaculosus,11.25,119.25,1111:219:1,0.36
Epinephelus,fasciatomaculosus,12.25,120.25,1112:120:1,0.27
Epinephelus,fasciatomaculosus,15.25,121.75,1112:351:2,0.27
Epinephelus,fasciatomaculosus,15.75,121.75,1112:351:4,0.27
Epinephelus,fasciatomaculosus,20.25,106.25,1210:206:1,0.33
Epinephelus,fasciatomaculosus,20.25,106.75,1210:206:2,0.37
Epinephelus,fasciatomaculosus,20.75,106.75,1210:206:4,0.37
Epinephelus,fasciatomaculosus,20.25,107.75,1210:207:2,0.37
