Mapping parameters for Epinephelus fuscoguttatus (Brown-marbled grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,28.5,-27,33,-171

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,7,31,60
Temperature (°C),1,24.69,25.11,29.08,33.28
Salinity (psu),1,27.5,32.45,36.24,38.9
Primary Production,1,69,250,1223,1446
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,15,166,1065
 

Map data (HSPEC) for predicted occurrences (n = 3970): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Epinephelus,fuscoguttatus,0.75,44.25,1004:104:3,0.14,0.13793103448276,1,1,1,1,1
Epinephelus,fuscoguttatus,1.25,43.75,1004:113:2,0.17,0.16666666666667,1,1,1,1,1
Epinephelus,fuscoguttatus,3.25,46.75,1004:236:2,0.13,1,1,1,0.13452914798206,1,1
Epinephelus,fuscoguttatus,7.75,50.25,1005:370:3,0.13,1,1,1,0.13452914798206,1,1
Epinephelus,fuscoguttatus,7.75,76.75,1007:476:4,0.13,0.62068965517241,1,1,0.20627802690583,1,1
Epinephelus,fuscoguttatus,7.25,77.25,1007:477:1,0.03,0.03448275862069,1,1,0.73991031390135,1,1
Epinephelus,fuscoguttatus,8.25,77.25,1007:487:1,0.04,1,1,1,0.035874439461883,1,1
Epinephelus,fuscoguttatus,8.75,79.75,1007:489:4,0.05,1,1,1,0.053811659192825,1,1
Epinephelus,fuscoguttatus,9.75,79.75,1007:499:4,0.02,1,1,1,0.017937219730942,1,1
