Mapping parameters for Mycteroperca rosacea (Leopard grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  77 ,
Bounding Box (NSWE): ,33,15,-115,-98

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,18.6,22.47,26.69,30.89
Salinity (psu),1,33.8,34.43,35.43,36.26
Primary Production,1,75,656,1556,2043
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,10,90,175
 

Map data (HSPEC) for predicted occurrences (n = 133): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Mycteroperca,rosacea,16.25,-98.25,7109:468:1,0.16,1,0.42380952380952,0.38095238095238,1,1,1
Mycteroperca,rosacea,16.25,-98.75,7109:468:2,0.16,1,0.42380952380952,0.38095238095238,1,1,1
Mycteroperca,rosacea,16.75,-98.75,7109:468:4,0.16,1,0.42380952380952,0.38095238095238,1,1,1
Mycteroperca,rosacea,16.75,-99.25,7109:469:3,0.18,1,0.42619047619048,0.41269841269842,1,1,1
Mycteroperca,rosacea,16.75,-99.75,7109:469:4,0.18,1,0.42619047619048,0.41269841269842,1,1,1
Mycteroperca,rosacea,16.75,-100.25,7110:360:3,0.17,1,0.46904761904762,0.41269841269842,0.87091222030981,1,1
Mycteroperca,rosacea,26.25,-113.25,7211:363:1,0.17,0.58333333333333,0.64082687338501,0.44444444444444,1,1,1
Mycteroperca,rosacea,27.75,-113.75,7211:373:4,0.12,0.2,0.62273901808786,1,1,1,1
Mycteroperca,rosacea,28.75,-113.75,7211:383:4,0.14,0.2,0.72093023255814,1,1,1,1
Mycteroperca,rosacea,17.25,-100.25,7110:370:1,0.22,1,0.52857142857143,0.41269841269842,1,1,1
Mycteroperca,rosacea,17.25,-100.75,7110:370:2,0.22,1,0.52857142857143,0.41269841269842,1,1,1
Mycteroperca,rosacea,17.25,-101.25,7110:371:1,0.21,1,0.56428571428571,0.38095238095238,1,1,1
Mycteroperca,rosacea,17.75,-101.25,7110:371:3,0.23,1,0.56428571428571,0.41269841269842,1,1,1
