Mapping parameters for Epinephelus tauvina (Greasy grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,30,-32,29,-123

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,35,140,300
Temperature (°C),1,18.55,24.53,29.15,33.35
Salinity (psu),1,23.51,32.55,36.41,39
Primary Production (mgC·m-3·day-1) ,1,-0.15,0.85,16.23,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,89.14,209.97,290.21
Distance to Land (km),0,0,12,197,604
 

Map data (HSPEC) for predicted occurrences (n = 5956): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Epinephelus,tauvina,24.75,-166.75,7216:246:4,0.10
Epinephelus,tauvina,-30.25,-178.75,5317:208:2,0.18
Epinephelus,tauvina,-29.25,-178.25,5217:498:1,0.16
Epinephelus,tauvina,-21.25,-175.75,5217:215:2,0.05
Epinephelus,tauvina,-27.25,-146.25,5214:476:1,0.14
Epinephelus,tauvina,-27.75,-143.25,5214:373:3,0.19
Epinephelus,tauvina,-23.25,-135.25,5213:235:1,0.14
Epinephelus,tauvina,-17.25,-173.75,5117:373:2,0.05
Epinephelus,tauvina,-12.25,-177.25,5117:227:1,0.11
Epinephelus,tauvina,-14.75,-170.25,5117:140:3,0.18
Epinephelus,tauvina,-19.75,-167.75,5116:497:4,0.19
Epinephelus,tauvina,-14.75,-144.75,5114:144:4,0.11
Epinephelus,tauvina,-18.75,-139.25,5113:489:3,0.01
Epinephelus,tauvina,-18.75,-138.75,5113:488:4,0.07
Epinephelus,tauvina,-30.25,167.75,3316:207:2,0.14
