Mapping parameters for Etmopterus bullisi (Lined lanternshark)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,34,15,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,200,250,850,850
Temperature (°C),1,21.84,24.53,27.93,32.13
Salinity (psu),1,33.04,35.18,36.18,36.68
Primary Production,1,202,332,730,2273
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,23,25,266,385
 

Map data (HSPEC) for predicted occurrences (n = 636): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Etmopterus,bullisi,20.75,-69.25,7206:209:3,0.16
Etmopterus,bullisi,21.25,-70.25,7207:110:1,0.07
Etmopterus,bullisi,21.25,-70.75,7207:110:2,0.17
Etmopterus,bullisi,21.75,-70.75,7207:110:4,0.03
Etmopterus,bullisi,21.75,-71.25,7207:111:3,0.18
Etmopterus,bullisi,21.25,-73.25,7207:113:1,0.19
Etmopterus,bullisi,21.75,-73.25,7207:113:3,0.14
Etmopterus,bullisi,22.25,-71.75,7207:121:2,0.04
Etmopterus,bullisi,22.25,-72.25,7207:122:1,0.05
Etmopterus,bullisi,22.25,-72.75,7207:122:2,0.13
Etmopterus,bullisi,22.75,-72.75,7207:122:4,0.04
Etmopterus,bullisi,22.25,-73.25,7207:123:1,0.10
Etmopterus,bullisi,22.25,-73.75,7207:123:2,0.16
Etmopterus,bullisi,22.75,-73.25,7207:123:3,0.18
Etmopterus,bullisi,23.25,-73.75,7207:133:2,0.15
Etmopterus,bullisi,23.25,-74.75,7207:134:2,0.18
Etmopterus,bullisi,23.75,-74.25,7207:134:3,0.09
Etmopterus,bullisi,23.75,-74.75,7207:134:4,0.15
Etmopterus,bullisi,24.25,-74.25,7207:144:1,0.10
Etmopterus,bullisi,24.25,-74.75,7207:144:2,0.13
Etmopterus,bullisi,21.75,-78.75,7207:218:4,0.10
Etmopterus,bullisi,24.75,-75.25,7207:245:3,0.13
Etmopterus,bullisi,24.75,-81.25,7208:141:3,0.01
Etmopterus,bullisi,22.75,-89.75,7208:229:4,0.12
Etmopterus,bullisi,28.75,-85.25,7208:485:3,0.06
Etmopterus,bullisi,28.75,-88.75,7208:488:4,0.16
Etmopterus,bullisi,22.75,-97.75,7209:227:4,0.17
Etmopterus,bullisi,32.25,-64.75,7306:124:2,0.17
Etmopterus,bullisi,32.75,-64.75,7306:124:4,0.16
Etmopterus,bullisi,31.75,-65.25,7306:215:3,0.18
Etmopterus,bullisi,32.25,-65.25,7306:225:1,0.16
Etmopterus,bullisi,33.75,-78.25,7307:238:3,0.07
Etmopterus,bullisi,19.75,-68.75,7106:498:4,0.22
Etmopterus,bullisi,19.75,-76.25,7107:496:3,0.36
Etmopterus,bullisi,15.75,-85.25,7108:455:3,0.37
Etmopterus,bullisi,20.25,-68.75,7206:208:2,0.35
Etmopterus,bullisi,20.25,-69.75,7206:209:2,0.39
Etmopterus,bullisi,20.75,-71.25,7207:101:3,0.28
Etmopterus,bullisi,20.75,-72.75,7207:102:4,0.21
Etmopterus,bullisi,20.25,-73.25,7207:103:1,0.30
Etmopterus,bullisi,20.25,-73.75,7207:103:2,0.32
Etmopterus,bullisi,20.75,-73.25,7207:103:3,0.35
Etmopterus,bullisi,20.75,-73.75,7207:103:4,0.32
Etmopterus,bullisi,20.75,-74.25,7207:104:3,0.25
Etmopterus,bullisi,20.75,-74.75,7207:104:4,0.38
Etmopterus,bullisi,21.75,-71.75,7207:111:4,0.38
Etmopterus,bullisi,21.25,-72.75,7207:112:2,0.25
Etmopterus,bullisi,21.25,-73.75,7207:113:2,0.20
Etmopterus,bullisi,21.75,-73.75,7207:113:4,0.24
Etmopterus,bullisi,21.75,-74.75,7207:114:4,0.27
Etmopterus,bullisi,22.75,-73.75,7207:123:4,0.20
Etmopterus,bullisi,22.25,-74.75,7207:124:2,0.21
Etmopterus,bullisi,22.75,-74.75,7207:124:4,0.20
Etmopterus,bullisi,21.25,-75.25,7207:215:1,0.39
Etmopterus,bullisi,22.25,-75.25,7207:225:1,0.32
Etmopterus,bullisi,22.25,-75.75,7207:225:2,0.36
Etmopterus,bullisi,22.75,-75.25,7207:225:3,0.21
Etmopterus,bullisi,22.75,-75.75,7207:225:4,0.33
Etmopterus,bullisi,22.75,-78.25,7207:228:3,0.20
Etmopterus,bullisi,22.75,-78.75,7207:228:4,0.20
Etmopterus,bullisi,23.25,-75.25,7207:235:1,0.32
Etmopterus,bullisi,23.25,-75.75,7207:235:2,0.32
Etmopterus,bullisi,23.75,-75.25,7207:235:3,0.27
Etmopterus,bullisi,23.75,-75.75,7207:235:4,0.32
Etmopterus,bullisi,23.25,-76.25,7207:236:1,0.24
Etmopterus,bullisi,23.25,-76.75,7207:236:2,0.24
Etmopterus,bullisi,23.75,-76.25,7207:236:3,0.24
Etmopterus,bullisi,23.75,-76.75,7207:236:4,0.24
Etmopterus,bullisi,23.25,-77.25,7207:237:1,0.26
Etmopterus,bullisi,23.25,-77.75,7207:237:2,0.28
Etmopterus,bullisi,23.75,-77.25,7207:237:3,0.27
Etmopterus,bullisi,24.25,-75.25,7207:245:1,0.21
Etmopterus,bullisi,24.25,-75.75,7207:245:2,0.26
Etmopterus,bullisi,24.75,-75.75,7207:245:4,0.21
Etmopterus,bullisi,24.25,-76.25,7207:246:1,0.28
Etmopterus,bullisi,24.25,-76.75,7207:246:2,0.22
Etmopterus,bullisi,24.75,-76.25,7207:246:3,0.34
Etmopterus,bullisi,24.75,-76.75,7207:246:4,0.25
Etmopterus,bullisi,24.75,-77.25,7207:247:3,0.37
Etmopterus,bullisi,25.25,-76.25,7207:456:1,0.32
Etmopterus,bullisi,25.25,-78.25,7207:458:1,0.38
Etmopterus,bullisi,23.75,-88.75,7208:238:4,0.32
Etmopterus,bullisi,28.75,-88.25,7208:488:3,0.29
Etmopterus,bullisi,29.25,-87.25,7208:497:1,0.36
Etmopterus,bullisi,29.25,-87.75,7208:497:2,0.33
Etmopterus,bullisi,29.75,-87.25,7208:497:3,0.36
Etmopterus,bullisi,21.25,-97.25,7209:217:1,0.31
Etmopterus,bullisi,22.25,-97.25,7209:227:1,0.32
Etmopterus,bullisi,22.75,-97.25,7209:227:3,0.32
Etmopterus,bullisi,23.75,-96.75,7209:236:4,0.24
Etmopterus,bullisi,23.25,-97.25,7209:237:1,0.24
Etmopterus,bullisi,23.75,-97.25,7209:237:3,0.24
Etmopterus,bullisi,18.25,-62.25,7106:382:1,0.57
Etmopterus,bullisi,18.75,-62.75,7106:382:4,0.44
Etmopterus,bullisi,18.75,-63.25,7106:383:3,0.53
Etmopterus,bullisi,18.75,-63.75,7106:383:4,0.45
Etmopterus,bullisi,19.25,-68.75,7106:498:2,0.44
Etmopterus,bullisi,18.75,-74.75,7107:384:4,0.53
Etmopterus,bullisi,19.75,-71.25,7107:391:3,0.48
Etmopterus,bullisi,19.25,-73.25,7107:393:1,0.49
Etmopterus,bullisi,19.25,-73.75,7107:393:2,0.44
Etmopterus,bullisi,19.75,-73.25,7107:393:3,0.45
Etmopterus,bullisi,19.75,-74.25,7107:394:3,0.42
Etmopterus,bullisi,19.75,-74.75,7107:394:4,0.47
Etmopterus,bullisi,18.75,-76.75,7107:486:4,0.52
Etmopterus,bullisi,18.75,-77.25,7107:487:3,0.46
Etmopterus,bullisi,18.75,-77.75,7107:487:4,0.46
Etmopterus,bullisi,18.75,-78.25,7107:488:3,0.50
Etmopterus,bullisi,19.75,-75.25,7107:495:3,0.45
Etmopterus,bullisi,19.75,-75.75,7107:495:4,0.45
Etmopterus,bullisi,19.75,-76.75,7107:496:4,0.42
Etmopterus,bullisi,19.75,-77.25,7107:497:3,0.41
Etmopterus,bullisi,19.75,-77.75,7107:497:4,0.50
Etmopterus,bullisi,19.75,-78.25,7107:498:3,0.51
Etmopterus,bullisi,19.75,-78.75,7107:498:4,0.50
Etmopterus,bullisi,19.75,-79.25,7107:499:3,0.48
Etmopterus,bullisi,19.75,-79.75,7107:499:4,0.49
Etmopterus,bullisi,19.25,-80.75,7108:390:2,0.56
Etmopterus,bullisi,19.75,-80.25,7108:390:3,0.50
Etmopterus,bullisi,20.75,-70.25,7207:100:3,0.50
Etmopterus,bullisi,20.25,-71.25,7207:101:1,0.52
Etmopterus,bullisi,20.75,-71.75,7207:101:4,0.51
