Mapping parameters for Etmopterus hillianus (Caribbean lanternshark)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  41,
Bounding Box (NSWE): ,39,15,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,180,244,422,717
Temperature (°C),1,16.9,23.84,27.7,31.9
Salinity (psu),1,32.7,34.11,36.38,37.77
Primary Production,1,248,303,1013,2035
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,6,23,188,385
 

Map data (HSPEC) for predicted occurrences (n = 592): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Etmopterus,hillianus,15.25,-63.25,7106:353:1,0.16
Etmopterus,hillianus,19.25,-73.75,7107:393:2,0.13
Etmopterus,hillianus,19.75,-74.25,7107:394:3,0.14
Etmopterus,hillianus,17.25,-76.75,7107:476:2,0.12
Etmopterus,hillianus,17.25,-79.25,7107:479:1,0.17
Etmopterus,hillianus,19.75,-76.25,7107:496:3,0.05
Etmopterus,hillianus,19.75,-76.75,7107:496:4,0.18
Etmopterus,hillianus,19.75,-77.25,7107:497:3,0.16
Etmopterus,hillianus,19.75,-78.25,7107:498:3,0.09
Etmopterus,hillianus,19.75,-79.25,7107:499:3,0.12
Etmopterus,hillianus,19.25,-80.75,7108:390:2,0.01
Etmopterus,hillianus,16.75,-85.25,7108:465:3,0.07
Etmopterus,hillianus,19.75,-86.75,7108:496:4,0.04
Etmopterus,hillianus,20.25,-69.75,7206:209:2,0.09
Etmopterus,hillianus,20.25,-73.75,7207:103:2,0.04
Etmopterus,hillianus,20.75,-73.25,7207:103:3,0.13
Etmopterus,hillianus,20.75,-73.75,7207:103:4,0.05
Etmopterus,hillianus,21.25,-72.75,7207:112:2,0.04
Etmopterus,hillianus,22.75,-73.25,7207:123:3,0.02
Etmopterus,hillianus,22.75,-73.75,7207:123:4,0.12
Etmopterus,hillianus,22.75,-74.75,7207:124:4,0.19
Etmopterus,hillianus,23.25,-73.75,7207:133:2,0.02
Etmopterus,hillianus,23.75,-74.75,7207:134:4,0.07
Etmopterus,hillianus,22.75,-76.75,7207:226:4,0.10
Etmopterus,hillianus,23.75,-78.25,7207:238:3,0.15
Etmopterus,hillianus,24.75,-75.25,7207:245:3,0.02
Etmopterus,hillianus,28.25,-79.25,7207:489:1,0.11
Etmopterus,hillianus,29.25,-77.75,7207:497:2,0.04
Etmopterus,hillianus,29.25,-78.75,7207:498:2,0.01
Etmopterus,hillianus,21.25,-82.25,7208:112:1,0.08
Etmopterus,hillianus,22.25,-83.25,7208:123:1,0.09
Etmopterus,hillianus,23.75,-88.75,7208:238:4,0.16
Etmopterus,hillianus,27.75,-85.75,7208:475:4,0.04
Etmopterus,hillianus,28.75,-88.25,7208:488:3,0.17
Etmopterus,hillianus,28.25,-89.25,7208:489:1,0.14
Etmopterus,hillianus,28.25,-89.75,7208:489:2,0.15
Etmopterus,hillianus,20.25,-91.75,7209:101:2,0.03
Etmopterus,hillianus,27.75,-96.25,7209:476:3,0.12
Etmopterus,hillianus,30.75,-79.25,7307:209:3,0.16
Etmopterus,hillianus,31.25,-77.75,7307:217:2,0.15
Etmopterus,hillianus,38.75,-72.75,7307:382:4,0.02
Etmopterus,hillianus,18.75,-62.75,7106:382:4,0.20
Etmopterus,hillianus,19.25,-68.75,7106:498:2,0.20
Etmopterus,hillianus,19.75,-73.25,7107:393:3,0.38
Etmopterus,hillianus,19.75,-74.75,7107:394:4,0.27
Etmopterus,hillianus,15.75,-78.25,7107:458:3,0.22
Etmopterus,hillianus,18.75,-77.25,7107:487:3,0.29
Etmopterus,hillianus,18.75,-77.75,7107:487:4,0.29
Etmopterus,hillianus,18.75,-78.25,7107:488:3,0.37
Etmopterus,hillianus,19.75,-75.25,7107:495:3,0.23
Etmopterus,hillianus,19.75,-75.75,7107:495:4,0.23
Etmopterus,hillianus,19.75,-77.75,7107:497:4,0.37
Etmopterus,hillianus,19.75,-79.75,7107:499:4,0.35
Etmopterus,hillianus,16.75,-83.75,7108:363:4,0.34
Etmopterus,hillianus,19.75,-80.25,7108:390:3,0.36
Etmopterus,hillianus,19.25,-81.75,7108:391:2,0.38
Etmopterus,hillianus,15.75,-86.75,7108:456:4,0.23
Etmopterus,hillianus,18.75,-91.75,7109:381:4,0.23
Etmopterus,hillianus,22.25,-74.75,7207:124:2,0.22
Etmopterus,hillianus,23.25,-74.75,7207:134:2,0.28
Etmopterus,hillianus,22.75,-75.25,7207:225:3,0.36
Etmopterus,hillianus,25.25,-78.75,7207:458:2,0.31
Etmopterus,hillianus,27.75,-78.25,7207:478:3,0.36
Etmopterus,hillianus,24.75,-81.25,7208:141:3,0.26
Etmopterus,hillianus,28.75,-85.25,7208:485:3,0.36
Etmopterus,hillianus,28.25,-86.75,7208:486:2,0.37
Etmopterus,hillianus,28.75,-88.75,7208:488:4,0.36
Etmopterus,hillianus,33.75,-78.25,7307:238:3,0.34
