Mapping parameters for Etmopterus pusillus (Smooth lanternshark)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  31 |  34 |  41 |  47 |  51 |  61 |  81 |  87 ,
Bounding Box (NSWE): ,42,-48,-98,-105

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,400,700,1070
Temperature (°C),1,12.7,15.77,27.83,32.03
Salinity (psu),1,29.54,33.04,35.98,37
Primary Production,1,122,358,1752,3841
Sea Ice Concentration,1,-0.99987828156805,0,0,0.04
Distance to Land (km),0,2,18,704,1965
 

Map data (HSPEC) for predicted occurrences (n = 6573): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Etmopterus,pusillus,0.25,9.25,1000:209:1,0.14,0.2375,1,0.59428571428571,1,1,1
Etmopterus,pusillus,0.25,9.75,1000:209:2,0.17,0.28,1,0.59428571428571,1,1,1
Etmopterus,pusillus,0.75,9.75,1000:209:4,0.14,0.235,1,0.59428571428571,1,1,1
Etmopterus,pusillus,1.25,8.75,1000:218:2,0.12,0.27297297297297,1,0.44857142857143,1,1,1
Etmopterus,pusillus,1.25,9.75,1000:219:2,0.15,0.33,1,0.44857142857143,1,1,1
Etmopterus,pusillus,2.75,8.25,1000:228:3,0.19,1,0.99761904761905,0.18857142857143,1,1,1
Etmopterus,pusillus,2.25,9.25,1000:229:1,0.12,0.61621621621622,1,0.18857142857143,1,1,1
Etmopterus,pusillus,2.25,9.75,1000:229:2,0.17,1,1,0.18857142857143,0.9186213499282,1,1
Etmopterus,pusillus,2.75,9.25,1000:229:3,0.13,0.7,1,0.18857142857143,1,1,1
Etmopterus,pusillus,2.75,9.75,1000:229:4,0.17,1,1,0.18857142857143,0.92005744375299,1,1
Etmopterus,pusillus,3.25,8.75,1000:238:2,0.18,1,0.98333333333333,0.18857142857143,0.99473432264241,1,1
Etmopterus,pusillus,3.25,9.25,1000:239:1,0.16,1,0.98571428571429,0.18857142857143,0.84873145045476,1,1
Etmopterus,pusillus,3.25,9.75,1000:239:2,0.12,1,0.98571428571429,0.18857142857143,0.64911440880804,1,1
Etmopterus,pusillus,3.75,9.25,1000:239:3,0.15,1,0.98571428571429,0.18857142857143,0.79798946864528,1,1
Etmopterus,pusillus,3.75,9.75,1000:239:4,0.01,0.1075,0.98571428571429,0.18857142857143,0.74341790330302,1,1
Etmopterus,pusillus,4.75,5.75,1000:245:4,0.17,0.175,0.97142857142857,1,1,1,1
Etmopterus,pusillus,4.25,6.25,1000:246:1,0.18,0.33,0.97380952380952,0.55428571428571,1,1,1
Etmopterus,pusillus,4.25,6.75,1000:246:2,0.13,0.235,0.97380952380952,0.55428571428571,1,1,1
Etmopterus,pusillus,4.25,7.25,1000:247:1,0.10,0.345,0.97857142857143,0.28571428571429,1,1,1
Etmopterus,pusillus,4.25,7.75,1000:247:2,0.12,0.43,0.97857142857143,0.28571428571429,1,1,1
Etmopterus,pusillus,4.75,7.75,1000:247:4,0.11,0.46,0.97857142857143,0.28571428571429,0.83006223073241,1,1
Etmopterus,pusillus,4.25,8.25,1000:248:1,0.10,0.435,0.98571428571429,0.28571428571429,0.83006223073241,1,1
Etmopterus,pusillus,4.25,8.75,1000:248:2,0.14,0.7475,0.98571428571429,0.28571428571429,0.6673049305888,1,1
Etmopterus,pusillus,4.75,8.25,1000:248:3,0.06,0.2675,0.98571428571429,0.28571428571429,0.78267113451412,1,1
Etmopterus,pusillus,4.75,8.75,1000:248:4,0.03,0.1275,0.98571428571429,0.28571428571429,0.76256582096697,1,1
Etmopterus,pusillus,4.25,9.25,1000:249:1,0.19,0.94,0.99761904761905,0.28571428571429,0.7094303494495,1,1
Etmopterus,pusillus,0.75,43.25,1004:103:3,0.10,0.0975,1,1,1,1,1
Etmopterus,pusillus,6.25,48.75,1004:468:2,0.06,0.06,1,1,1,1,1
Etmopterus,pusillus,7.25,49.25,1004:479:1,0.14,0.135,1,1,1,1,1
