Mapping parameters for Eucinostomus entomelas (Dark-spot mojarra)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,27,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,18.75,23.13,28.52,32.72
Salinity (psu),1,31.26,32.22,35.34,37.24
Primary Production,1,65,654,1609,2245
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,3,6,50,296
 

Map data (HSPEC) for predicted occurrences (n = 558): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Eucinostomus,entomelas,-3.25,-79.75,5007:239:2,0.17
Eucinostomus,entomelas,-6.75,-79.75,5007:469:4,0.12
Eucinostomus,entomelas,-8.25,-79.25,5007:489:1,0.19
Eucinostomus,entomelas,-8.25,-79.75,5007:489:2,0.03
Eucinostomus,entomelas,-9.25,-78.25,5007:498:1,0.03
Eucinostomus,entomelas,-9.75,-78.25,5007:498:3,0.17
Eucinostomus,entomelas,-6.25,-80.25,5008:360:1,0.16
Eucinostomus,entomelas,-8.25,-161.75,5016:381:2,0.17
Eucinostomus,entomelas,-10.25,-77.75,5107:207:2,0.15
Eucinostomus,entomelas,-10.25,-78.25,5107:208:1,0.10
Eucinostomus,entomelas,-11.25,-77.25,5107:217:1,0.03
Eucinostomus,entomelas,-11.75,-77.25,5107:217:3,0.10
Eucinostomus,entomelas,-11.75,-77.75,5107:217:4,0.08
Eucinostomus,entomelas,-12.25,-76.75,5107:226:2,0.02
Eucinostomus,entomelas,-12.75,-76.25,5107:226:3,0.03
Eucinostomus,entomelas,-12.75,-76.75,5107:226:4,0.01
Eucinostomus,entomelas,-12.25,-77.25,5107:227:1,0.16
Eucinostomus,entomelas,-13.75,-76.25,5107:236:3,0.11
Eucinostomus,entomelas,-14.25,-75.75,5107:245:2,0.16
Eucinostomus,entomelas,-14.75,-75.25,5107:245:3,0.16
Eucinostomus,entomelas,-14.75,-75.75,5107:245:4,0.16
Eucinostomus,entomelas,-14.25,-76.25,5107:246:1,0.16
Eucinostomus,entomelas,-15.25,-74.75,5107:354:2,0.10
Eucinostomus,entomelas,-15.75,-74.25,5107:354:3,0.11
Eucinostomus,entomelas,-15.75,-74.75,5107:354:4,0.12
Eucinostomus,entomelas,-15.25,-75.25,5107:455:1,0.12
Eucinostomus,entomelas,-14.75,-138.75,5113:248:4,0.17
Eucinostomus,entomelas,-17.25,-138.25,5113:478:1,0.11
Eucinostomus,entomelas,-18.25,-136.25,5113:486:1,0.10
Eucinostomus,entomelas,-18.25,-136.75,5113:486:2,0.10
Eucinostomus,entomelas,-18.75,-136.25,5113:486:3,0.10
Eucinostomus,entomelas,-19.25,-138.75,5113:498:2,0.09
Eucinostomus,entomelas,-19.25,-139.25,5113:499:1,0.09
Eucinostomus,entomelas,-14.25,-141.25,5114:141:1,0.18
Eucinostomus,entomelas,-14.25,-144.75,5114:144:2,0.17
Eucinostomus,entomelas,-14.75,-144.25,5114:144:3,0.16
Eucinostomus,entomelas,-14.25,-145.25,5114:245:1,0.18
Eucinostomus,entomelas,-14.75,-145.25,5114:245:3,0.19
Eucinostomus,entomelas,-14.25,-146.25,5114:246:1,0.18
Eucinostomus,entomelas,-14.75,-146.25,5114:246:3,0.18
Eucinostomus,entomelas,-14.75,-147.75,5114:247:4,0.18
Eucinostomus,entomelas,-14.75,-148.25,5114:248:3,0.18
Eucinostomus,entomelas,-14.75,-148.75,5114:248:4,0.18
Eucinostomus,entomelas,-15.75,-140.25,5114:350:3,0.14
Eucinostomus,entomelas,-15.75,-140.75,5114:350:4,0.14
Eucinostomus,entomelas,-15.75,-144.75,5114:354:4,0.16
Eucinostomus,entomelas,-16.25,-142.25,5114:362:1,0.16
Eucinostomus,entomelas,-16.25,-142.75,5114:362:2,0.14
Eucinostomus,entomelas,-16.75,-142.75,5114:362:4,0.17
Eucinostomus,entomelas,-16.25,-143.75,5114:363:2,0.18
Eucinostomus,entomelas,-16.25,-144.75,5114:364:2,0.18
Eucinostomus,entomelas,-16.75,-144.25,5114:364:3,0.19
Eucinostomus,entomelas,-17.75,-140.75,5114:370:4,0.17
Eucinostomus,entomelas,-17.25,-141.25,5114:371:1,0.12
Eucinostomus,entomelas,-17.25,-142.75,5114:372:2,0.15
Eucinostomus,entomelas,-17.75,-142.25,5114:372:3,0.13
Eucinostomus,entomelas,-17.75,-142.75,5114:372:4,0.16
Eucinostomus,entomelas,-17.75,-143.25,5114:373:3,0.14
