Mapping parameters for Figaro boardmani (Australian sawtail catshark)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71 |  81,
Bounding Box (NSWE): ,-24,-44,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,128,213,436,823
Temperature (°C),1,9.21,15.26,23.57,28.65
Salinity (psu),1,34.54,35.04,36.04,36.54
Primary Production,1,265,434,829,967
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,18,199,311
 

Map data (HSPEC) for predicted occurrences (n = 639): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Figaro,boardmani,-24.25,111.75,3211:141:2,0.09
Figaro,boardmani,-26.25,113.75,3211:363:2,0.07
Figaro,boardmani,-28.75,114.75,3211:384:4,0.13
Figaro,boardmani,-24.25,152.75,3215:142:2,0.07
Figaro,boardmani,-24.25,155.25,3215:245:1,0.17
Figaro,boardmani,-25.25,154.75,3215:354:2,0.03
Figaro,boardmani,-26.25,153.75,3215:363:2,0.14
Figaro,boardmani,-26.75,153.25,3215:363:3,0.01
Figaro,boardmani,-29.25,159.25,3215:499:1,0.15
Figaro,boardmani,-28.75,167.75,3216:487:4,0.19
Figaro,boardmani,-28.75,168.25,3216:488:3,0.11
Figaro,boardmani,-29.75,168.25,3216:498:3,0.18
Figaro,boardmani,-29.75,170.25,3217:390:3,0.06
Figaro,boardmani,-28.25,175.25,3217:485:1,0.04
Figaro,boardmani,-28.25,175.75,3217:485:2,0.03
Figaro,boardmani,-34.25,115.25,3311:245:1,0.11
Figaro,boardmani,-35.25,114.75,3311:354:2,0.02
Figaro,boardmani,-33.75,123.75,3312:133:4,0.11
Figaro,boardmani,-33.25,124.75,3312:134:2,0.10
Figaro,boardmani,-32.25,126.75,3312:226:2,0.08
Figaro,boardmani,-32.75,129.25,3312:229:3,0.14
Figaro,boardmani,-32.75,130.75,3313:120:4,0.18
Figaro,boardmani,-34.25,133.75,3313:143:2,0.16
Figaro,boardmani,-34.25,134.25,3313:144:1,0.06
Figaro,boardmani,-34.25,134.75,3313:144:2,0.09
Figaro,boardmani,-34.75,134.25,3313:144:3,0.17
Figaro,boardmani,-33.25,137.75,3313:237:2,0.04
Figaro,boardmani,-35.25,135.25,3313:455:1,0.18
Figaro,boardmani,-35.75,135.75,3313:455:4,0.17
Figaro,boardmani,-37.75,144.75,3314:374:4,0.08
Figaro,boardmani,-38.25,141.75,3314:381:2,0.01
Figaro,boardmani,-38.75,143.25,3314:383:3,0.03
Figaro,boardmani,-39.75,143.75,3314:393:4,0.11
Figaro,boardmani,-37.75,149.25,3314:479:3,0.16
Figaro,boardmani,-38.75,147.75,3314:487:4,0.01
Figaro,boardmani,-38.25,148.25,3314:488:1,0.05
Figaro,boardmani,-38.75,148.25,3314:488:3,0.17
Figaro,boardmani,-33.75,151.25,3315:131:3,0.13
Figaro,boardmani,-32.25,162.25,3316:122:1,0.01
Figaro,boardmani,-32.75,162.25,3316:122:3,0.04
Figaro,boardmani,-34.25,163.25,3316:143:1,0.06
Figaro,boardmani,-30.25,168.25,3316:208:1,0.05
Figaro,boardmani,-31.25,166.75,3316:216:2,0.18
Figaro,boardmani,-31.25,167.25,3316:217:1,0.10
Figaro,boardmani,-31.25,167.75,3316:217:2,0.11
Figaro,boardmani,-31.75,167.25,3316:217:3,0.15
Figaro,boardmani,-33.25,166.75,3316:236:2,0.16
Figaro,boardmani,-35.25,169.25,3316:459:1,0.14
Figaro,boardmani,-37.75,167.25,3316:477:3,0.07
Figaro,boardmani,-37.25,168.25,3316:478:1,0.05
Figaro,boardmani,-38.75,167.25,3316:487:3,0.16
Figaro,boardmani,-39.75,167.75,3316:497:4,0.12
Figaro,boardmani,-30.25,171.25,3317:101:1,0.12
Figaro,boardmani,-30.25,172.75,3317:102:2,0.12
Figaro,boardmani,-30.25,173.25,3317:103:1,0.02
Figaro,boardmani,-30.75,173.25,3317:103:3,0.12
Figaro,boardmani,-31.25,172.75,3317:112:2,0.01
Figaro,boardmani,-33.75,170.75,3317:130:4,0.13
Figaro,boardmani,-30.25,179.75,3317:209:2,0.03
Figaro,boardmani,-30.75,179.75,3317:209:4,0.06
Figaro,boardmani,-34.75,179.25,3317:249:3,0.16
Figaro,boardmani,-34.75,179.75,3317:249:4,0.02
Figaro,boardmani,-35.75,172.25,3317:352:3,0.04
Figaro,boardmani,-38.25,170.75,3317:380:2,0.15
Figaro,boardmani,-38.75,173.75,3317:383:4,0.16
Figaro,boardmani,-39.75,173.25,3317:393:3,0.15
Figaro,boardmani,-35.75,176.75,3317:456:4,0.18
Figaro,boardmani,-39.25,177.75,3317:497:2,0.06
Figaro,boardmani,-40.25,147.75,3414:207:2,0.11
Figaro,boardmani,-41.25,148.25,3414:218:1,0.15
Figaro,boardmani,-40.25,168.75,3416:208:2,0.07
Figaro,boardmani,-40.25,169.25,3416:209:1,0.12
Figaro,boardmani,-40.25,169.75,3416:209:2,0.09
Figaro,boardmani,-40.75,169.75,3416:209:4,0.03
Figaro,boardmani,-42.25,169.75,3416:229:2,0.09
Figaro,boardmani,-42.75,169.25,3416:229:3,0.13
Figaro,boardmani,-43.75,169.75,3416:239:4,0.14
Figaro,boardmani,-40.25,174.25,3417:104:1,0.19
Figaro,boardmani,-41.25,174.75,3417:114:2,0.03
Figaro,boardmani,-42.25,170.75,3417:120:2,0.04
Figaro,boardmani,-42.25,173.75,3417:123:2,0.18
Figaro,boardmani,-43.25,170.25,3417:130:1,0.18
Figaro,boardmani,-43.25,174.75,3417:134:2,0.02
Figaro,boardmani,-42.75,176.25,3417:226:3,0.14
Figaro,boardmani,-42.75,176.75,3417:226:4,0.11
Figaro,boardmani,-42.75,177.75,3417:227:4,0.13
Figaro,boardmani,-43.25,175.25,3417:235:1,0.11
Figaro,boardmani,-43.25,176.75,3417:236:2,0.10
Figaro,boardmani,-43.25,177.25,3417:237:1,0.08
Figaro,boardmani,-43.25,179.75,3417:239:2,0.19
Figaro,boardmani,-24.75,-177.75,5217:247:4,0.01
Figaro,boardmani,-24.25,-178.75,5217:248:2,0.14
Figaro,boardmani,-24.75,-178.75,5217:248:4,0.12
Figaro,boardmani,-24.25,-179.25,5217:249:1,0.12
Figaro,boardmani,-24.75,-179.25,5217:249:3,0.07
Figaro,boardmani,-25.25,-176.25,5217:456:1,0.03
Figaro,boardmani,-25.25,-176.75,5217:456:2,0.04
Figaro,boardmani,-25.75,-176.75,5217:456:4,0.07
Figaro,boardmani,-25.25,-177.25,5217:457:1,0.04
Figaro,boardmani,-25.75,-177.25,5217:457:3,0.07
Figaro,boardmani,-25.25,-178.75,5217:458:2,0.09
Figaro,boardmani,-25.75,-178.75,5217:458:4,0.03
Figaro,boardmani,-25.25,-179.25,5217:459:1,0.03
Figaro,boardmani,-25.75,-179.25,5217:459:3,0.02
Figaro,boardmani,-26.25,-179.25,5217:469:1,0.02
Figaro,boardmani,-27.25,-177.25,5217:477:1,0.01
Figaro,boardmani,-27.75,-177.75,5217:477:4,0.01
Figaro,boardmani,-27.25,-179.25,5217:479:1,0.01
Figaro,boardmani,-28.75,-177.75,5217:487:4,0.04
Figaro,boardmani,-29.25,-177.75,5217:497:2,0.04
Figaro,boardmani,-29.75,-177.75,5217:497:4,0.06
Figaro,boardmani,-29.75,-178.25,5217:498:3,0.04
Figaro,boardmani,-38.25,-167.75,5316:487:2,0.07
Figaro,boardmani,-38.75,-167.75,5316:487:4,0.08
Figaro,boardmani,-38.25,-168.25,5316:488:1,0.06
Figaro,boardmani,-39.25,-167.25,5316:497:1,0.05
Figaro,boardmani,-30.25,-178.75,5317:208:2,0.17
Figaro,boardmani,-31.75,-178.75,5317:218:4,0.07
Figaro,boardmani,-31.25,-179.25,5317:219:1,0.05
Figaro,boardmani,-32.25,-178.75,5317:228:2,0.17
Figaro,boardmani,-32.75,-179.75,5317:229:4,0.15
